HORA FBES QD FXES QD H'ES QD TIPO FOE QD H'E QD 
 0.00  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.08  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.17  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.25  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.33  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.42  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.58  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.67  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.75  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.83  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 0.92  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.00  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.08  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.17  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.25  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.33  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.42  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.58  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.67  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.75  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.83  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 1.92  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.00  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.08  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.17  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.33  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.42  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.58  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.67  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.75  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.83  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 2.92  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.00  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.08  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.17  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.25  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.33  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.42  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.58  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.67  2.03 00  2.03 00 103 00     f  0.00 00   0 00
 3.75  2.30 00  2.75 00 101 00     f  0.00 00   0 00
 3.83  0.00  E  0.00  E   0  E   000  0.00 00   0 00
 3.92  2.06 00  3.93 00  98 00     f  0.00 00   0 00
