HORA FBES QD FXES QD H'ES QD TIPO FOE QD H'E QD 
21.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
21.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
21.60  0.00  E  0.00  E   0  E   000  0.00 00   0 00
21.67  0.00  E  0.00  E   0  E   000  0.00 00   0 00
21.77  0.00  E  0.00  E   0  E   000  0.00 00   0 00
21.92  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.00  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.10  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.17  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.27  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.33  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.58  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.67  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.75  0.00  E  0.00 00   0  E   000  0.00 00   0 00
22.83  0.00  E  0.00  E   0  E   000  0.00 00   0 00
22.92  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.00  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.08  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.17  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.25  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.33  0.00  R  0.00  R   0  R   000  0.00 00   0 00
23.42  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.50  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.58  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.67  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.75  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.83  0.00  E  0.00  E   0  E   000  0.00 00   0 00
23.92  0.00  E  0.00  E   0  E   000  0.00 00   0 00
