

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_13_12-02-01.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Week 	10:34 09.07.10	10:35 09.07.10	0000000022	0.000 	0.000 x
x2	Set/Tm.	10:35 09.07.10	10:36 09.07.10	0000000006	0.100 	0.001 x
x3	  Hour	10:36 09.07.10	10:37 09.07.10	0000001832	0.509 	0.332 x
 4	  Hour	10:37 09.07.10	11:37 09.07.10	0000001851	0.514 	0.335  
 5	  Hour	11:37 09.07.10	12:37 09.07.10	0000001874	0.521 	0.339  
 6	  Hour	12:37 09.07.10	13:37 09.07.10	0000001880	0.522 	0.340  
 7	  Hour	13:37 09.07.10	14:37 09.07.10	0000001854	0.515 	0.336  
 8	  Hour	14:37 09.07.10	15:37 09.07.10	0000001908	0.530 	0.345  
 9	  Hour	15:37 09.07.10	16:37 09.07.10	0000001922	0.534 	0.348  
 10	  Hour	16:37 09.07.10	17:37 09.07.10	0000001939	0.539 	0.351  
 11	  Hour	17:37 09.07.10	18:37 09.07.10	0000001826	0.507 	0.330  
 12	  Hour	18:37 09.07.10	19:37 09.07.10	0000001833	0.509 	0.332  
 13	  Hour	19:37 09.07.10	20:37 09.07.10	0000001874	0.521 	0.339  
 14	  Hour	20:37 09.07.10	21:37 09.07.10	0000001925	0.535 	0.348  
 15	  Hour	21:37 09.07.10	22:37 09.07.10	0000001871	0.520 	0.339  
 16	  Hour	22:37 09.07.10	23:37 09.07.10	0000001938	0.538 	0.351  
 17	  Hour	23:37 09.07.10	00:37 10.07.10	0000001863	0.517 	0.337  
 18	  Hour	00:37 10.07.10	01:37 10.07.10	0000001852	0.514 	0.335  
 19	  Hour	01:37 10.07.10	02:37 10.07.10	0000001865	0.518 	0.337  
 20	  Hour	02:37 10.07.10	03:37 10.07.10	0000001935	0.538 	0.350  
 21	  Hour	03:37 10.07.10	04:37 10.07.10	0000001959	0.544 	0.355  
 22	  Hour	04:37 10.07.10	05:37 10.07.10	0000001934	0.537 	0.350  
 23	  Hour	05:37 10.07.10	06:37 10.07.10	0000001867	0.519 	0.338  
 24	  Hour	06:37 10.07.10	07:37 10.07.10	0000001848	0.513 	0.334  
 25	  Hour	07:37 10.07.10	08:37 10.07.10	0000001913	0.531 	0.346  
 26	  Hour	08:37 10.07.10	09:37 10.07.10	0000001944	0.540 	0.352  
 27	  Hour	09:37 10.07.10	10:37 10.07.10	0000001874	0.521 	0.339  
 28	  Hour	10:37 10.07.10	11:37 10.07.10	0000001900	0.528 	0.344  
 29	  Hour	11:37 10.07.10	12:37 10.07.10	0000001913	0.531 	0.346  
 30	  Hour	12:37 10.07.10	13:37 10.07.10	0000001939	0.539 	0.351  
 31	  Hour	13:37 10.07.10	14:37 10.07.10	0000001805	0.501 	0.327  
 32	  Hour	14:37 10.07.10	15:37 10.07.10	0000001850	0.514 	0.335  
