

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_23_23-16-24.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Week 	22:55 22.01.08	22:56 22.01.08	0000000013	0.000 	0.000 x
 2	10 min	22:56 22.01.08	23:06 22.01.08	0000000300	0.500 	0.326  
 3	10 min	23:06 22.01.08	23:16 22.01.08	0000000287	0.478 	0.312  
 4	10 min	23:16 22.01.08	23:26 22.01.08	0000000288	0.480 	0.313  
 5	10 min	23:26 22.01.08	23:36 22.01.08	0000000282	0.470 	0.306  
 6	10 min	23:36 22.01.08	23:46 22.01.08	0000000299	0.498 	0.325  
 7	10 min	23:46 22.01.08	23:56 22.01.08	0000000282	0.470 	0.306  
 8	10 min	23:56 22.01.08	00:06 23.01.08	0000000280	0.467 	0.304  
 9	10 min	00:06 23.01.08	00:16 23.01.08	0000000299	0.498 	0.325  
 10	10 min	00:16 23.01.08	00:26 23.01.08	0000000303	0.505 	0.329  
 11	10 min	00:26 23.01.08	00:36 23.01.08	0000000323	0.538 	0.351  
 12	10 min	00:36 23.01.08	00:46 23.01.08	0000000277	0.462 	0.301  
 13	10 min	00:46 23.01.08	00:56 23.01.08	0000000287	0.478 	0.312  
 14	10 min	00:56 23.01.08	01:06 23.01.08	0000000295	0.492 	0.320  
 15	10 min	01:06 23.01.08	01:16 23.01.08	0000000290	0.483 	0.315  
 16	10 min	01:16 23.01.08	01:26 23.01.08	0000000300	0.500 	0.326  
 17	10 min	01:26 23.01.08	01:36 23.01.08	0000000306	0.510 	0.332  
 18	10 min	01:36 23.01.08	01:46 23.01.08	0000000302	0.503 	0.328  
 19	10 min	01:46 23.01.08	01:56 23.01.08	0000000295	0.492 	0.320  
 20	10 min	01:56 23.01.08	02:06 23.01.08	0000000301	0.502 	0.327  
 21	10 min	02:06 23.01.08	02:16 23.01.08	0000000283	0.472 	0.307  
 22	10 min	02:16 23.01.08	02:26 23.01.08	0000000273	0.455 	0.296  
 23	10 min	02:26 23.01.08	02:36 23.01.08	0000000288	0.480 	0.313  
 24	10 min	02:36 23.01.08	02:46 23.01.08	0000000336	0.560 	0.365  
 25	10 min	02:46 23.01.08	02:56 23.01.08	0000000310	0.517 	0.337  
 26	10 min	02:56 23.01.08	03:06 23.01.08	0000000307	0.512 	0.333  
 27	10 min	03:06 23.01.08	03:16 23.01.08	0000000301	0.502 	0.327  
 28	10 min	03:16 23.01.08	03:26 23.01.08	0000000282	0.470 	0.306  
 29	10 min	03:26 23.01.08	03:36 23.01.08	0000000287	0.478 	0.312  
 30	10 min	03:36 23.01.08	03:46 23.01.08	0000000283	0.472 	0.307  
 31	10 min	03:46 23.01.08	03:56 23.01.08	0000000287	0.478 	0.312  
 32	10 min	03:56 23.01.08	04:06 23.01.08	0000000294	0.490 	0.319  
 33	10 min	04:06 23.01.08	04:16 23.01.08	0000000276	0.460 	0.300  
 34	10 min	04:16 23.01.08	04:26 23.01.08	0000000294	0.490 	0.319  
 35	10 min	04:26 23.01.08	04:36 23.01.08	0000000279	0.465 	0.303  
 36	10 min	04:36 23.01.08	04:46 23.01.08	0000000292	0.487 	0.317  
 37	10 min	04:46 23.01.08	04:56 23.01.08	0000000301	0.502 	0.327  
 38	10 min	04:56 23.01.08	05:06 23.01.08	0000000334	0.557 	0.363  
 39	10 min	05:06 23.01.08	05:16 23.01.08	0000000321	0.535 	0.349  
 40	10 min	05:16 23.01.08	05:26 23.01.08	0000000299	0.498 	0.325  
 41	10 min	05:26 23.01.08	05:36 23.01.08	0000000321	0.535 	0.349  
 42	10 min	05:36 23.01.08	05:46 23.01.08	0000000286	0.477 	0.311  
 43	10 min	05:46 23.01.08	05:56 23.01.08	0000000294	0.490 	0.319  
 44	10 min	05:56 23.01.08	06:06 23.01.08	0000000283	0.472 	0.307  
 45	10 min	06:06 23.01.08	06:16 23.01.08	0000000292	0.487 	0.317  
 46	10 min	06:16 23.01.08	06:26 23.01.08	0000000303	0.505 	0.329  
 47	10 min	06:26 23.01.08	06:36 23.01.08	0000000287	0.478 	0.312  
 48	10 min	06:36 23.01.08	06:46 23.01.08	0000000302	0.503 	0.328  
 49	10 min	06:46 23.01.08	06:56 23.01.08	0000000290	0.483 	0.315  
 50	10 min	06:56 23.01.08	07:06 23.01.08	0000000275	0.458 	0.299  
 51	10 min	07:06 23.01.08	07:16 23.01.08	0000000270	0.450 	0.293  
 52	10 min	07:16 23.01.08	07:26 23.01.08	0000000330	0.550 	0.358  
 53	10 min	07:26 23.01.08	07:36 23.01.08	0000000295	0.492 	0.320  
 54	10 min	07:36 23.01.08	07:46 23.01.08	0000000282	0.470 	0.306  
 55	10 min	07:46 23.01.08	07:56 23.01.08	0000000297	0.495 	0.322  
 56	10 min	07:56 23.01.08	08:06 23.01.08	0000000308	0.513 	0.334  
 57	10 min	08:06 23.01.08	08:16 23.01.08	0000000301	0.502 	0.327  
 58	10 min	08:16 23.01.08	08:26 23.01.08	0000000311	0.518 	0.338  
 59	10 min	08:26 23.01.08	08:36 23.01.08	0000000295	0.492 	0.320  
 60	10 min	08:36 23.01.08	08:46 23.01.08	0000000325	0.542 	0.353  
 61	10 min	08:46 23.01.08	08:56 23.01.08	0000000300	0.500 	0.326  
 62	10 min	08:56 23.01.08	09:06 23.01.08	0000000325	0.542 	0.353  
 63	10 min	09:06 23.01.08	09:16 23.01.08	0000000282	0.470 	0.306  
 64	10 min	09:16 23.01.08	09:26 23.01.08	0000000292	0.487 	0.317  
 65	10 min	09:26 23.01.08	09:36 23.01.08	0000000302	0.503 	0.328  
 66	10 min	09:36 23.01.08	09:46 23.01.08	0000000312	0.520 	0.339  
 67	10 min	09:46 23.01.08	09:56 23.01.08	0000000278	0.463 	0.302  
 68	10 min	09:56 23.01.08	10:06 23.01.08	0000000307	0.512 	0.333  
 69	10 min	10:06 23.01.08	10:16 23.01.08	0000000312	0.520 	0.339  
 70	10 min	10:16 23.01.08	10:26 23.01.08	0000000302	0.503 	0.328  
 71	10 min	10:26 23.01.08	10:36 23.01.08	0000000295	0.492 	0.320  
 72	10 min	10:36 23.01.08	10:46 23.01.08	0000000275	0.458 	0.299  
 73	10 min	10:46 23.01.08	10:56 23.01.08	0000000299	0.498 	0.325  
 74	10 min	10:56 23.01.08	11:06 23.01.08	0000000316	0.527 	0.343  
 75	10 min	11:06 23.01.08	11:16 23.01.08	0000000290	0.483 	0.315  
 76	10 min	11:16 23.01.08	11:26 23.01.08	0000000286	0.477 	0.311  
 77	10 min	11:26 23.01.08	11:36 23.01.08	0000000267	0.445 	0.290  
 78	10 min	11:36 23.01.08	11:46 23.01.08	0000000277	0.462 	0.301  
 79	10 min	11:46 23.01.08	11:56 23.01.08	0000000313	0.522 	0.340  
 80	10 min	11:56 23.01.08	12:06 23.01.08	0000000291	0.485 	0.316  
 81	10 min	12:06 23.01.08	12:16 23.01.08	0000000284	0.473 	0.308  
 82	10 min	12:16 23.01.08	12:26 23.01.08	0000000308	0.513 	0.334  
 83	10 min	12:26 23.01.08	12:36 23.01.08	0000000289	0.482 	0.314  
 84	10 min	12:36 23.01.08	12:46 23.01.08	0000000312	0.520 	0.339  
 85	10 min	12:46 23.01.08	12:56 23.01.08	0000000316	0.527 	0.343  
 86	10 min	12:56 23.01.08	13:06 23.01.08	0000000281	0.468 	0.305  
 87	10 min	13:06 23.01.08	13:16 23.01.08	0000000301	0.502 	0.327  
 88	10 min	13:16 23.01.08	13:26 23.01.08	0000000277	0.462 	0.301  
 89	10 min	13:26 23.01.08	13:36 23.01.08	0000000304	0.507 	0.330  
 90	10 min	13:36 23.01.08	13:46 23.01.08	0000000280	0.467 	0.304  
 91	10 min	13:46 23.01.08	13:56 23.01.08	0000000286	0.477 	0.311  
 92	10 min	13:56 23.01.08	14:06 23.01.08	0000000288	0.480 	0.313  
 93	10 min	14:06 23.01.08	14:16 23.01.08	0000000285	0.475 	0.309  
 94	10 min	14:16 23.01.08	14:26 23.01.08	0000000261	0.435 	0.283  
 95	10 min	14:26 23.01.08	14:36 23.01.08	0000000276	0.460 	0.300  
 96	10 min	14:36 23.01.08	14:46 23.01.08	0000000296	0.493 	0.321  
 97	10 min	14:46 23.01.08	14:56 23.01.08	0000000277	0.462 	0.301  
 98	10 min	14:56 23.01.08	15:06 23.01.08	0000000293	0.488 	0.318  
 99	10 min	15:06 23.01.08	15:16 23.01.08	0000000287	0.478 	0.312  
 100	10 min	15:16 23.01.08	15:26 23.01.08	0000000286	0.477 	0.311  
 101	10 min	15:26 23.01.08	15:36 23.01.08	0000000274	0.457 	0.298  
 102	10 min	15:36 23.01.08	15:46 23.01.08	0000000293	0.488 	0.318  
 103	10 min	15:46 23.01.08	15:56 23.01.08	0000000289	0.482 	0.314  
 104	10 min	15:56 23.01.08	16:06 23.01.08	0000000289	0.482 	0.314  
 105	10 min	16:06 23.01.08	16:16 23.01.08	0000000279	0.465 	0.303  
 106	10 min	16:16 23.01.08	16:26 23.01.08	0000000296	0.493 	0.321  
 107	10 min	16:26 23.01.08	16:36 23.01.08	0000000251	0.418 	0.273  
 108	10 min	16:36 23.01.08	16:46 23.01.08	0000000287	0.478 	0.312  
