

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_14_23-04-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	10 min	16:41 14.01.08	16:42 14.01.08	0000000025	0.042 	0.027 x
 2	 1 min	16:42 14.01.08	16:43 14.01.08	0000000021	0.350 	0.228  
 3	 1 min	16:43 14.01.08	16:44 14.01.08	0000000025	0.417 	0.271  
 4	 1 min	16:44 14.01.08	16:45 14.01.08	0000000027	0.450 	0.293  
 5	 1 min	16:45 14.01.08	16:46 14.01.08	0000000039	0.650 	0.423  
 6	 1 min	16:46 14.01.08	16:47 14.01.08	0000000031	0.517 	0.337  
 7	 1 min	16:47 14.01.08	16:48 14.01.08	0000000033	0.550 	0.358  
 8	 1 min	16:48 14.01.08	16:49 14.01.08	0000000022	0.367 	0.239  
 9	 1 min	16:49 14.01.08	16:50 14.01.08	0000000020	0.333 	0.217  
 10	 1 min	16:50 14.01.08	16:51 14.01.08	0000000035	0.583 	0.380  
 11	 1 min	16:51 14.01.08	16:52 14.01.08	0000000031	0.517 	0.337  
 12	 1 min	16:52 14.01.08	16:53 14.01.08	0000000035	0.583 	0.380  
 13	 1 min	16:53 14.01.08	16:54 14.01.08	0000000024	0.400 	0.261  
 14	 1 min	16:54 14.01.08	16:55 14.01.08	0000000044	0.733 	0.478  
 15	 1 min	16:55 14.01.08	16:56 14.01.08	0000000027	0.450 	0.293  
 16	 1 min	16:56 14.01.08	16:57 14.01.08	0000000026	0.433 	0.282  
 17	 1 min	16:57 14.01.08	16:58 14.01.08	0000000034	0.567 	0.369  
 18	 1 min	16:58 14.01.08	16:59 14.01.08	0000000029	0.483 	0.315  
 19	 1 min	16:59 14.01.08	17:00 14.01.08	0000000027	0.450 	0.293  
 20	 1 min	17:00 14.01.08	17:01 14.01.08	0000000027	0.450 	0.293  
 21	 1 min	17:01 14.01.08	17:02 14.01.08	0000000033	0.550 	0.358  
 22	 1 min	17:02 14.01.08	17:03 14.01.08	0000000033	0.550 	0.358  
 23	 1 min	17:03 14.01.08	17:04 14.01.08	0000000019	0.317 	0.206  
 24	 1 min	17:04 14.01.08	17:05 14.01.08	0000000031	0.517 	0.337  
 25	 1 min	17:05 14.01.08	17:06 14.01.08	0000000031	0.517 	0.337  
