

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_15_23-07-53.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	 1 min	23:05 14.01.08	23:06 14.01.08	0000000016	0.267 	0.174 x
 2	10 min	23:06 14.01.08	23:16 14.01.08	0000000272	0.453 	0.295  
 3	10 min	23:16 14.01.08	23:26 14.01.08	0000000325	0.542 	0.353  
 4	10 min	23:26 14.01.08	23:36 14.01.08	0000000284	0.473 	0.308  
 5	10 min	23:36 14.01.08	23:46 14.01.08	0000000311	0.518 	0.338  
 6	10 min	23:46 14.01.08	23:56 14.01.08	0000000297	0.495 	0.322  
 7	10 min	23:56 14.01.08	00:06 15.01.08	0000000336	0.560 	0.365  
 8	10 min	00:06 15.01.08	00:16 15.01.08	0000000288	0.480 	0.313  
 9	10 min	00:16 15.01.08	00:26 15.01.08	0000000293	0.488 	0.318  
 10	10 min	00:26 15.01.08	00:36 15.01.08	0000000309	0.515 	0.336  
 11	10 min	00:36 15.01.08	00:46 15.01.08	0000000291	0.485 	0.316  
 12	10 min	00:46 15.01.08	00:56 15.01.08	0000000302	0.503 	0.328  
 13	10 min	00:56 15.01.08	01:06 15.01.08	0000000336	0.560 	0.365  
 14	10 min	01:06 15.01.08	01:16 15.01.08	0000000322	0.537 	0.350  
 15	10 min	01:16 15.01.08	01:26 15.01.08	0000000323	0.538 	0.351  
 16	10 min	01:26 15.01.08	01:36 15.01.08	0000000319	0.532 	0.346  
 17	10 min	01:36 15.01.08	01:46 15.01.08	0000000299	0.498 	0.325  
 18	10 min	01:46 15.01.08	01:56 15.01.08	0000000305	0.508 	0.331  
 19	10 min	01:56 15.01.08	02:06 15.01.08	0000000285	0.475 	0.309  
 20	10 min	02:06 15.01.08	02:16 15.01.08	0000000319	0.532 	0.346  
 21	10 min	02:16 15.01.08	02:26 15.01.08	0000000294	0.490 	0.319  
 22	10 min	02:26 15.01.08	02:36 15.01.08	0000000294	0.490 	0.319  
 23	10 min	02:36 15.01.08	02:46 15.01.08	0000000343	0.572 	0.372  
 24	10 min	02:46 15.01.08	02:56 15.01.08	0000000290	0.483 	0.315  
 25	10 min	02:56 15.01.08	03:06 15.01.08	0000000298	0.497 	0.324  
 26	10 min	03:06 15.01.08	03:16 15.01.08	0000000316	0.527 	0.343  
 27	10 min	03:16 15.01.08	03:26 15.01.08	0000000287	0.478 	0.312  
 28	10 min	03:26 15.01.08	03:36 15.01.08	0000000304	0.507 	0.330  
 29	10 min	03:36 15.01.08	03:46 15.01.08	0000000283	0.472 	0.307  
 30	10 min	03:46 15.01.08	03:56 15.01.08	0000000315	0.525 	0.342  
 31	10 min	03:56 15.01.08	04:06 15.01.08	0000000317	0.528 	0.344  
 32	10 min	04:06 15.01.08	04:16 15.01.08	0000000299	0.498 	0.325  
 33	10 min	04:16 15.01.08	04:26 15.01.08	0000000317	0.528 	0.344  
 34	10 min	04:26 15.01.08	04:36 15.01.08	0000000297	0.495 	0.322  
 35	10 min	04:36 15.01.08	04:46 15.01.08	0000000338	0.563 	0.367  
 36	10 min	04:46 15.01.08	04:56 15.01.08	0000000320	0.533 	0.347  
 37	10 min	04:56 15.01.08	05:06 15.01.08	0000000307	0.512 	0.333  
 38	10 min	05:06 15.01.08	05:16 15.01.08	0000000302	0.503 	0.328  
 39	10 min	05:16 15.01.08	05:26 15.01.08	0000000296	0.493 	0.321  
 40	10 min	05:26 15.01.08	05:36 15.01.08	0000000317	0.528 	0.344  
 41	10 min	05:36 15.01.08	05:46 15.01.08	0000000312	0.520 	0.339  
 42	10 min	05:46 15.01.08	05:56 15.01.08	0000000302	0.503 	0.328  
 43	10 min	05:56 15.01.08	06:06 15.01.08	0000000312	0.520 	0.339  
 44	10 min	06:06 15.01.08	06:16 15.01.08	0000000302	0.503 	0.328  
 45	10 min	06:16 15.01.08	06:26 15.01.08	0000000319	0.532 	0.346  
 46	10 min	06:26 15.01.08	06:36 15.01.08	0000000327	0.545 	0.355  
 47	10 min	06:36 15.01.08	06:46 15.01.08	0000000308	0.513 	0.334  
 48	10 min	06:46 15.01.08	06:56 15.01.08	0000000311	0.518 	0.338  
 49	10 min	06:56 15.01.08	07:06 15.01.08	0000000318	0.530 	0.345  
 50	10 min	07:06 15.01.08	07:16 15.01.08	0000000335	0.558 	0.364  
 51	10 min	07:16 15.01.08	07:26 15.01.08	0000000368	0.613 	0.400  
 52	10 min	07:26 15.01.08	07:36 15.01.08	0000000303	0.505 	0.329  
 53	10 min	07:36 15.01.08	07:46 15.01.08	0000000329	0.548 	0.357  
 54	10 min	07:46 15.01.08	07:56 15.01.08	0000000306	0.510 	0.332  
 55	10 min	07:56 15.01.08	08:06 15.01.08	0000000286	0.477 	0.311  
 56	10 min	08:06 15.01.08	08:16 15.01.08	0000000349	0.582 	0.379  
 57	10 min	08:16 15.01.08	08:26 15.01.08	0000000312	0.520 	0.339  
 58	10 min	08:26 15.01.08	08:36 15.01.08	0000000316	0.527 	0.343  
 59	10 min	08:36 15.01.08	08:46 15.01.08	0000000300	0.500 	0.326  
 60	10 min	08:46 15.01.08	08:56 15.01.08	0000000307	0.512 	0.333  
 61	10 min	08:56 15.01.08	09:06 15.01.08	0000000296	0.493 	0.321  
 62	10 min	09:06 15.01.08	09:16 15.01.08	0000000311	0.518 	0.338  
 63	10 min	09:16 15.01.08	09:26 15.01.08	0000000273	0.455 	0.296  
 64	10 min	09:26 15.01.08	09:36 15.01.08	0000000329	0.548 	0.357  
 65	10 min	09:36 15.01.08	09:46 15.01.08	0000000295	0.492 	0.320  
 66	10 min	09:46 15.01.08	09:56 15.01.08	0000000261	0.435 	0.283  
 67	10 min	09:56 15.01.08	10:06 15.01.08	0000000308	0.513 	0.334  
 68	10 min	10:06 15.01.08	10:16 15.01.08	0000000347	0.578 	0.377  
 69	10 min	10:16 15.01.08	10:26 15.01.08	0000000300	0.500 	0.326  
 70	10 min	10:26 15.01.08	10:36 15.01.08	0000000324	0.540 	0.352  
 71	10 min	10:36 15.01.08	10:46 15.01.08	0000000276	0.460 	0.300  
 72	10 min	10:46 15.01.08	10:56 15.01.08	0000000305	0.508 	0.331  
 73	10 min	10:56 15.01.08	11:06 15.01.08	0000000311	0.518 	0.338  
 74	10 min	11:06 15.01.08	11:16 15.01.08	0000000309	0.515 	0.336  
 75	10 min	11:16 15.01.08	11:26 15.01.08	0000000293	0.488 	0.318  
 76	10 min	11:26 15.01.08	11:36 15.01.08	0000000274	0.457 	0.298  
 77	10 min	11:36 15.01.08	11:46 15.01.08	0000000339	0.565 	0.368  
 78	10 min	11:46 15.01.08	11:56 15.01.08	0000000308	0.513 	0.334  
 79	10 min	11:56 15.01.08	12:06 15.01.08	0000000336	0.560 	0.365  
 80	10 min	12:06 15.01.08	12:16 15.01.08	0000000320	0.533 	0.347  
 81	10 min	12:16 15.01.08	12:26 15.01.08	0000000296	0.493 	0.321  
 82	10 min	12:26 15.01.08	12:36 15.01.08	0000000317	0.528 	0.344  
 83	10 min	12:36 15.01.08	12:46 15.01.08	0000000317	0.528 	0.344  
 84	10 min	12:46 15.01.08	12:56 15.01.08	0000000304	0.507 	0.330  
 85	10 min	12:56 15.01.08	13:06 15.01.08	0000000309	0.515 	0.336  
 86	10 min	13:06 15.01.08	13:16 15.01.08	0000000330	0.550 	0.358  
 87	10 min	13:16 15.01.08	13:26 15.01.08	0000000326	0.543 	0.354  
 88	10 min	13:26 15.01.08	13:36 15.01.08	0000000306	0.510 	0.332  
 89	10 min	13:36 15.01.08	13:46 15.01.08	0000000294	0.490 	0.319  
 90	10 min	13:46 15.01.08	13:56 15.01.08	0000000304	0.507 	0.330  
 91	10 min	13:56 15.01.08	14:06 15.01.08	0000000291	0.485 	0.316  
 92	10 min	14:06 15.01.08	14:16 15.01.08	0000000282	0.470 	0.306  
 93	10 min	14:16 15.01.08	14:26 15.01.08	0000000315	0.525 	0.342  
 94	10 min	14:26 15.01.08	14:36 15.01.08	0000000301	0.502 	0.327  
 95	10 min	14:36 15.01.08	14:46 15.01.08	0000000341	0.568 	0.370  
 96	10 min	14:46 15.01.08	14:56 15.01.08	0000000315	0.525 	0.342  
 97	10 min	14:56 15.01.08	15:06 15.01.08	0000000323	0.538 	0.351  
 98	10 min	15:06 15.01.08	15:16 15.01.08	0000000331	0.552 	0.359  
 99	10 min	15:16 15.01.08	15:26 15.01.08	0000000323	0.538 	0.351  
 100	10 min	15:26 15.01.08	15:36 15.01.08	0000000339	0.565 	0.368  
 101	10 min	15:36 15.01.08	15:46 15.01.08	0000000288	0.480 	0.313  
 102	10 min	15:46 15.01.08	15:56 15.01.08	0000000319	0.532 	0.346  
 103	10 min	15:56 15.01.08	16:06 15.01.08	0000000335	0.558 	0.364  
 104	10 min	16:06 15.01.08	16:16 15.01.08	0000000315	0.525 	0.342  
 105	10 min	16:16 15.01.08	16:26 15.01.08	0000000339	0.565 	0.368  
 106	10 min	16:26 15.01.08	16:36 15.01.08	0000000312	0.520 	0.339  
 107	10 min	16:36 15.01.08	16:46 15.01.08	0000000330	0.550 	0.358  
 108	10 min	16:46 15.01.08	16:56 15.01.08	0000000343	0.572 	0.372  
 109	10 min	16:56 15.01.08	17:06 15.01.08	0000000359	0.598 	0.390  
 110	10 min	17:06 15.01.08	17:16 15.01.08	0000000309	0.515 	0.336  
 111	10 min	17:16 15.01.08	17:26 15.01.08	0000000292	0.487 	0.317  
 112	10 min	17:26 15.01.08	17:36 15.01.08	0000000329	0.548 	0.357  
 113	10 min	17:36 15.01.08	17:46 15.01.08	0000000297	0.495 	0.322  
 114	10 min	17:46 15.01.08	17:56 15.01.08	0000000330	0.550 	0.358  
 115	10 min	17:56 15.01.08	18:06 15.01.08	0000000321	0.535 	0.349  
 116	10 min	18:06 15.01.08	18:16 15.01.08	0000000297	0.495 	0.322  
 117	10 min	18:16 15.01.08	18:26 15.01.08	0000000290	0.483 	0.315  
 118	10 min	18:26 15.01.08	18:36 15.01.08	0000000304	0.507 	0.330  
 119	10 min	18:36 15.01.08	18:46 15.01.08	0000000355	0.592 	0.385  
 120	10 min	18:46 15.01.08	18:56 15.01.08	0000000317	0.528 	0.344  
 121	10 min	18:56 15.01.08	19:06 15.01.08	0000000306	0.510 	0.332  
 122	10 min	19:06 15.01.08	19:16 15.01.08	0000000301	0.502 	0.327  
 123	10 min	19:16 15.01.08	19:26 15.01.08	0000000323	0.538 	0.351  
 124	10 min	19:26 15.01.08	19:36 15.01.08	0000000306	0.510 	0.332  
 125	10 min	19:36 15.01.08	19:46 15.01.08	0000000275	0.458 	0.299  
 126	10 min	19:46 15.01.08	19:56 15.01.08	0000000306	0.510 	0.332  
 127	10 min	19:56 15.01.08	20:06 15.01.08	0000000310	0.517 	0.337  
 128	10 min	20:06 15.01.08	20:16 15.01.08	0000000299	0.498 	0.325  
 129	10 min	20:16 15.01.08	20:26 15.01.08	0000000311	0.518 	0.338  
 130	10 min	20:26 15.01.08	20:36 15.01.08	0000000311	0.518 	0.338  
 131	10 min	20:36 15.01.08	20:46 15.01.08	0000000274	0.457 	0.298  
 132	10 min	20:46 15.01.08	20:56 15.01.08	0000000303	0.505 	0.329  
 133	10 min	20:56 15.01.08	21:06 15.01.08	0000000329	0.548 	0.357  
 134	10 min	21:06 15.01.08	21:16 15.01.08	0000000350	0.583 	0.380  
 135	10 min	21:16 15.01.08	21:26 15.01.08	0000000329	0.548 	0.357  
 136	10 min	21:26 15.01.08	21:36 15.01.08	0000000327	0.545 	0.355  
 137	10 min	21:36 15.01.08	21:46 15.01.08	0000000297	0.495 	0.322  
 138	10 min	21:46 15.01.08	21:56 15.01.08	0000000328	0.547 	0.356  
 139	10 min	21:56 15.01.08	22:06 15.01.08	0000000323	0.538 	0.351  
 140	10 min	22:06 15.01.08	22:16 15.01.08	0000000284	0.473 	0.308  
 141	10 min	22:16 15.01.08	22:26 15.01.08	0000000301	0.502 	0.327  
 142	10 min	22:26 15.01.08	22:36 15.01.08	0000000314	0.523 	0.341  
 143	10 min	22:36 15.01.08	22:46 15.01.08	0000000307	0.512 	0.333  
 144	10 min	22:46 15.01.08	22:56 15.01.08	0000000309	0.515 	0.336  
 145	10 min	22:56 15.01.08	23:06 15.01.08	0000000274	0.457 	0.298  
-----------------------------------------------------------------------------
