

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_01_21-41-17.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Week 	22:57 18.11.09	22:58 18.11.09	0000000013	0.000 	0.000 x
x2	Set/Tm.	22:58 18.11.09	22:59 18.11.09	0000000018	0.300 	0.003 x
x3	10 min	22:59 18.11.09	23:00 18.11.09	0000000290	0.483 	0.315 x
 4	10 min	23:00 18.11.09	23:10 18.11.09	0000000324	0.540 	0.352  
 5	10 min	23:10 18.11.09	23:20 18.11.09	0000000315	0.525 	0.342  
 6	10 min	23:20 18.11.09	23:30 18.11.09	0000000303	0.505 	0.329  
 7	10 min	23:30 18.11.09	23:40 18.11.09	0000000284	0.473 	0.308  
 8	10 min	23:40 18.11.09	23:50 18.11.09	0000000323	0.538 	0.351  
 9	10 min	23:50 18.11.09	00:00 19.11.09	0000000295	0.492 	0.320  
 10	10 min	00:00 19.11.09	00:10 19.11.09	0000000302	0.503 	0.328  
 11	10 min	00:10 19.11.09	00:20 19.11.09	0000000312	0.520 	0.339  
 12	10 min	00:20 19.11.09	00:30 19.11.09	0000000311	0.518 	0.338  
 13	10 min	00:30 19.11.09	00:40 19.11.09	0000000319	0.532 	0.346  
 14	10 min	00:40 19.11.09	00:50 19.11.09	0000000337	0.562 	0.366  
 15	10 min	00:50 19.11.09	01:00 19.11.09	0000000338	0.563 	0.367  
 16	10 min	01:00 19.11.09	01:10 19.11.09	0000000318	0.530 	0.345  
 17	10 min	01:10 19.11.09	01:20 19.11.09	0000000309	0.515 	0.336  
 18	10 min	01:20 19.11.09	01:30 19.11.09	0000000313	0.522 	0.340  
 19	10 min	01:30 19.11.09	01:40 19.11.09	0000000305	0.508 	0.331  
 20	10 min	01:40 19.11.09	01:50 19.11.09	0000000323	0.538 	0.351  
 21	10 min	01:50 19.11.09	02:00 19.11.09	0000000307	0.512 	0.333  
 22	10 min	02:00 19.11.09	02:10 19.11.09	0000000345	0.575 	0.375  
 23	10 min	02:10 19.11.09	02:20 19.11.09	0000000317	0.528 	0.344  
 24	10 min	02:20 19.11.09	02:30 19.11.09	0000000302	0.503 	0.328  
 25	10 min	02:30 19.11.09	02:40 19.11.09	0000000315	0.525 	0.342  
 26	10 min	02:40 19.11.09	02:50 19.11.09	0000000333	0.555 	0.362  
 27	10 min	02:50 19.11.09	03:00 19.11.09	0000000310	0.517 	0.337  
 28	10 min	03:00 19.11.09	03:10 19.11.09	0000000324	0.540 	0.352  
 29	10 min	03:10 19.11.09	03:20 19.11.09	0000000299	0.498 	0.325  
 30	10 min	03:20 19.11.09	03:30 19.11.09	0000000317	0.528 	0.344  
 31	10 min	03:30 19.11.09	03:40 19.11.09	0000000321	0.535 	0.349  
 32	10 min	03:40 19.11.09	03:50 19.11.09	0000000283	0.472 	0.307  
 33	10 min	03:50 19.11.09	04:00 19.11.09	0000000330	0.550 	0.358  
 34	10 min	04:00 19.11.09	04:10 19.11.09	0000000322	0.537 	0.350  
 35	10 min	04:10 19.11.09	04:20 19.11.09	0000000287	0.478 	0.312  
 36	10 min	04:20 19.11.09	04:30 19.11.09	0000000303	0.505 	0.329  
 37	10 min	04:30 19.11.09	04:40 19.11.09	0000000341	0.568 	0.370  
 38	10 min	04:40 19.11.09	04:50 19.11.09	0000000319	0.532 	0.346  
 39	10 min	04:50 19.11.09	05:00 19.11.09	0000000295	0.492 	0.320  
 40	10 min	05:00 19.11.09	05:10 19.11.09	0000000323	0.538 	0.351  
 41	10 min	05:10 19.11.09	05:20 19.11.09	0000000311	0.518 	0.338  
 42	10 min	05:20 19.11.09	05:30 19.11.09	0000000309	0.515 	0.336  
 43	10 min	05:30 19.11.09	05:40 19.11.09	0000000320	0.533 	0.347  
 44	10 min	05:40 19.11.09	05:50 19.11.09	0000000327	0.545 	0.355  
 45	10 min	05:50 19.11.09	06:00 19.11.09	0000000326	0.543 	0.354  
 46	10 min	06:00 19.11.09	06:10 19.11.09	0000000338	0.563 	0.367  
 47	10 min	06:10 19.11.09	06:20 19.11.09	0000000286	0.477 	0.311  
 48	10 min	06:20 19.11.09	06:30 19.11.09	0000000279	0.465 	0.303  
 49	10 min	06:30 19.11.09	06:40 19.11.09	0000000311	0.518 	0.338  
 50	10 min	06:40 19.11.09	06:50 19.11.09	0000000328	0.547 	0.356  
