

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_09_23-55-55.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	10 min	12:56 04.12.09	12:57 04.12.09	0000000018	0.030 	0.020 x
 2	10 min	12:57 04.12.09	13:07 04.12.09	0000000302	0.503 	0.328  
 3	10 min	13:07 04.12.09	13:17 04.12.09	0000000314	0.523 	0.341  
 4	10 min	13:17 04.12.09	13:27 04.12.09	0000000310	0.517 	0.337  
 5	10 min	13:27 04.12.09	13:37 04.12.09	0000000292	0.487 	0.317  
 6	10 min	13:37 04.12.09	13:47 04.12.09	0000000319	0.532 	0.346  
 7	10 min	13:47 04.12.09	13:57 04.12.09	0000000352	0.587 	0.382  
 8	10 min	13:57 04.12.09	14:07 04.12.09	0000000343	0.572 	0.372  
 9	10 min	14:07 04.12.09	14:17 04.12.09	0000000301	0.502 	0.327  
 10	10 min	14:17 04.12.09	14:27 04.12.09	0000000315	0.525 	0.342  
 11	10 min	14:27 04.12.09	14:37 04.12.09	0000000299	0.498 	0.325  
 12	10 min	14:37 04.12.09	14:47 04.12.09	0000000320	0.533 	0.347  
 13	10 min	14:47 04.12.09	14:57 04.12.09	0000000296	0.493 	0.321  
 14	10 min	14:57 04.12.09	15:07 04.12.09	0000000323	0.538 	0.351  
 15	10 min	15:07 04.12.09	15:17 04.12.09	0000000312	0.520 	0.339  
 16	10 min	15:17 04.12.09	15:27 04.12.09	0000000319	0.532 	0.346  
 17	10 min	15:27 04.12.09	15:37 04.12.09	0000000302	0.503 	0.328  
 18	10 min	15:37 04.12.09	15:47 04.12.09	0000000311	0.518 	0.338  
 19	10 min	15:47 04.12.09	15:57 04.12.09	0000000300	0.500 	0.326  
 20	10 min	15:57 04.12.09	16:07 04.12.09	0000000324	0.540 	0.352  
 21	10 min	16:07 04.12.09	16:17 04.12.09	0000000317	0.528 	0.344  
 22	10 min	16:17 04.12.09	16:27 04.12.09	0000000329	0.548 	0.357  
 23	10 min	16:27 04.12.09	16:37 04.12.09	0000000320	0.533 	0.347  
 24	10 min	16:37 04.12.09	16:47 04.12.09	0000000336	0.560 	0.365  
 25	10 min	16:47 04.12.09	16:57 04.12.09	0000000300	0.500 	0.326  
 26	10 min	16:57 04.12.09	17:07 04.12.09	0000000319	0.532 	0.346  
 27	10 min	17:07 04.12.09	17:17 04.12.09	0000000309	0.515 	0.336  
 28	10 min	17:17 04.12.09	17:27 04.12.09	0000000315	0.525 	0.342  
 29	10 min	17:27 04.12.09	17:37 04.12.09	0000000267	0.445 	0.290  
 30	10 min	17:37 04.12.09	17:47 04.12.09	0000000325	0.542 	0.353  
 31	10 min	17:47 04.12.09	17:57 04.12.09	0000000308	0.513 	0.334  
 32	10 min	17:57 04.12.09	18:07 04.12.09	0000000278	0.463 	0.302  
 33	10 min	18:07 04.12.09	18:17 04.12.09	0000000290	0.483 	0.315  
 34	10 min	18:17 04.12.09	18:27 04.12.09	0000000319	0.532 	0.346  
 35	10 min	18:27 04.12.09	18:37 04.12.09	0000000322	0.537 	0.350  
 36	10 min	18:37 04.12.09	18:47 04.12.09	0000000282	0.470 	0.306  
 37	10 min	18:47 04.12.09	18:57 04.12.09	0000000327	0.545 	0.355  
 38	10 min	18:57 04.12.09	19:07 04.12.09	0000000295	0.492 	0.320  
 39	10 min	19:07 04.12.09	19:17 04.12.09	0000000325	0.542 	0.353  
 40	10 min	19:17 04.12.09	19:27 04.12.09	0000000322	0.537 	0.350  
 41	10 min	19:27 04.12.09	19:37 04.12.09	0000000270	0.450 	0.293  
 42	10 min	19:37 04.12.09	19:47 04.12.09	0000000307	0.512 	0.333  
 43	10 min	19:47 04.12.09	19:57 04.12.09	0000000313	0.522 	0.340  
 44	10 min	19:57 04.12.09	20:07 04.12.09	0000000295	0.492 	0.320  
 45	10 min	20:07 04.12.09	20:17 04.12.09	0000000335	0.558 	0.364  
 46	10 min	20:17 04.12.09	20:27 04.12.09	0000000299	0.498 	0.325  
 47	10 min	20:27 04.12.09	20:37 04.12.09	0000000335	0.558 	0.364  
