

-----------------------------------------------------------------------------
            Gamma-Scout    -- Calculation of Raw-Data --
                   with Gamma-Scout ToolBox-Application
            "Version 3.30  Rev. K5     November  2008"
                 This version with dynamic calibration factor                
-----------------------------------------------------------------------------
            "File : GAMMA_2010_07_20_22-11-37.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second).
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.

Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------
x1	Set/Tm.	20:27 15.07.10	20:27 15.07.10	0000000008	0.133 	0.001 x 	138.300
x2	10 min	20:27 15.07.10	20:37 15.07.10	0000000266	0.443 	0.192 x 	138.300
 3	10 min	20:37 15.07.10	20:47 15.07.10	0000000297	0.495 	0.215   	138.300
 4	10 min	20:47 15.07.10	20:57 15.07.10	0000000333	0.555 	0.241   	138.300
 5	10 min	20:57 15.07.10	21:07 15.07.10	0000000330	0.550 	0.239   	138.300
 6	10 min	21:07 15.07.10	21:17 15.07.10	0000000309	0.515 	0.223   	138.300
 7	10 min	21:17 15.07.10	21:27 15.07.10	0000000284	0.473 	0.205   	138.300
 8	10 min	21:27 15.07.10	21:37 15.07.10	0000000318	0.530 	0.230   	138.300
 9	10 min	21:37 15.07.10	21:47 15.07.10	0000000327	0.545 	0.236   	138.300
 10	10 min	21:47 15.07.10	21:57 15.07.10	0000000287	0.478 	0.208   	138.300
 11	10 min	21:57 15.07.10	22:07 15.07.10	0000000301	0.502 	0.218   	138.300
 12	10 min	22:07 15.07.10	22:17 15.07.10	0000000310	0.517 	0.224   	138.300
 13	10 min	22:17 15.07.10	22:27 15.07.10	0000000325	0.542 	0.235   	138.300
 14	10 min	22:27 15.07.10	22:37 15.07.10	0000000305	0.508 	0.221   	138.300
 15	10 min	22:37 15.07.10	22:47 15.07.10	0000000315	0.525 	0.228   	138.300
 16	10 min	22:47 15.07.10	22:57 15.07.10	0000000339	0.565 	0.245   	138.300
 17	10 min	22:57 15.07.10	23:07 15.07.10	0000000300	0.500 	0.217   	138.300
 18	10 min	23:07 15.07.10	23:17 15.07.10	0000000289	0.482 	0.209   	138.300
 19	10 min	23:17 15.07.10	23:27 15.07.10	0000000328	0.547 	0.237   	138.300
 20	10 min	23:27 15.07.10	23:37 15.07.10	0000000302	0.503 	0.218   	138.300
 21	10 min	23:37 15.07.10	23:47 15.07.10	0000000295	0.492 	0.213   	138.300
 22	10 min	23:47 15.07.10	23:57 15.07.10	0000000312	0.520 	0.226   	138.300
 23	10 min	23:57 15.07.10	00:07 16.07.10	0000000345	0.575 	0.249   	138.300
 24	10 min	00:07 16.07.10	00:17 16.07.10	0000000293	0.488 	0.212   	138.300
 25	10 min	00:17 16.07.10	00:27 16.07.10	0000000325	0.542 	0.235   	138.300
 26	10 min	00:27 16.07.10	00:37 16.07.10	0000000317	0.528 	0.229   	138.300
 27	10 min	00:37 16.07.10	00:47 16.07.10	0000000290	0.483 	0.210   	138.300
 28	10 min	00:47 16.07.10	00:57 16.07.10	0000000317	0.528 	0.229   	138.300
 29	10 min	00:57 16.07.10	01:07 16.07.10	0000000349	0.582 	0.252   	138.300
 30	10 min	01:07 16.07.10	01:17 16.07.10	0000000332	0.553 	0.240   	138.300
 31	10 min	01:17 16.07.10	01:27 16.07.10	0000000277	0.462 	0.200   	138.300
