

-----------------------------------------------------------------------------
            Gamma-Scout    -- Calculation of Raw-Data --
                   with Gamma-Scout ToolBox-Application
            "Version 3.30  Rev. K5     November  2008"
                 This version with dynamic calibration factor                
-----------------------------------------------------------------------------
            "File : GAMMA_2010_07_06_21-45-18.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second).
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.

Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
x1	Set/Tm.	22:21 06.07.10	22:22 06.07.10	0000000039	0.650 	0.005 x 	138.300
x2	Set/Tm.	22:22 06.07.10	22:22 06.07.10	0000000005	0.083 	0.001 x 	138.300
x3	Set/Tm.	22:22 06.07.10	22:22 06.07.10	0000000004	0.067 	0.000 x 	138.300
x4	 1 min	22:22 06.07.10	22:23 06.07.10	0000000004	0.067 	0.029 x 	138.300
 5	 1 min	22:23 06.07.10	22:24 06.07.10	0000000027	0.450 	0.195   	138.300
 6	 1 min	22:24 06.07.10	22:25 06.07.10	0000000035	0.583 	0.253   	138.300
 7	 1 min	22:25 06.07.10	22:26 06.07.10	0000000035	0.583 	0.253   	138.300
 8	 1 min	22:26 06.07.10	22:27 06.07.10	0000000028	0.467 	0.202   	138.300
 9	 1 min	22:27 06.07.10	22:28 06.07.10	0000000035	0.583 	0.253   	138.300
 10	 1 min	22:28 06.07.10	22:29 06.07.10	0000000024	0.400 	0.174   	138.300
 11	 1 min	22:29 06.07.10	22:30 06.07.10	0000000026	0.433 	0.188   	138.300
 12	 1 min	22:30 06.07.10	22:31 06.07.10	0000000025	0.417 	0.181   	138.300
 13	 1 min	22:31 06.07.10	22:32 06.07.10	0000000027	0.450 	0.195   	138.300
 14	 1 min	22:32 06.07.10	22:33 06.07.10	0000000032	0.533 	0.231   	138.300
 15	 1 min	22:33 06.07.10	22:34 06.07.10	0000000033	0.550 	0.239   	138.300
 16	 1 min	22:34 06.07.10	22:35 06.07.10	0000000036	0.600 	0.260   	138.300
 17	 1 min	22:35 06.07.10	22:36 06.07.10	0000000040	0.667 	0.289   	138.300
 18	 1 min	22:36 06.07.10	22:37 06.07.10	0000000034	0.567 	0.246   	138.300
 19	 1 min	22:37 06.07.10	22:38 06.07.10	0000000028	0.467 	0.202   	138.300
 20	 1 min	22:38 06.07.10	22:39 06.07.10	0000000033	0.550 	0.239   	138.300
 21	 1 min	22:39 06.07.10	22:40 06.07.10	0000000036	0.600 	0.260   	138.300
 22	 1 min	22:40 06.07.10	22:41 06.07.10	0000000025	0.417 	0.181   	138.300
 23	 1 min	22:41 06.07.10	22:42 06.07.10	0000000026	0.433 	0.188   	138.300
 24	 1 min	22:42 06.07.10	22:43 06.07.10	0000000038	0.633 	0.275   	138.300
 25	 1 min	22:43 06.07.10	22:44 06.07.10	0000000040	0.667 	0.289   	138.300
 26	 1 min	22:44 06.07.10	22:45 06.07.10	0000000030	0.500 	0.217   	138.300
 27	 1 min	22:45 06.07.10	22:46 06.07.10	0000000030	0.500 	0.217   	138.300
 28	 1 min	22:46 06.07.10	22:47 06.07.10	0000000030	0.500 	0.217   	138.300
 29	 1 min	22:47 06.07.10	22:48 06.07.10	0000000036	0.600 	0.260   	138.300
 30	 1 min	22:48 06.07.10	22:49 06.07.10	0000000031	0.517 	0.224   	138.300
 31	 1 min	22:49 06.07.10	22:50 06.07.10	0000000042	0.700 	0.304   	138.300
 32	 1 min	22:50 06.07.10	22:51 06.07.10	0000000033	0.550 	0.239   	138.300
 33	 1 min	22:51 06.07.10	22:52 06.07.10	0000000029	0.483 	0.210   	138.300
 34	 1 min	22:52 06.07.10	22:53 06.07.10	0000000031	0.517 	0.224   	138.300
 35	 1 min	22:53 06.07.10	22:54 06.07.10	0000000026	0.433 	0.188   	138.300
 36	 1 min	22:54 06.07.10	22:55 06.07.10	0000000033	0.550 	0.239   	138.300
 37	 1 min	22:55 06.07.10	22:56 06.07.10	0000000046	0.767 	0.333   	138.300
 38	 1 min	22:56 06.07.10	22:57 06.07.10	0000000026	0.433 	0.188   	138.300
 39	 1 min	22:57 06.07.10	22:58 06.07.10	0000000032	0.533 	0.231   	138.300
 40	 1 min	22:58 06.07.10	22:59 06.07.10	0000000030	0.500 	0.217   	138.300
 41	 1 min	22:59 06.07.10	23:00 06.07.10	0000000030	0.500 	0.217   	138.300
 42	 1 min	23:00 06.07.10	23:01 06.07.10	0000000041	0.683 	0.296   	138.300
-----------------------------------------------------------------------------
