

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_09_09-14-27.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Set/Tm.	23:20 08.07.10	23:21 08.07.10	0000000030	0.500 	0.005 x
x2	10 min	23:21 08.07.10	23:22 08.07.10	0000000022	0.037 	0.024 x
x3	Set/Tm.	23:22 08.07.10	23:23 08.07.10	0000000048	0.400 	0.004 x
x4	 1 min	23:23 08.07.10	23:24 08.07.10	0000000009	0.150 	0.098 x
 5	 1 min	23:24 08.07.10	23:25 08.07.10	0000000013	0.217 	0.141  
 6	 1 min	23:25 08.07.10	23:26 08.07.10	0000000016	0.267 	0.174  
 7	 1 min	23:26 08.07.10	23:27 08.07.10	0000000030	0.500 	0.326  
 8	 1 min	23:27 08.07.10	23:28 08.07.10	0000000033	0.550 	0.358  
 9	 1 min	23:28 08.07.10	23:29 08.07.10	0000000019	0.317 	0.206  
 10	 1 min	23:29 08.07.10	23:30 08.07.10	0000000023	0.383 	0.250  
 11	 1 min	23:30 08.07.10	23:31 08.07.10	0000000037	0.617 	0.402  
 12	 1 min	23:31 08.07.10	23:32 08.07.10	0000000040	0.667 	0.434  
 13	 1 min	23:32 08.07.10	23:33 08.07.10	0000000036	0.600 	0.391  
 14	 1 min	23:33 08.07.10	23:34 08.07.10	0000000037	0.617 	0.402  
 15	 1 min	23:34 08.07.10	23:35 08.07.10	0000000029	0.483 	0.315  
 16	 1 min	23:35 08.07.10	23:36 08.07.10	0000000036	0.600 	0.391  
 17	 1 min	23:36 08.07.10	23:37 08.07.10	0000000030	0.500 	0.326  
 18	 1 min	23:37 08.07.10	23:38 08.07.10	0000000033	0.550 	0.358  
 19	 1 min	23:38 08.07.10	23:39 08.07.10	0000000036	0.600 	0.391  
