

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_02_24_21-33-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Week 	23:03 23.02.08	23:04 23.02.08	0000000019	0.000 	0.000 x
 2	10 min	23:04 23.02.08	23:14 23.02.08	0000000307	0.512 	0.333  
 3	10 min	23:14 23.02.08	23:24 23.02.08	0000000276	0.460 	0.300  
 4	10 min	23:24 23.02.08	23:34 23.02.08	0000000306	0.510 	0.332  
 5	10 min	23:34 23.02.08	23:44 23.02.08	0000000251	0.418 	0.273  
 6	10 min	23:44 23.02.08	23:54 23.02.08	0000000302	0.503 	0.328  
 7	10 min	23:54 23.02.08	00:04 24.02.08	0000000254	0.423 	0.276  
 8	10 min	00:04 24.02.08	00:14 24.02.08	0000000308	0.513 	0.334  
 9	10 min	00:14 24.02.08	00:24 24.02.08	0000000283	0.472 	0.307  
 10	10 min	00:24 24.02.08	00:34 24.02.08	0000000273	0.455 	0.296  
 11	10 min	00:34 24.02.08	00:44 24.02.08	0000000272	0.453 	0.295  
 12	10 min	00:44 24.02.08	00:54 24.02.08	0000000306	0.510 	0.332  
 13	10 min	00:54 24.02.08	01:04 24.02.08	0000000293	0.488 	0.318  
 14	10 min	01:04 24.02.08	01:14 24.02.08	0000000286	0.477 	0.311  
 15	10 min	01:14 24.02.08	01:24 24.02.08	0000000277	0.462 	0.301  
 16	10 min	01:24 24.02.08	01:34 24.02.08	0000000291	0.485 	0.316  
 17	10 min	01:34 24.02.08	01:44 24.02.08	0000000263	0.438 	0.286  
 18	10 min	01:44 24.02.08	01:54 24.02.08	0000000308	0.513 	0.334  
 19	10 min	01:54 24.02.08	02:04 24.02.08	0000000300	0.500 	0.326  
 20	10 min	02:04 24.02.08	02:14 24.02.08	0000000303	0.505 	0.329  
 21	10 min	02:14 24.02.08	02:24 24.02.08	0000000311	0.518 	0.338  
 22	10 min	02:24 24.02.08	02:34 24.02.08	0000000264	0.440 	0.287  
 23	10 min	02:34 24.02.08	02:44 24.02.08	0000000268	0.447 	0.291  
 24	10 min	02:44 24.02.08	02:54 24.02.08	0000000274	0.457 	0.298  
 25	10 min	02:54 24.02.08	03:04 24.02.08	0000000264	0.440 	0.287  
 26	10 min	03:04 24.02.08	03:14 24.02.08	0000000290	0.483 	0.315  
 27	10 min	03:14 24.02.08	03:24 24.02.08	0000000276	0.460 	0.300  
 28	10 min	03:24 24.02.08	03:34 24.02.08	0000000282	0.470 	0.306  
 29	10 min	03:34 24.02.08	03:44 24.02.08	0000000259	0.432 	0.281  
 30	10 min	03:44 24.02.08	03:54 24.02.08	0000000264	0.440 	0.287  
 31	10 min	03:54 24.02.08	04:04 24.02.08	0000000294	0.490 	0.319  
 32	10 min	04:04 24.02.08	04:14 24.02.08	0000000283	0.472 	0.307  
 33	10 min	04:14 24.02.08	04:24 24.02.08	0000000295	0.492 	0.320  
 34	10 min	04:24 24.02.08	04:34 24.02.08	0000000303	0.505 	0.329  
 35	10 min	04:34 24.02.08	04:44 24.02.08	0000000273	0.455 	0.296  
 36	10 min	04:44 24.02.08	04:54 24.02.08	0000000288	0.480 	0.313  
 37	10 min	04:54 24.02.08	05:04 24.02.08	0000000320	0.533 	0.347  
 38	10 min	05:04 24.02.08	05:14 24.02.08	0000000308	0.513 	0.334  
 39	10 min	05:14 24.02.08	05:24 24.02.08	0000000277	0.462 	0.301  
 40	10 min	05:24 24.02.08	05:34 24.02.08	0000000298	0.497 	0.324  
 41	10 min	05:34 24.02.08	05:44 24.02.08	0000000315	0.525 	0.342  
 42	10 min	05:44 24.02.08	05:54 24.02.08	0000000274	0.457 	0.298  
 43	10 min	05:54 24.02.08	06:04 24.02.08	0000000272	0.453 	0.295  
 44	10 min	06:04 24.02.08	06:14 24.02.08	0000000269	0.448 	0.292  
 45	10 min	06:14 24.02.08	06:24 24.02.08	0000000287	0.478 	0.312  
 46	10 min	06:24 24.02.08	06:34 24.02.08	0000000279	0.465 	0.303  
 47	10 min	06:34 24.02.08	06:44 24.02.08	0000000310	0.517 	0.337  
 48	10 min	06:44 24.02.08	06:54 24.02.08	0000000277	0.462 	0.301  
 49	10 min	06:54 24.02.08	07:04 24.02.08	0000000296	0.493 	0.321  
 50	10 min	07:04 24.02.08	07:14 24.02.08	0000000306	0.510 	0.332  
 51	10 min	07:14 24.02.08	07:24 24.02.08	0000000272	0.453 	0.295  
 52	10 min	07:24 24.02.08	07:34 24.02.08	0000000281	0.468 	0.305  
 53	10 min	07:34 24.02.08	07:44 24.02.08	0000000298	0.497 	0.324  
 54	10 min	07:44 24.02.08	07:54 24.02.08	0000000300	0.500 	0.326  
 55	10 min	07:54 24.02.08	08:04 24.02.08	0000000303	0.505 	0.329  
 56	10 min	08:04 24.02.08	08:14 24.02.08	0000000289	0.482 	0.314  
 57	10 min	08:14 24.02.08	08:24 24.02.08	0000000295	0.492 	0.320  
 58	10 min	08:24 24.02.08	08:34 24.02.08	0000000302	0.503 	0.328  
 59	10 min	08:34 24.02.08	08:44 24.02.08	0000000305	0.508 	0.331  
 60	10 min	08:44 24.02.08	08:54 24.02.08	0000000316	0.527 	0.343  
 61	10 min	08:54 24.02.08	09:04 24.02.08	0000000290	0.483 	0.315  
 62	10 min	09:04 24.02.08	09:14 24.02.08	0000000344	0.573 	0.374  
 63	10 min	09:14 24.02.08	09:24 24.02.08	0000000300	0.500 	0.326  
 64	10 min	09:24 24.02.08	09:34 24.02.08	0000000308	0.513 	0.334  
 65	10 min	09:34 24.02.08	09:44 24.02.08	0000000289	0.482 	0.314  
 66	10 min	09:44 24.02.08	09:54 24.02.08	0000000312	0.520 	0.339  
 67	10 min	09:54 24.02.08	10:04 24.02.08	0000000304	0.507 	0.330  
 68	10 min	10:04 24.02.08	10:14 24.02.08	0000000277	0.462 	0.301  
 69	10 min	10:14 24.02.08	10:24 24.02.08	0000000305	0.508 	0.331  
 70	10 min	10:24 24.02.08	10:34 24.02.08	0000000305	0.508 	0.331  
 71	10 min	10:34 24.02.08	10:44 24.02.08	0000000296	0.493 	0.321  
 72	10 min	10:44 24.02.08	10:54 24.02.08	0000000310	0.517 	0.337  
 73	10 min	10:54 24.02.08	11:04 24.02.08	0000000277	0.462 	0.301  
 74	10 min	11:04 24.02.08	11:14 24.02.08	0000000309	0.515 	0.336  
 75	10 min	11:14 24.02.08	11:24 24.02.08	0000000317	0.528 	0.344  
 76	10 min	11:24 24.02.08	11:34 24.02.08	0000000306	0.510 	0.332  
 77	10 min	11:34 24.02.08	11:44 24.02.08	0000000332	0.553 	0.360  
 78	10 min	11:44 24.02.08	11:54 24.02.08	0000000297	0.495 	0.322  
 79	10 min	11:54 24.02.08	12:04 24.02.08	0000000290	0.483 	0.315  
 80	10 min	12:04 24.02.08	12:14 24.02.08	0000000308	0.513 	0.334  
 81	10 min	12:14 24.02.08	12:24 24.02.08	0000000292	0.487 	0.317  
 82	10 min	12:24 24.02.08	12:34 24.02.08	0000000303	0.505 	0.329  
 83	10 min	12:34 24.02.08	12:44 24.02.08	0000000324	0.540 	0.352  
 84	10 min	12:44 24.02.08	12:54 24.02.08	0000000343	0.572 	0.372  
 85	10 min	12:54 24.02.08	13:04 24.02.08	0000000323	0.538 	0.351  
 86	10 min	13:04 24.02.08	13:14 24.02.08	0000000277	0.462 	0.301  
 87	10 min	13:14 24.02.08	13:24 24.02.08	0000000330	0.550 	0.358  
 88	10 min	13:24 24.02.08	13:34 24.02.08	0000000299	0.498 	0.325  
 89	10 min	13:34 24.02.08	13:44 24.02.08	0000000324	0.540 	0.352  
 90	10 min	13:44 24.02.08	13:54 24.02.08	0000000284	0.473 	0.308  
 91	10 min	13:54 24.02.08	14:04 24.02.08	0000000298	0.497 	0.324  
 92	10 min	14:04 24.02.08	14:14 24.02.08	0000000311	0.518 	0.338  
 93	10 min	14:14 24.02.08	14:24 24.02.08	0000000285	0.475 	0.309  
 94	10 min	14:24 24.02.08	14:34 24.02.08	0000000336	0.560 	0.365  
 95	10 min	14:34 24.02.08	14:44 24.02.08	0000000326	0.543 	0.354  
 96	10 min	14:44 24.02.08	14:54 24.02.08	0000000293	0.488 	0.318  
 97	10 min	14:54 24.02.08	15:04 24.02.08	0000000302	0.503 	0.328  
 98	10 min	15:04 24.02.08	15:14 24.02.08	0000000304	0.507 	0.330  
