A	B
-180	2.11685
-175	1.90244
-170	1.38806
-165	0.70144
-160	-0.01589
-155	-0.66589
-150	-1.22416
-145	-1.73102
-140	-2.25362
-135	-2.84324
-130	-3.51189
-125	-4.23788
-120	-4.99241
-115	-5.76695
-110	-6.58299
-105	-7.47749
-100	-8.47252
-95	-9.54589
-90	-10.61785
-85	-11.55893
-80	-12.2136
-75	-12.42897
-70	-12.08004
-65	-11.08899
-60	-9.44018
-55	-7.1922
-50	-4.48319
-45	-1.52221
-40	1.43924
-35	4.15337
-30	6.42765
-25	8.1634
-20	9.36592
-15	10.12246
-10	10.55787
-5	10.78737
0	10.88543
5	10.8798
10	10.76688
15	10.53575
20	10.18703
25	9.73969
30	9.2274
35	8.69145
40	8.17603
45	7.72687
50	7.38915
55	7.20034
60	7.17784
65	7.30736
70	7.54021
75	7.80462
80	8.02833
85	8.16258
90	8.19567
95	8.14954
100	8.06238
105	7.96792
110	7.88349
115	7.81214
120	7.75431
125	7.71753
130	7.71361
135	7.74186
140	7.76845
145	7.7182
150	7.49161
155	7.00635
160	6.24684
165	5.29697
170	4.33449
175	3.58271
180	3.2356
