HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 236 00  0.00 00   0 00  0.00  R   0 00
 0.08 256 00  0.00 00   0 00  0.00  R   0  R
 0.17 261 00  0.00 00   0 00  0.00  R   0  R
 0.25 239 00  0.00 00   0 00  0.00  R   0  R
 0.42 266 00  0.00 00   0 00  0.00  R   0  R
 0.50 294 00  0.00 00   0 00  0.00  R   0  R
 0.58 281 00  0.00 00   0 00  0.00  R   0  R
 0.67 294 00  0.00 00   0 00  0.00  R   0  R
 0.75 254 00  0.00 00   0 00  0.00  R   0  R
 0.83 239 00  0.00 00   0 00  0.00  R   0  R
 0.92 221 00  0.00 00   0 00  0.00  R   0  R
 1.00 213 00  0.00 00   0 00  0.00  R   0 00
 1.08 229 00  0.00 00   0 00  0.00  M   0  M
 1.17 231 00  0.00 00   0 00  0.00  M   0  M
 1.25 234 00  0.00 00   0 00  7.57 00 301 00
 1.33 241 00  0.00 00   0 00  0.00  M   0  M
 1.42 229 00  0.00 00   0 00  8.21 00 296 00
 1.50 246 00  0.00 00   0 00  0.00  R   0  R
 1.58 234 00  0.00 00   0 00  0.00  R   0  R
 1.67 218 00  0.00 00   0 00  8.13 00 321 00
 1.75 246 00  0.00 00   0 00  7.69 00 304 00
 1.83 241 00  0.00 00   0 00  6.80 00 284 00
 1.92 231 00  0.00 00   0 00  7.12 00 276 00
 2.00 241 00  0.00 00   0 00  6.50 00 281 00
 2.08 231 00  0.00 00   0 00  7.16 00 301 00
 2.17 229 00  0.00 00   0 00  6.40 00 301 00
 2.25 221 00  0.00 00   0 00  6.84 00 294 00
 2.33 229 00  0.00 00   0 00  6.60 00 281 00
 2.42 239 00  0.00 00   0 00  6.37 00 284 00
 2.50 218 00  0.00 00   0 00  6.70 00 279 00
 2.58 229 00  0.00 00   0 00  6.40 00 269 00
 2.67 216 00  0.00 00   0 00  6.57 00 266 00
 2.75 213 00  0.00 00   0 00  6.60 00 274 00
 2.83 218 00  0.00 00   0 00  6.43 00 245 00
 2.92 221 00  0.00 00   0 00  6.67 00 256 00
 3.00 211 00  0.00 00   0 00  6.40 00 236 00
 3.08 208 00  0.00 00   0 00  6.18 00 231 00
 3.17 206 00  0.00 00   0 00  6.15 00 234 00
 3.25 193 00  0.00 00   0 00  5.84 00 234 00
 3.33 201 00  0.00 00   0 00  5.58 00 229 00
 3.42 198 00  0.00 00   0 00  5.55 00 241 00
 3.50 201 00  0.00 00   0 00  5.47 00 241 00
 3.58 188 00  0.00 00   0 00  5.25 00 234 00
 3.67 196 00  0.00 00   0 00  5.20 00 244 00
 3.75 206 00  0.00 00   0 00  5.01 00 244 00
 3.83 203 00  0.00 00   0 00  5.07 00 239 00
 3.92 216 00  0.00 00   0 00  4.89 00 246 00
 4.00 221 00  0.00 00   0 00  4.99 00 259 00
 4.08 208 00  0.00 00   0 00  4.91 00 254 00
 4.17 206 00  0.00 00   0 00  4.89 00 256 00
 4.25 203 00  0.00 00   0 00  4.69 00 246 00
 4.33 201 00  0.00 00   0 00  4.58 00 231 00
 4.42 206 00  0.00 00   0 00  4.42 00 226 00
 4.50 211 00  0.00 00   0 00  4.20 00 234 00
 4.58 216 00  0.00 00   0 00  4.09 00 229 00
 4.67 221 00  0.00 00   0 00  4.03 00 241 00
 4.75 218 00  0.00 00   0 00  3.97 00 244 00
 4.83 216 00  0.00 00   0 00  3.99 00 241 00
 4.92 218 00  0.00 00   0 00  3.81 00 234 00
 5.00 201 00  0.00 00   0 00  3.85 00 226 00
 5.08 208 00  0.00 00   0 00  3.97 00 226 00
 5.17 196 00  0.00 00   0 00  3.93 00 218 00
 5.25 198 00  0.00 00   0 00  3.83 00 224 00
 5.33 206 00  0.00 00   0 00  3.87 00 218 00
 5.42 196 00  0.00 00   0 00  3.77 00 216 00
 5.50 203 00  0.00 00   0 00  3.53 00 218 00
 5.58 191 00  0.00 00   0 00  3.42 00 206 00
 5.67 193 00  0.00 00   0 00  3.12 00 201 00
