 Data  Fluxo     foF2 
1996_033   764      ----
1996_034   740      ----
1996_035   735      ----
1996_036   714      ----
1996_037   712      ----
1996_038   701      ----
1996_039   675      ----
1996_040   700      ----
1996_041   698      ----
1996_042   700      ----
1996_043   691      ----
1996_044   687      ----
1996_045   689      ----
1996_046   690      ----
1996_047   701      ----
1996_048   707      ----
1996_049   702      ----
1996_050   710      ----
1996_051   722      ----
1996_052   719      ----
1996_053   716     9.900
1996_054   739    11.900
1996_055   757    11.200
1996_056   733     9.900
1996_057   724     9.600
1996_058   721    10.900
1996_059   722    11.500
1996_060   722    11.300
1996_061   719     9.950
1996_062   711    10.400
1996_063   702    10.600
1996_064   692    10.800
1996_065   691      ----
1996_066   694      ----
1996_067   678     9.700
1996_068   698     9.400
1996_069   675    11.700
1996_070   691    10.200
1996_071   718    10.100
1996_072   732     9.500
1996_073   713    11.100
1996_074   708    10.200
1996_075   704    10.200
1996_076   710      ----
1996_077   706      ----
1996_078   706      ----
1996_079   699      ----
1996_080   693      ----
1996_081   704      ----
1996_082   738      ----
1996_083   721      ----
1996_084   712      ----
1996_085   725      ----
1996_086   719      ----
1996_087   718      ----
1996_088   719      ----
1996_089   705    10.000
1996_090   702     9.600
1996_091   701    10.900
1996_092   682    11.300
1996_093   707     7.700
1996_094   711     8.500
1996_095   702     9.200
1996_096   699    11.200
1996_097   687    11.400
1996_098   684    10.200
1996_099   684      ----
1996_100   690     6.700
1996_101   688    10.700
1996_102   685     8.100
1996_103   683    11.400
1996_104   688     9.600
1996_105   687     8.500
1996_106   680     6.700
1996_107   683    10.700
1996_108   693      ----
1996_109   701      ----
1996_110   705      ----
1996_111   715     8.300
1996_112   740      ----
1996_113   724      ----
1996_114   711      ----
1996_115   686      ----
1996_116   678      ----
1996_117   682      ----
1996_118   682     5.200
1996_119   677      ----
1996_120   684      ----
1996_121   685      ----
1996_122   679      ----
1996_123   679      ----
1996_124   683      ----
1996_125   694      ----
1996_126   708      ----
1996_127   746      ----
1996_128   749      ----
1996_129   761     7.100
1996_130   762     6.550
1996_131   775      ----
1996_132   765      ----
1996_133   736      ----
1996_134   727      ----
1996_135   718      ----
1996_136   709      ----
1996_137   710      ----
1996_138   712    10.900
1996_139   703      ----
1996_140   688     9.500
1996_141   680    10.200
1996_142   669     8.200
1996_143   664      ----
1996_144   672      ----
1996_145   672      ----
1996_146   669      ----
1996_147   669      ----
1996_148   666      ----
1996_149   660      ----
1996_150   665      ----
1996_151   665     9.100
1996_152   680     7.900
1996_153   685     5.800
1996_154   682     6.600
1996_155   691     6.600
1996_156   692     8.700
1996_157   707     6.700
1996_158   716     5.500
1996_159   732     6.200
1996_160   702     5.600
1996_161   698     5.900
1996_162   689     6.800
1996_163   680     7.100
1996_164   674     8.700
1996_165   681     5.400
1996_166   677     5.500
1996_167   673     5.400
1996_168   669      ----
1996_169   674     6.500
1996_170   677      ----
1996_171   685     5.600
1996_172   697     7.200
1996_173   703     7.200
1996_174   697     6.700
1996_175   686     4.900
1996_176   723     5.200
1996_177   719     7.200
1996_178   718     6.200
1996_179   714     6.300
1996_180   714     7.300
1996_181   709     6.000
1996_182   707     5.800
1996_183   700     8.350
1996_184   704     5.300
1996_185   690     6.500
1996_186   691     5.700
1996_187   686     6.500
1996_188   682      ----
1996_189   719     5.200
1996_190   816     9.300
1996_191   836     9.800
1996_192   798      ----
1996_193   770      ----
1996_194   737      ----
1996_195   702     8.000
1996_196   678     6.800
1996_197   670     6.900
