Data	Dados
22:02	0.349
22:12	0.317
22:22	0.324
22:32	0.327
22:42	0.329
22:52	0.342
23:02	0.356
23:12	0.333
23:22	0.334
23:32	0.347
23:42	0.321
23:52	0.307
00:02	0.306
00:12	0.353
00:22	0.353
00:32	0.343
00:42	0.339
00:52	0.318
01:02	0.342
01:12	0.329
01:22	0.307
01:32	0.371
01:42	0.334
01:52	0.362
02:02	0.353
02:12	0.302
02:22	0.325
02:32	0.324
02:42	0.364
02:52	0.339
03:02	0.341
03:12	0.368
03:22	0.349
03:32	0.362
03:42	0.349
03:52	0.346
04:02	0.322
04:12	0.322
04:22	0.321
04:32	0.355
04:42	0.313
04:52	0.320
05:02	0.295
05:12	0.333
05:22	0.340
05:32	0.345
05:42	0.344
05:52	0.346
06:02	0.355
06:12	0.336
06:22	0.292
06:32	0.324
06:42	0.327
06:52	0.338
07:02	0.346
07:12	0.360
07:22	0.339
07:32	0.337
07:42	0.352
07:52	0.341
08:02	0.341
08:12	0.343
08:22	0.317
08:32	0.303
08:42	0.322
08:52	0.313
09:02	0.346
09:12	0.346
09:22	0.340
09:32	0.333
09:42	0.354
09:52	0.312
10:02	0.344
10:12	0.366
10:22	0.325
10:32	0.356
10:42	0.326
10:52	0.332
11:02	0.352
11:12	0.315
11:22	0.327
11:32	0.314
11:42	0.359
11:52	0.325
12:02	0.300
12:12	0.355
12:22	0.315
12:32	0.326
12:42	0.331
12:52	0.349
13:02	0.339
13:12	0.320
13:22	0.315
13:32	0.313
13:42	0.331
13:52	0.362
14:02	0.316
14:12	0.356
14:22	0.358
14:32	0.367
14:42	0.343
14:52	0.324
15:02	0.353
15:12	0.354
15:22	0.316
15:32	0.315
15:42	0.337
15:52	0.341
16:02	0.339
16:12	0.342
16:22	0.355
16:32	0.345
16:42	0.343
16:52	0.320
17:02	0.329
17:12	0.328
17:22	0.344
17:32	0.350
17:42	0.312
17:52	0.324
18:02	0.324
18:12	0.367
18:22	0.313
18:32	0.369
18:42	0.282
18:52	0.328
19:02	0.321
19:12	0.346
19:22	0.351
19:32	0.332
19:42	0.353
19:52	0.319
20:02	0.359
20:12	0.308
20:22	0.347
20:32	0.311
20:42	0.375
20:52	0.326
21:02	0.365
21:12	0.369
21:22	0.334
