  Q    F1        F2
001    0.9603   0.9603
002    0.9067   0.9067
003    0.8603   0.8603
004    0.8216   0.8216
005    0.7893   0.7893
006    0.7618   0.7618
007    0.7381   0.7381
008    0.7174   0.7174
009    0.6992   0.6992
010    0.6830   0.6830
011    0.6684   0.6684
012    0.6552   0.6552
013    0.6432   0.6432
014    0.6322   0.6322
015    0.6221   0.6221
016    0.6128   0.6128
017    0.6041   0.6041
018    0.5960   0.5960
019    0.5884   0.5884
020    0.5813   0.5813
021    0.5746   0.5746
022    0.5683   0.5683
023    0.5624   0.5624
024    0.5567   0.5567
025    0.5514   0.5514
026    0.5463   0.5463
027    0.5414   0.5414
028    0.5368   0.5368
029    0.5324   0.5324
030    0.5282   0.5282
031    0.5241   0.5241
032    0.5202   0.5202
033    0.5165   0.5165
034    0.5129   0.5129
035    0.5094   0.5094
036    0.5061   0.5061
037    0.5028   0.5028
038    0.5000   0.5000
039    0.4972   0.4972
040    0.4943   0.4943
041    0.4915   0.4915
042    0.4888   0.4888
043    0.4861   0.4861
044    0.4836   0.4836
045    0.4811   0.4811
046    0.4787   0.4787
047    0.4763   0.4763
048    0.4741   0.4741
049    0.4718   0.4718
050    0.4697   0.4697
051    0.4676   0.4676
052    0.4655   0.4655
053    0.4635   0.4635
054    0.4616   0.4616
055    0.4597   0.4597
056    0.4578   0.4578
057    0.4560   0.4560
058    0.4542   0.4542
059    0.4525   0.4525
060    0.4508   0.4508
061    0.4492   0.4492
062    0.4475   0.4475
063    0.4460   0.4460
064    0.4444   0.4444
065    0.4429   0.4429
066    0.4414   0.4414
067    0.4399   0.4399
068    0.4385   0.4385
069    0.4371   0.4371
070    0.4357   0.4357
071    0.4344   0.4344
072    0.4330   0.4330
073    0.4317   0.4317
074    0.4304   0.4304
075    0.4292   0.4292
076    0.4279   0.4279
077    0.4267   0.4267
078    0.4255   0.4255
079    0.4244   0.4244
080    0.4232   0.4232
081    0.4221   0.4221
082    0.4210   0.4210
083    0.4199   0.4199
084    0.4188   0.4188
085    0.4177   0.4177
086    0.4167   0.4167
087    0.4156   0.4156
088    0.4146   0.4146
089    0.4136   0.4136
090    0.4126   0.4126
091    0.4117   0.4117
092    0.4107   0.4107
093    0.4098   0.4098
094    0.4088   0.4088
095    0.4079   0.4079
096    0.4070   0.4070
097    0.4061   0.4061
098    0.4053   0.4053
099    0.4044   0.4044
100    0.4035   0.4035
101    0.4027   0.4027
102    0.4018   0.4018
103    0.4010   0.4010
104    0.4002   0.4002
105    0.3994   0.3994
106    0.3986   0.3986
107    0.3978   0.3978
108    0.3971   0.3971
109    0.3963   0.3963
110    0.3956   0.3956
111    0.3948   0.3948
112    0.3941   0.3941
113    0.3933   0.3933
114    0.3926   0.3926
115    0.3919   0.3919
116    0.3912   0.3912
117    0.3905   0.3905
118    0.3898   0.3898
119    0.3892   0.3892
120    0.3885   0.3885
121    0.3878   0.3878
122    0.3872   0.3872
123    0.3865   0.3865
124    0.3859   0.3859
125    0.3853   0.3853
126    0.3846   0.3846
127    0.3840   0.3840
128    0.3834   0.3834
129    0.3828   0.3828
130    0.3822   0.3822
131    0.3816   0.3816
132    0.3810   0.3810
133    0.3804   0.3804
134    0.3798   0.3798
135    0.3793   0.3793
136    0.3787   0.3787
137    0.3781   0.3781
138    0.3776   0.3776
139    0.3770   0.3770
140    0.3765   0.3765
141    0.3759   0.3759
142    0.3754   0.3754
143    0.3749   0.3749
144    0.3743   0.3743
145    0.3738   0.3738
146    0.3733   0.3733
147    0.3728   0.3728
148    0.3723   0.3723
149    0.3718   0.3718
150    0.3713   0.3713
151    0.3708   0.3708
152    0.3703   0.3703
153    0.3698   0.3698
154    0.3694   0.3694
155    0.3689   0.3689
156    0.3684   0.3684
157    0.3679   0.3679
158    0.3675   0.3675
159    0.3670   0.3670
160    0.3666   0.3666
161    0.3661   0.3661
162    0.3657   0.3657
163    0.3652   0.3652
164    0.3648   0.3648
165    0.3643   0.3643
166    0.3639   0.3639
167    0.3635   0.3635
168    0.3630   0.3630
169    0.3626   0.3626
170    0.3622   0.3622
171    0.3618   0.3618
172    0.3614   0.3614
173    0.3610   0.3610
174    0.3606   0.3606
175    0.3602   0.3602
176    0.3597   0.3597
177    0.3594   0.3594
178    0.3590   0.3590
179    0.3586   0.3586
180    0.3582   0.3582
181    0.3578   0.3578
182    0.3574   0.3574
183    0.3570   0.3570
184    0.3566   0.3566
185    0.3563   0.3563
186    0.3559   0.3559
187    0.3555   0.3555
188    0.3552   0.3552
189    0.3548   0.3548
190    0.3544   0.3544
191    0.3541   0.3541
192    0.3537   0.3537
193    0.3534   0.3534
194    0.3530   0.3530
195    0.3527   0.3527
196    0.3523   0.3523
197    0.3520   0.3520
198    0.3516   0.3516
199    0.3513   0.3513
200    0.3510   0.3510
201    0.3506   0.3506
202    0.3503   0.3503
203    0.3500   0.3500
204    0.3496   0.3496
205    0.3493   0.3493
206    0.3490   0.3490
207    0.3486   0.3486
208    0.3483   0.3483
209    0.3480   0.3480
