Dataset C 1s:11(A_Miguel_02_07_14)
Dwell Time (s)	0.259700
Number of sweeps	3
Kinetic Energy(eV)	Binding Energy(eV)	Intensity(cps)	Transmission Value
1186.690000	300.000000	137.337954	0.144442
1186.790000	299.900000	124.502631	0.144438
1186.890000	299.800000	154.023874	0.144434
1186.990000	299.700000	127.069696	0.144430
1187.090000	299.600000	137.337954	0.144426
1187.190000	299.500000	161.725067	0.144422
1187.290000	299.400000	132.203825	0.144418
1187.390000	299.300000	139.905019	0.144415
1187.490000	299.200000	146.322680	0.144411
1187.590000	299.100000	142.472083	0.144407
1187.690000	299.000000	128.353228	0.144403
1187.790000	298.900000	111.667308	0.144399
1187.890000	298.800000	123.219099	0.144395
1187.990000	298.700000	148.889745	0.144391
1188.090000	298.600000	147.606212	0.144387
1188.190000	298.500000	124.502631	0.144384
1188.290000	298.400000	128.353228	0.144380
1188.390000	298.300000	128.353228	0.144376
1188.490000	298.200000	145.039148	0.144372
1188.590000	298.100000	123.219099	0.144368
1188.690000	298.000000	124.502631	0.144364
1188.790000	297.900000	118.084970	0.144360
1188.890000	297.800000	124.502631	0.144356
1188.990000	297.700000	128.353228	0.144352
1189.090000	297.600000	129.636760	0.144349
1189.190000	297.500000	128.353228	0.144345
1189.290000	297.400000	119.368502	0.144341
1189.390000	297.300000	137.337954	0.144337
1189.490000	297.200000	111.667308	0.144333
1189.590000	297.100000	141.188551	0.144329
1189.690000	297.000000	105.249647	0.144325
1189.790000	296.900000	121.935567	0.144321
1189.890000	296.800000	133.487357	0.144318
1189.990000	296.700000	112.950841	0.144325
1190.090000	296.600000	115.517905	0.144335
1190.190000	296.500000	136.054422	0.144345
1190.290000	296.400000	133.487357	0.144354
1190.390000	296.300000	139.905019	0.144364
1190.490000	296.200000	133.487357	0.144374
1190.590000	296.100000	129.636760	0.144384
1190.690000	296.000000	125.786164	0.144394
1190.790000	295.900000	138.621486	0.144404
1190.890000	295.800000	119.368502	0.144414
1190.990000	295.700000	127.069696	0.144424
1191.090000	295.600000	120.652034	0.144434
1191.190000	295.500000	133.487357	0.144444
