Dataset Survey:15(A_Miguel_02_07_14)
Dwell Time (s)	0.100000
Number of sweeps	3
Kinetic Energy(eV)	Binding Energy(eV)	Intensity(cps)	Transmission Value
286.690000	1200.000000	4230.000000	4.130761
287.690000	1199.000000	4123.333333	4.133023
288.690000	1198.000000	4216.666667	4.135284
289.690000	1197.000000	4180.000000	4.137546
290.690000	1196.000000	4313.333333	4.139807
291.690000	1195.000000	4250.000000	4.142069
292.690000	1194.000000	4130.000000	4.144330
293.690000	1193.000000	4140.000000	4.146592
294.690000	1192.000000	4153.333333	4.148853
295.690000	1191.000000	4216.666667	4.151115
296.690000	1190.000000	4200.000000	4.153376
297.690000	1189.000000	4316.666667	4.155638
298.690000	1188.000000	4136.666667	4.157899
299.690000	1187.000000	4136.666667	4.160161
300.690000	1186.000000	4246.666667	4.162422
301.690000	1185.000000	4253.333333	4.164684
302.690000	1184.000000	4130.000000	4.166945
303.690000	1183.000000	4093.333333	4.169207
304.690000	1182.000000	4120.000000	4.171468
305.690000	1181.000000	4286.666667	4.173730
306.690000	1180.000000	4320.000000	4.175991
307.690000	1179.000000	4256.666667	4.178253
308.690000	1178.000000	4343.333333	4.180514
309.690000	1177.000000	4153.333333	4.182776
310.690000	1176.000000	4270.000000	4.184623
311.690000	1175.000000	4126.666667	4.186353
312.690000	1174.000000	4370.000000	4.188083
313.690000	1173.000000	4336.666667	4.189813
314.690000	1172.000000	4560.000000	4.191543
315.690000	1171.000000	4266.666667	4.193273
316.690000	1170.000000	4340.000000	4.195003
317.690000	1169.000000	4196.666667	4.196733
318.690000	1168.000000	4370.000000	4.198463
319.690000	1167.000000	4456.666667	4.200193
320.690000	1166.000000	4543.333333	4.201923
321.690000	1165.000000	4430.000000	4.203653
322.690000	1164.000000	4350.000000	4.205383
323.690000	1163.000000	4206.666667	4.207113
324.690000	1162.000000	4406.666667	4.208843
325.690000	1161.000000	4350.000000	4.210573
326.690000	1160.000000	4466.666667	4.212303
327.690000	1159.000000	4390.000000	4.214033
328.690000	1158.000000	4233.333333	4.215764
329.690000	1157.000000	4220.000000	4.217494
330.690000	1156.000000	4686.666667	4.219224
331.690000	1155.000000	4560.000000	4.220954
332.690000	1154.000000	4676.666667	4.222684
333.690000	1153.000000	4313.333333	4.224414
334.690000	1152.000000	4360.000000	4.226144
335.690000	1151.000000	4406.666667	4.227874
336.690000	1150.000000	4440.000000	4.229604
337.690000	1149.000000	4520.000000	4.231334
338.690000	1148.000000	4383.333333	4.233064
339.690000	1147.000000	4440.000000	4.234794
340.690000	1146.000000	4333.333333	4.236524
341.690000	1145.000000	4373.333333	4.238254
342.690000	1144.000000	4573.333333	4.239984
343.690000	1143.000000	4616.666667	4.241714
344.690000	1142.000000	4290.000000	4.243444
345.690000	1141.000000	4546.666667	4.245174
346.690000	1140.000000	4610.000000	4.246904
347.690000	1139.000000	4586.666667	4.248634
348.690000	1138.000000	4356.666667	4.250364
349.690000	1137.000000	4820.000000	4.252094
350.690000	1136.000000	4693.333333	4.253824
351.690000	1135.000000	4440.000000	4.255554
352.690000	1134.000000	4590.000000	4.257284
353.690000	1133.000000	4216.666667	4.259014
354.690000	1132.000000	4636.666667	4.260744
355.690000	1131.000000	4613.333333	4.262475
356.690000	1130.000000	4540.000000	4.264205
357.690000	1129.000000	4330.000000	4.265935
358.690000	1128.000000	4580.000000	4.267665
359.690000	1127.000000	4600.000000	4.269395
360.690000	1126.000000	4603.333333	4.270155
361.690000	1125.000000	4596.666667	4.270642
362.690000	1124.000000	4476.666667	4.271129
363.690000	1123.000000	4616.666667	4.271616
364.690000	1122.000000	4603.333333	4.272103
365.690000	1121.000000	4593.333333	4.272590
366.690000	1120.000000	4620.000000	4.273077
367.690000	1119.000000	4573.333333	4.273564
368.690000	1118.000000	4590.000000	4.274051
369.690000	1117.000000	4683.333333	4.274538
370.690000	1116.000000	4763.333333	4.275024
371.690000	1115.000000	4676.666667	4.275511
372.690000	1114.000000	4446.666667	4.275998
373.690000	1113.000000	4580.000000	4.276485
374.690000	1112.000000	4660.000000	4.276972
375.690000	1111.000000	4693.333333	4.277459
376.690000	1110.000000	4630.000000	4.277946
377.690000	1109.000000	4746.666667	4.278433
378.690000	1108.000000	4803.333333	4.278920
379.690000	1107.000000	4646.666667	4.279407
380.690000	1106.000000	4690.000000	4.279894
381.690000	1105.000000	4893.333333	4.280381
382.690000	1104.000000	4780.000000	4.280868
383.690000	1103.000000	4806.666667	4.281355
384.690000	1102.000000	4696.666667	4.281842
385.690000	1101.000000	4773.333333	4.282329
386.690000	1100.000000	4716.666667	4.282815
387.690000	1099.000000	4693.333333	4.283302
388.690000	1098.000000	4576.666667	4.283789
389.690000	1097.000000	4630.000000	4.284276
390.690000	1096.000000	4710.000000	4.284763
391.690000	1095.000000	4613.333333	4.285250
392.690000	1094.000000	4650.000000	4.285737
393.690000	1093.000000	4583.333333	4.286224
394.690000	1092.000000	4560.000000	4.286711
395.690000	1091.000000	4723.333333	4.287198
396.690000	1090.000000	4523.333333	4.287685
397.690000	1089.000000	4676.666667	4.288172
398.690000	1088.000000	4746.666667	4.288659
399.690000	1087.000000	4903.333333	4.289146
400.690000	1086.000000	4696.666667	4.289633
401.690000	1085.000000	4666.666667	4.290119
402.690000	1084.000000	4426.666667	4.290606
403.690000	1083.000000	4646.666667	4.291093
404.690000	1082.000000	4670.000000	4.291580
405.690000	1081.000000	4940.000000	4.292067
406.690000	1080.000000	4806.666667	4.292554
407.690000	1079.000000	4643.333333	4.293041
408.690000	1078.000000	4633.333333	4.293528
409.690000	1077.000000	4756.666667	4.294015
410.690000	1076.000000	4646.666667	4.294947
411.690000	1075.000000	4746.666667	4.296005
412.690000	1074.000000	5003.333333	4.297063
413.690000	1073.000000	5036.666667	4.298120
414.690000	1072.000000	5040.000000	4.299178
415.690000	1071.000000	5173.333333	4.300236
416.690000	1070.000000	4863.333333	4.301294
417.690000	1069.000000	4726.666667	4.302351
418.690000	1068.000000	4770.000000	4.303409
419.690000	1067.000000	4723.333333	4.304467
420.690000	1066.000000	4650.000000	4.305525
421.690000	1065.000000	4666.666667	4.306582
422.690000	1064.000000	4573.333333	4.307640
423.690000	1063.000000	4843.333333	4.308698
424.690000	1062.000000	4626.666667	4.309755
425.690000	1061.000000	4586.666667	4.310813
426.690000	1060.000000	4910.000000	4.311871
