85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 15:02:44"

frequency,e',e'',u',u''
8200000000.0000,  21.5340,   1.2881,   0.9926,  -0.0112
8202625000.0000,  21.5479,   1.3711,   0.9970,  -0.0021
8205250000.0000,  21.5908,   1.3276,   0.9958,  -0.0037
8207875000.0000,  21.5648,   1.3263,   0.9942,  -0.0048
8210500000.0000,  21.5511,   1.3611,   0.9950,  -0.0008
8213125000.0000,  21.5600,   1.3683,   0.9975,  -0.0012
8215750000.0000,  21.5708,   1.3023,   0.9929,  -0.0038
8218375000.0000,  21.5790,   1.3121,   0.9991,  -0.0065
8221000000.0000,  21.5782,   1.3372,   0.9959,  -0.0036
8223625000.0000,  21.5664,   1.3191,   0.9979,  -0.0055
8226250000.0000,  21.5497,   1.3064,   0.9964,  -0.0065
8228875000.0000,  21.6099,   1.3408,   0.9974,  -0.0022
8231500000.0000,  21.5748,   1.3359,   0.9946,  -0.0019
8234125000.0000,  21.5792,   1.3507,   0.9957,  -0.0004
8236750000.0000,  21.5865,   1.3349,   0.9978,  -0.0042
8239375000.0000,  21.6169,   1.3378,   0.9993,  -0.0045
8242000000.0000,  21.6268,   1.3263,   0.9964,  -0.0037
8244625000.0000,  21.6010,   1.3179,   0.9958,  -0.0044
8247250000.0000,  21.6160,   1.3009,   0.9975,  -0.0044
8249875000.0000,  21.6446,   1.3073,   0.9974,  -0.0034
8252500000.0000,  21.6355,   1.3304,   0.9984,  -0.0028
8255125000.0000,  21.6384,   1.3198,   0.9961,  -0.0036
8257750000.0000,  21.6319,   1.3358,   0.9968,  -0.0017
8260375000.0000,  21.6059,   1.3194,   0.9968,  -0.0048
8263000000.0000,  21.6391,   1.3268,   0.9965,  -0.0047
8265625000.0000,  21.6250,   1.3042,   0.9957,  -0.0031
8268250000.0000,  21.6381,   1.3362,   0.9980,  -0.0027
8270875000.0000,  21.6561,   1.3422,   0.9971,  -0.0010
8273500000.0000,  21.6491,   1.3025,   0.9943,  -0.0052
8276125000.0000,  21.6517,   1.3342,   0.9968,  -0.0049
8278750000.0000,  21.6486,   1.3161,   0.9947,  -0.0084
8281375000.0000,  21.6373,   1.3143,   0.9946,  -0.0016
8284000000.0000,  21.6423,   1.3445,   0.9941,   0.0004
8286625000.0000,  21.6455,   1.2992,   0.9929,  -0.0076
8289250000.0000,  21.6624,   1.3079,   0.9945,  -0.0052
8291875000.0000,  21.6747,   1.3171,   0.9921,  -0.0066
8294500000.0000,  21.6382,   1.3412,   0.9954,  -0.0006
8297125000.0000,  21.6800,   1.3314,   0.9940,  -0.0038
8299750000.0000,  21.6696,   1.2975,   0.9921,  -0.0094
8302375000.0000,  21.6974,   1.3077,   0.9951,  -0.0084
