85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 14:44:31"

frequency,e',e'',u',u''
8200000000.0000,  19.8324,   2.1876,   0.9775,  -0.0091
8202625000.0000,  19.8161,   2.2087,   0.9776,  -0.0032
8205250000.0000,  19.8389,   2.2008,   0.9774,  -0.0038
8207875000.0000,  19.8092,   2.1788,   0.9782,  -0.0063
8210500000.0000,  19.7850,   2.1826,   0.9776,  -0.0061
8213125000.0000,  19.7958,   2.2041,   0.9805,  -0.0053
8215750000.0000,  19.7941,   2.1742,   0.9773,  -0.0043
8218375000.0000,  19.7661,   2.1469,   0.9800,  -0.0096
8221000000.0000,  19.7522,   2.1768,   0.9791,  -0.0052
8223625000.0000,  19.7374,   2.1639,   0.9807,  -0.0051
8226250000.0000,  19.7299,   2.1409,   0.9807,  -0.0068
8228875000.0000,  19.7666,   2.1572,   0.9840,  -0.0058
8231500000.0000,  19.7302,   2.1458,   0.9777,  -0.0047
8234125000.0000,  19.7267,   2.1606,   0.9815,  -0.0031
8236750000.0000,  19.6842,   2.1334,   0.9802,  -0.0041
8239375000.0000,  19.7047,   2.1539,   0.9812,  -0.0017
8242000000.0000,  19.7004,   2.1535,   0.9790,   0.0030
8244625000.0000,  19.7020,   2.0973,   0.9812,  -0.0076
8247250000.0000,  19.6953,   2.0883,   0.9811,  -0.0088
8249875000.0000,  19.7075,   2.0951,   0.9823,  -0.0057
8252500000.0000,  19.6729,   2.0823,   0.9793,  -0.0066
8255125000.0000,  19.6702,   2.0850,   0.9780,  -0.0031
8257750000.0000,  19.6611,   2.0955,   0.9792,  -0.0040
8260375000.0000,  19.6469,   2.0754,   0.9808,  -0.0080
8263000000.0000,  19.6590,   2.0645,   0.9805,  -0.0089
8265625000.0000,  19.6522,   2.0401,   0.9773,  -0.0099
8268250000.0000,  19.6406,   2.0577,   0.9805,  -0.0049
8270875000.0000,  19.6356,   2.0308,   0.9797,  -0.0052
8273500000.0000,  19.6356,   2.0315,   0.9766,  -0.0054
8276125000.0000,  19.6170,   2.0302,   0.9792,  -0.0067
8278750000.0000,  19.6240,   2.0378,   0.9786,  -0.0042
8281375000.0000,  19.6133,   1.9859,   0.9766,  -0.0078
8284000000.0000,  19.6020,   2.0149,   0.9765,  -0.0028
8286625000.0000,  19.6003,   1.9672,   0.9763,  -0.0090
8289250000.0000,  19.5860,   1.9920,   0.9754,  -0.0022
8291875000.0000,  19.6016,   1.9671,   0.9750,  -0.0056
8294500000.0000,  19.5735,   1.9711,   0.9773,  -0.0002
8297125000.0000,  19.5933,   1.9592,   0.9765,  -0.0039
8299750000.0000,  19.5854,   1.9186,   0.9723,  -0.0103
8302375000.0000,  19.5814,   1.9501,   0.9784,  -0.0059
8305000000.0000,  19.5674,   1.9296,   0.9765,  -0.0032
8307625000.0000,  19.5804,   1.9224,   0.9769,  -0.0067
8310250000.0000,  19.5882,   1.9188,   0.9796,  -0.0099
8312875000.0000,  19.5721,   1.8806,   0.9755,  -0.0122
8315500000.0000,  19.5792,   1.8951,   0.9780,  -0.0103
8318125000.0000,  19.5457,   1.9156,   0.9773,  -0.0052
8320750000.0000,  19.5695,   1.9063,   0.9778,  -0.0018
8323375000.0000,  19.5496,   1.8945,   0.9789,  -0.0047
8326000000.0000,  19.5705,   1.8865,   0.9826,  -0.0021
8328625000.0000,  19.5531,   1.8423,   0.9775,  -0.0113
8331250000.0000,  19.5545,   1.8420,   0.9760,  -0.0108
8333875000.0000,  19.5363,   1.8462,   0.9805,  -0.0078
8336500000.0000,  19.5369,   1.8485,   0.9814,  -0.0032
8339125000.0000,  19.5314,   1.8639,   0.9814,   0.0003
8341750000.0000,  19.5415,   1.8686,   0.9817,  -0.0026
8344375000.0000,  19.5406,   1.8281,   0.9794,  -0.0032
8347000000.0000,  19.5470,   1.8389,   0.9806,  -0.0021
8349625000.0000,  19.5526,   1.8092,   0.9771,  -0.0063
8352250000.0000,  19.5541,   1.8638,   0.9816,  -0.0003
8354875000.0000,  19.5502,   1.8135,   0.9832,  -0.0061
8357500000.0000,  19.5369,   1.8318,   0.9841,   0.0015
8360125000.0000,  19.5613,   1.7945,   0.9814,  -0.0053
8362750000.0000,  19.5288,   1.7848,   0.9831,  -0.0025
8365375000.0000,  19.5654,   1.7706,   0.9841,  -0.0056
8368000000.0000,  19.5651,   1.7929,   0.9847,   0.0012
8370625000.0000,  19.5434,   1.7467,   0.9842,  -0.0068
8373250000.0000,  19.5567,   1.7646,   0.9837,  -0.0077
8375875000.0000,  19.5317,   1.7559,   0.9833,  -0.0013
8378500000.0000,  19.5760,   1.7194,   0.9816,  -0.0065
8381125000.0000,  19.5424,   1.7842,   0.9851,   0.0040
8383750000.0000,  19.5535,   1.7262,   0.9804,  -0.0057
8386375000.0000,  19.5584,   1.7302,   0.9840,  -0.0034
8389000000.0000,  19.5549,   1.7003,   0.9823,  -0.0043
8391625000.0000,  19.5581,   1.7229,   0.9839,   0.0016
8394250000.0000,  19.5636,   1.6973,   0.9842,  -0.0044
8396875000.0000,  19.5580,   1.7195,   0.9843,   0.0007
8399500000.0000,  19.5972,   1.6828,   0.9808,  -0.0055
8402125000.0000,  19.5770,   1.6673,   0.9800,  -0.0047
8404750000.0000,  19.5873,   1.6801,   0.9818,  -0.0018
8407375000.0000,  19.5845,   1.6578,   0.9808,  -0.0072
8410000000.0000,  19.5717,   1.6736,   0.9782,  -0.0012
8412625000.0000,  19.5889,   1.6363,   0.9806,  -0.0081
8415250000.0000,  19.5875,   1.6384,   0.9780,  -0.0043
8417875000.0000,  19.5757,   1.6441,   0.9802,  -0.0071
8420500000.0000,  19.6003,   1.6102,   0.9758,  -0.0052
8423125000.0000,  19.5818,   1.6300,   0.9790,  -0.0080
8425750000.0000,  19.5961,   1.6199,   0.9780,  -0.0066
8428375000.0000,  19.6219,   1.5870,   0.9753,  -0.0135
8431000000.0000,  19.5875,   1.6494,   0.9772,  -0.0016
8433625000.0000,  19.6055,   1.5990,   0.9776,  -0.0099
8436250000.0000,  19.6137,   1.5538,   0.9781,  -0.0129
8438875000.0000,  19.6171,   1.6115,   0.9788,  -0.0069
8441500000.0000,  19.6050,   1.5966,   0.9795,  -0.0065
8444125000.0000,  19.5829,   1.5999,   0.9752,  -0.0055
8446750000.0000,  19.5789,   1.6081,   0.9772,  -0.0015
8449375000.0000,  19.6038,   1.5843,   0.9784,  -0.0080
8452000000.0000,  19.6080,   1.5881,   0.9788,  -0.0062
8454625000.0000,  19.6265,   1.5534,   0.9767,  -0.0109
8457250000.0000,  19.5886,   1.5889,   0.9786,  -0.0048
8459875000.0000,  19.5856,   1.5729,   0.9799,  -0.0077
8462500000.0000,  19.6242,   1.5372,   0.9773,  -0.0113
8465125000.0000,  19.6259,   1.5761,   0.9796,  -0.0065
8467750000.0000,  19.6076,   1.5348,   0.9759,  -0.0117
8470375000.0000,  19.5979,   1.5674,   0.9787,  -0.0017
8473000000.0000,  19.6113,   1.5662,   0.9804,  -0.0067
8475625000.0000,  19.5877,   1.5430,   0.9793,  -0.0051
8478250000.0000,  19.5969,   1.5600,   0.9788,  -0.0030
8480875000.0000,  19.6279,   1.5343,   0.9797,  -0.0046
8483500000.0000,  19.6006,   1.5507,   0.9832,  -0.0058
8486125000.0000,  19.6395,   1.5301,   0.9818,  -0.0032
8488750000.0000,  19.6259,   1.5517,   0.9814,  -0.0034
8491375000.0000,  19.6587,   1.5583,   0.9808,   0.0020
8494000000.0000,  19.6084,   1.5116,   0.9803,  -0.0065
8496625000.0000,  19.6169,   1.5470,   0.9821,   0.0000
8499250000.0000,  19.6389,   1.5427,   0.9849,  -0.0020
8501875000.0000,  19.6228,   1.5718,   0.9833,   0.0013
8504500000.0000,  19.6575,   1.5115,   0.9821,  -0.0062
8507125000.0000,  19.6231,   1.5386,   0.9831,  -0.0025
8509750000.0000,  19.6429,   1.5101,   0.9811,  -0.0044
8512375000.0000,  19.6485,   1.5393,   0.9825,  -0.0001
8515000000.0000,  19.6716,   1.5082,   0.9848,  -0.0056
8517625000.0000,  19.6830,   1.5307,   0.9829,   0.0023
8520250000.0000,  19.6548,   1.5393,   0.9819,   0.0000
8522875000.0000,  19.6510,   1.4835,   0.9833,  -0.0049
8525500000.0000,  19.6827,   1.5686,   0.9820,   0.0068
8528125000.0000,  19.6931,   1.5170,   0.9826,  -0.0016
8530750000.0000,  19.6737,   1.5114,   0.9827,  -0.0034
8533375000.0000,  19.7140,   1.5004,   0.9845,  -0.0057
8536000000.0000,  19.7034,   1.5065,   0.9846,  -0.0015
8538625000.0000,  19.7022,   1.4938,   0.9826,  -0.0065
8541250000.0000,  19.7067,   1.4597,   0.9824,  -0.0065
8543875000.0000,  19.6988,   1.5429,   0.9835,   0.0003
8546500000.0000,  19.7016,   1.5262,   0.9839,   0.0008
8549125000.0000,  19.7081,   1.5108,   0.9829,  -0.0025
8551750000.0000,  19.7185,   1.5030,   0.9843,  -0.0018
8554375000.0000,  19.7224,   1.5038,   0.9819,  -0.0049
8557000000.0000,  19.7101,   1.5199,   0.9850,  -0.0024
8559625000.0000,  19.7553,   1.5263,   0.9830,   0.0003
8562250000.0000,  19.7480,   1.4849,   0.9830,  -0.0072
8564875000.0000,  19.7369,   1.5229,   0.9823,  -0.0022
8567500000.0000,  19.7563,   1.4696,   0.9838,  -0.0092
8570125000.0000,  19.7419,   1.4883,   0.9838,  -0.0092
8572750000.0000,  19.7485,   1.4904,   0.9838,  -0.0039
8575375000.0000,  19.7537,   1.5301,   0.9865,   0.0038
8578000000.0000,  19.7594,   1.4791,   0.9834,  -0.0059
8580625000.0000,  19.7305,   1.4570,   0.9821,  -0.0099
8583250000.0000,  19.7542,   1.5311,   0.9856,  -0.0023
8585875000.0000,  19.7578,   1.4803,   0.9835,  -0.0038
8588500000.0000,  19.7575,   1.4850,   0.9845,  -0.0043
8591125000.0000,  19.7546,   1.4782,   0.9870,  -0.0051
8593750000.0000,  19.7874,   1.4984,   0.9870,  -0.0041
8596375000.0000,  19.7941,   1.4424,   0.9837,  -0.0088
8599000000.0000,  19.7716,   1.5095,   0.9848,   0.0009
8601625000.0000,  19.7780,   1.4574,   0.9844,  -0.0054
8604250000.0000,  19.7773,   1.4981,   0.9844,   0.0004
8606875000.0000,  19.8023,   1.4599,   0.9858,  -0.0087
8609500000.0000,  19.7784,   1.4821,   0.9841,  -0.0028
8612125000.0000,  19.7751,   1.5106,   0.9848,   0.0026
8614750000.0000,  19.7886,   1.4985,   0.9849,  -0.0032
8617375000.0000,  19.8095,   1.4715,   0.9848,  -0.0067
8620000000.0000,  19.8168,   1.4781,   0.9869,  -0.0027
8622625000.0000,  19.8024,   1.5114,   0.9866,   0.0016
8625250000.0000,  19.8151,   1.4897,   0.9835,  -0.0036
8627875000.0000,  19.8039,   1.4837,   0.9851,  -0.0001
8630500000.0000,  19.8175,   1.4866,   0.9840,  -0.0019
8633125000.0000,  19.8286,   1.5119,   0.9816,   0.0004
8635750000.0000,  19.8142,   1.4561,   0.9844,  -0.0088
8638375000.0000,  19.8461,   1.4711,   0.9845,  -0.0087
8641000000.0000,  19.8259,   1.4850,   0.9836,  -0.0023
8643625000.0000,  19.8194,   1.5309,   0.9819,   0.0041
8646250000.0000,  19.8478,   1.4536,   0.9817,  -0.0061
8648875000.0000,  19.8142,   1.5338,   0.9836,   0.0023
8651500000.0000,  19.8375,   1.5321,   0.9855,   0.0030
8654125000.0000,  19.8490,   1.4892,   0.9820,  -0.0060
8656750000.0000,  19.8326,   1.5046,   0.9823,  -0.0022
8659375000.0000,  19.8490,   1.5193,   0.9799,  -0.0025
8662000000.0000,  19.8414,   1.4970,   0.9843,  -0.0035
8664625000.0000,  19.8645,   1.4948,   0.9853,  -0.0050
8667250000.0000,  19.8636,   1.5026,   0.9804,  -0.0036
8669875000.0000,  19.8693,   1.5129,   0.9847,  -0.0031
8672500000.0000,  19.8416,   1.5247,   0.9813,  -0.0014
8675125000.0000,  19.8561,   1.4934,   0.9833,  -0.0051
8677750000.0000,  19.8846,   1.4878,   0.9842,  -0.0055
8680375000.0000,  19.8742,   1.4746,   0.9834,  -0.0064
8683000000.0000,  19.8494,   1.5310,   0.9803,   0.0003
8685625000.0000,  19.8618,   1.5080,   0.9824,  -0.0020
8688250000.0000,  19.8742,   1.5030,   0.9826,  -0.0048
8690875000.0000,  19.8659,   1.4883,   0.9832,  -0.0070
8693500000.0000,  19.9033,   1.5055,   0.9828,  -0.0056
8696125000.0000,  19.8881,   1.5146,   0.9853,  -0.0051
8698750000.0000,  19.8940,   1.5100,   0.9812,  -0.0054
8701375000.0000,  19.8629,   1.5166,   0.9841,  -0.0029
8704000000.0000,  19.9031,   1.5057,   0.9834,  -0.0071
8706625000.0000,  19.8974,   1.5106,   0.9842,  -0.0033
8709250000.0000,  19.8678,   1.5020,   0.9814,  -0.0050
8711875000.0000,  19.8972,   1.4958,   0.9824,  -0.0084
8714500000.0000,  19.9012,   1.4791,   0.9839,  -0.0094
8717125000.0000,  19.9076,   1.4828,   0.9828,  -0.0078
8719750000.0000,  19.8939,   1.5427,   0.9820,  -0.0002
8722375000.0000,  19.8899,   1.5132,   0.9830,  -0.0042
8725000000.0000,  19.9134,   1.5123,   0.9860,  -0.0043
8727625000.0000,  19.8814,   1.5193,   0.9851,  -0.0034
8730250000.0000,  19.9094,   1.5227,   0.9830,  -0.0049
8732875000.0000,  19.9176,   1.5427,   0.9843,  -0.0032
8735500000.0000,  19.9002,   1.5471,   0.9867,  -0.0004
8738125000.0000,  19.9277,   1.5511,   0.9861,  -0.0022
8740750000.0000,  19.9005,   1.5492,   0.9846,  -0.0018
8743375000.0000,  19.9316,   1.5521,   0.9848,  -0.0022
