85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 15:46:10"

frequency,e',e'',u',u''
8200000000.0000,  12.3195,   0.4505,   0.9848,  -0.0075
8202625000.0000,  12.3262,   0.4561,   0.9881,  -0.0088
8205250000.0000,  12.3423,   0.4470,   0.9848,  -0.0030
8207875000.0000,  12.3274,   0.4426,   0.9878,  -0.0062
8210500000.0000,  12.3245,   0.4502,   0.9884,  -0.0077
8213125000.0000,  12.3276,   0.4576,   0.9895,  -0.0032
8215750000.0000,  12.3307,   0.4442,   0.9886,  -0.0043
8218375000.0000,  12.3182,   0.4447,   0.9891,  -0.0105
8221000000.0000,  12.3296,   0.4556,   0.9882,  -0.0014
8223625000.0000,  12.3206,   0.4567,   0.9905,  -0.0036
8226250000.0000,  12.3209,   0.4406,   0.9903,  -0.0084
8228875000.0000,  12.3294,   0.4505,   0.9904,  -0.0043
8231500000.0000,  12.3341,   0.4546,   0.9884,  -0.0051
8234125000.0000,  12.3265,   0.4580,   0.9926,  -0.0045
8236750000.0000,  12.3241,   0.4496,   0.9922,  -0.0083
8239375000.0000,  12.3408,   0.4602,   0.9934,  -0.0047
8242000000.0000,  12.3420,   0.4530,   0.9900,  -0.0009
8244625000.0000,  12.3321,   0.4539,   0.9905,  -0.0048
8247250000.0000,  12.3398,   0.4471,   0.9921,  -0.0068
8249875000.0000,  12.3417,   0.4529,   0.9906,  -0.0038
8252500000.0000,  12.3424,   0.4563,   0.9910,  -0.0014
8255125000.0000,  12.3432,   0.4607,   0.9885,  -0.0009
8257750000.0000,  12.3408,   0.4607,   0.9898,  -0.0001
8260375000.0000,  12.3294,   0.4633,   0.9902,  -0.0021
8263000000.0000,  12.3423,   0.4494,   0.9891,  -0.0111
8265625000.0000,  12.3430,   0.4529,   0.9895,  -0.0036
8268250000.0000,  12.3417,   0.4596,   0.9917,  -0.0039
8270875000.0000,  12.3491,   0.4532,   0.9908,  -0.0057
8273500000.0000,  12.3517,   0.4563,   0.9851,  -0.0045
8276125000.0000,  12.3478,   0.4704,   0.9908,  -0.0030
8278750000.0000,  12.3529,   0.4594,   0.9864,  -0.0074
8281375000.0000,  12.3416,   0.4584,   0.9881,  -0.0041
8284000000.0000,  12.3502,   0.4756,   0.9886,   0.0011
8286625000.0000,  12.3520,   0.4514,   0.9855,  -0.0087
8289250000.0000,  12.3499,   0.4534,   0.9889,  -0.0063
8291875000.0000,  12.3555,   0.4628,   0.9867,  -0.0033
8294500000.0000,  12.3415,   0.4648,   0.9874,  -0.0014
8297125000.0000,  12.3597,   0.4698,   0.9858,  -0.0011
8299750000.0000,  12.3561,   0.4636,   0.9850,  -0.0080
8302375000.0000,  12.3554,   0.4614,   0.9866,  -0.0068
8305000000.0000,  12.3494,   0.4703,   0.9875,  -0.0004
8307625000.0000,  12.3575,   0.4770,   0.9858,  -0.0038
8310250000.0000,  12.3510,   0.4753,   0.9881,  -0.0098
8312875000.0000,  12.3563,   0.4668,   0.9851,  -0.0054
8315500000.0000,  12.3600,   0.4682,   0.9874,  -0.0083
8318125000.0000,  12.3483,   0.4769,   0.9856,  -0.0068
8320750000.0000,  12.3556,   0.4726,   0.9864,  -0.0049
8323375000.0000,  12.3411,   0.4818,   0.9880,  -0.0032
8326000000.0000,  12.3474,   0.4868,   0.9920,   0.0014
8328625000.0000,  12.3461,   0.4721,   0.9881,  -0.0100
8331250000.0000,  12.3522,   0.4846,   0.9868,  -0.0053
8333875000.0000,  12.3405,   0.4777,   0.9884,  -0.0074
8336500000.0000,  12.3427,   0.4847,   0.9935,  -0.0023
8339125000.0000,  12.3535,   0.4834,   0.9946,  -0.0041
8341750000.0000,  12.3422,   0.4899,   0.9904,  -0.0022
8344375000.0000,  12.3521,   0.4854,   0.9902,  -0.0055
8347000000.0000,  12.3486,   0.4883,   0.9937,  -0.0013
8349625000.0000,  12.3546,   0.4973,   0.9897,  -0.0031
8352250000.0000,  12.3627,   0.4915,   0.9930,  -0.0035
8354875000.0000,  12.3513,   0.4960,   0.9962,  -0.0082
8357500000.0000,  12.3504,   0.5070,   0.9945,   0.0029
8360125000.0000,  12.3601,   0.4998,   0.9928,  -0.0037
8362750000.0000,  12.3422,   0.4998,   0.9933,   0.0040
8365375000.0000,  12.3535,   0.4909,   0.9937,  -0.0007
8368000000.0000,  12.3568,   0.4927,   0.9992,   0.0000
8370625000.0000,  12.3452,   0.4926,   0.9935,  -0.0052
8373250000.0000,  12.3529,   0.5001,   0.9963,  -0.0071
8375875000.0000,  12.3412,   0.4929,   0.9934,  -0.0046
8378500000.0000,  12.3672,   0.4889,   0.9927,  -0.0060
8381125000.0000,  12.3452,   0.5141,   0.9955,   0.0060
8383750000.0000,  12.3540,   0.5002,   0.9914,  -0.0051
8386375000.0000,  12.3552,   0.4921,   0.9955,  -0.0087
8389000000.0000,  12.3559,   0.4967,   0.9945,  -0.0033
8391625000.0000,  12.3586,   0.5019,   0.9945,  -0.0028
8394250000.0000,  12.3555,   0.5066,   0.9939,  -0.0024
