Freq(Hz)	RL(%)
8202625000.0	99.6231041326
8205250000.0	98.6273940319
8207875000.0	99.2081100772
8210500000.0	99.442662853
8213125000.0	98.5892945114
8215750000.0	98.847511977
8218375000.0	99.9693164074
8221000000.0	98.2725717032
8223625000.0	98.651526864
8226250000.0	99.593690502
8228875000.0	98.8004379219
8231500000.0	98.9348271457
8234125000.0	98.7887301007
8236750000.0	99.5202243045
8239375000.0	98.8055199647
8242000000.0	98.1611041487
8244625000.0	98.8622206019
8247250000.0	99.2482947163
8249875000.0	98.6781022646
8252500000.0	98.2210642561
8255125000.0	98.1212219965
8257750000.0	97.9664457598
8260375000.0	98.3152735921
8263000000.0	100.035270105
8265625000.0	98.6325084255
8268250000.0	98.6440849663
8270875000.0	99.0055504311
8273500000.0	98.796573745
8276125000.0	98.4268359698
8278750000.0	99.3064388971
8281375000.0	98.6925196544
8284000000.0	97.6568610176
8286625000.0	99.5821509057
8289250000.0	99.1099081233
8291875000.0	98.52142606
8294500000.0	98.1583649718
8297125000.0	98.0844114506
8299750000.0	99.3899764679
8302375000.0	99.1669363693
8305000000.0	97.9366990917
8307625000.0	98.5390744788
8310250000.0	99.650825963
8312875000.0	98.8808631741
8315500000.0	99.401656263
8318125000.0	99.0892034782
8320750000.0	98.7476654988
8323375000.0	98.3799767265
8326000000.0	97.4783667032
8328625000.0	99.6911328528
8331250000.0	98.7557103834
8333875000.0	99.1709525723
8336500000.0	98.1533498474
8339125000.0	98.4855010888
8341750000.0	98.1228880383
8344375000.0	98.7584460713
8347000000.0	97.935769065
8349625000.0	98.2502141602
8352250000.0	98.3289821484
8354875000.0	99.1758246374
8357500000.0	97.047071462
8360125000.0	98.3203605286
8362750000.0	96.8787036008
8365375000.0	97.788186058
8368000000.0	97.6098532393
8370625000.0	98.6242993756
8373250000.0	98.9296697671
8375875000.0	98.5049383038
8378500000.0	98.7883352678
8381125000.0	96.3956378591
8383750000.0	98.5668898547
8386375000.0	99.2669615728
8389000000.0	98.2175752431
8391625000.0	98.0942435109
8394250000.0	97.9968687447
8396875000.0	97.28899475
8399500000.0	98.4244208521
8402125000.0	98.4871977184
8404750000.0	97.4725062142
8407375000.0	98.7695980059
8410000000.0	98.7439672042
8412625000.0	98.0477163792
8415250000.0	98.6365257106
8417875000.0	99.067408878
8420500000.0	98.368467151
8423125000.0	96.9458452684
