Freq(Hz)	RL(%)
8202625000.0	73.7210293498
8205250000.0	71.1376886014
8207875000.0	74.4729343709
8210500000.0	71.2322865454
8213125000.0	71.5501229291
8215750000.0	71.6318990268
8218375000.0	74.9505743805
8221000000.0	72.94976001
8223625000.0	71.0908226545
8226250000.0	73.0405224787
8228875000.0	71.6748279548
8231500000.0	69.9158587933
8234125000.0	71.7120480933
8236750000.0	70.0157869381
8239375000.0	71.1323405657
8242000000.0	68.3782602387
8244625000.0	72.1179701896
8247250000.0	74.0675078224
8249875000.0	71.6792061495
8252500000.0	70.7743742853
8255125000.0	73.3412698982
8257750000.0	70.4188460156
8260375000.0	71.4057650412
8263000000.0	73.8687758745
8265625000.0	72.0111072837
8268250000.0	70.5645683918
8270875000.0	73.1761499047
8273500000.0	70.2218463076
8276125000.0	69.8441195581
8278750000.0	69.6598110632
8281375000.0	68.7223411795
8284000000.0	67.7137391905
8286625000.0	70.0467309709
8289250000.0	70.788331719
8291875000.0	68.9121030858
8294500000.0	71.8862957203
8297125000.0	69.4562590048
8299750000.0	71.4150490649
8302375000.0	67.9334552954
8305000000.0	69.8979858865
8307625000.0	69.0490550195
8310250000.0	69.7983159951
8312875000.0	72.0992001933
8315500000.0	70.02040976
8318125000.0	68.7651916522
8320750000.0	71.9046329294
8323375000.0	68.0295781977
8326000000.0	66.8154238737
8328625000.0	66.4990072312
8331250000.0	68.1621979092
8333875000.0	68.4276895704
8336500000.0	66.9643211132
8339125000.0	64.5535024324
8341750000.0	65.0466448166
8344375000.0	64.5458569307
8347000000.0	64.0449521476
8349625000.0	64.7235793445
8352250000.0	64.653343396
8354875000.0	65.84695708
8357500000.0	61.2908871577
8360125000.0	64.8824334287
8362750000.0	64.5674573723
8365375000.0	60.6712516221
8368000000.0	62.2780401843
8370625000.0	62.8543450404
8373250000.0	63.5513219728
8375875000.0	63.2655071868
8378500000.0	64.0426327146
8381125000.0	62.7507751666
8383750000.0	67.0456464128
8386375000.0	65.4468624176
8389000000.0	63.4098651674
8391625000.0	62.1304605974
8394250000.0	61.8394938237
8396875000.0	61.8343279423
8399500000.0	62.9928047782
8402125000.0	64.8848989797
8404750000.0	60.4617753387
8407375000.0	61.5844766972
8410000000.0	63.7000790396
8412625000.0	64.6193101075
8415250000.0	63.0389466297
8417875000.0	65.2336353222
8420500000.0	65.621253585
8423125000.0	62.6142737353
8425750000.0	61.8034903491
8428375000.0	65.614452059
8431000000.0	61.033757252
8433625000.0	62.8013046038
8436250000.0	63.6016175078
8438875000.0	60.1366729772
8441500000.0	62.4106481959
8444125000.0	63.5457111326
8446750000.0	59.78068566
8449375000.0	60.9953316977
8452000000.0	62.2700704137
8454625000.0	58.8658758583
8457250000.0	58.9986612831
8459875000.0	61.1695469359
8462500000.0	61.7035581443
8465125000.0	58.8478321801
8467750000.0	61.5485571738
8470375000.0	58.8328029229
8473000000.0	59.1806550237
8475625000.0	60.0410370036
8478250000.0	58.6918325384
8480875000.0	57.4952912697
8483500000.0	57.8449927878
8486125000.0	58.4297073662
8488750000.0	58.6503759945
