85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 14:06:26"

frequency,e',e'',u',u''
8200000000.0000,  14.0608,   0.5641,   0.9684,  -0.0040
8202625000.0000,  14.0686,   0.5515,   0.9696,  -0.0118
8205250000.0000,  14.0838,   0.5609,   0.9686,   0.0004
8207875000.0000,  14.0851,   0.5476,   0.9732,  -0.0038
8210500000.0000,  14.0678,   0.5574,   0.9696,  -0.0049
8213125000.0000,  14.0745,   0.5521,   0.9752,  -0.0073
8215750000.0000,  14.0794,   0.5342,   0.9703,  -0.0089
8218375000.0000,  14.0725,   0.5464,   0.9733,  -0.0058
8221000000.0000,  14.0745,   0.5378,   0.9725,  -0.0102
8223625000.0000,  14.0619,   0.5552,   0.9716,  -0.0045
8226250000.0000,  14.0597,   0.5380,   0.9731,  -0.0097
8228875000.0000,  14.0834,   0.5428,   0.9727,  -0.0073
8231500000.0000,  14.0739,   0.5632,   0.9695,   0.0009
8234125000.0000,  14.0687,   0.5641,   0.9734,  -0.0015
8236750000.0000,  14.0627,   0.5489,   0.9744,  -0.0074
8239375000.0000,  14.0837,   0.5550,   0.9762,  -0.0062
8242000000.0000,  14.0819,   0.5575,   0.9701,  -0.0006
8244625000.0000,  14.0827,   0.5337,   0.9724,  -0.0095
8247250000.0000,  14.0825,   0.5492,   0.9743,  -0.0042
8249875000.0000,  14.0871,   0.5518,   0.9729,  -0.0027
8252500000.0000,  14.0826,   0.5520,   0.9727,  -0.0055
8255125000.0000,  14.0837,   0.5421,   0.9715,  -0.0067
8257750000.0000,  14.0845,   0.5567,   0.9706,  -0.0010
8260375000.0000,  14.0794,   0.5459,   0.9735,  -0.0077
8263000000.0000,  14.0902,   0.5523,   0.9724,  -0.0098
8265625000.0000,  14.0895,   0.5435,   0.9698,  -0.0059
8268250000.0000,  14.0894,   0.5646,   0.9745,  -0.0018
8270875000.0000,  14.0939,   0.5382,   0.9713,  -0.0093
8273500000.0000,  14.1030,   0.5423,   0.9693,  -0.0070
8276125000.0000,  14.0947,   0.5539,   0.9723,  -0.0054
8278750000.0000,  14.0978,   0.5599,   0.9716,  -0.0067
8281375000.0000,  14.0860,   0.5395,   0.9710,  -0.0085
8284000000.0000,  14.0910,   0.5629,   0.9715,   0.0003
8286625000.0000,  14.0952,   0.5468,   0.9680,  -0.0065
8289250000.0000,  14.0927,   0.5594,   0.9708,  -0.0038
8291875000.0000,  14.0969,   0.5464,   0.9680,  -0.0069
8294500000.0000,  14.0876,   0.5505,   0.9727,  -0.0026
8297125000.0000,  14.1083,   0.5457,   0.9701,  -0.0072
8299750000.0000,  14.1026,   0.5453,   0.9675,  -0.0113
8302375000.0000,  14.1048,   0.5544,   0.9713,  -0.0046
8305000000.0000,  14.0967,   0.5494,   0.9718,  -0.0067
8307625000.0000,  14.1097,   0.5580,   0.9726,  -0.0082
8310250000.0000,  14.1035,   0.5612,   0.9714,  -0.0074
8312875000.0000,  14.1041,   0.5483,   0.9685,  -0.0099
8315500000.0000,  14.1019,   0.5464,   0.9721,  -0.0114
8318125000.0000,  14.0909,   0.5538,   0.9677,  -0.0100
8320750000.0000,  14.0998,   0.5519,   0.9704,  -0.0058
8323375000.0000,  14.0897,   0.5560,   0.9731,  -0.0055
8326000000.0000,  14.0936,   0.5497,   0.9740,  -0.0094
8328625000.0000,  14.0971,   0.5579,   0.9679,  -0.0062
8331250000.0000,  14.0960,   0.5630,   0.9656,  -0.0066
8333875000.0000,  14.0832,   0.5600,   0.9728,  -0.0071
8336500000.0000,  14.0873,   0.5667,   0.9748,  -0.0036
8339125000.0000,  14.0969,   0.5729,   0.9733,  -0.0006
8341750000.0000,  14.0889,   0.5760,   0.9730,  -0.0006
8344375000.0000,  14.0892,   0.5660,   0.9712,  -0.0038
8347000000.0000,  14.0868,   0.5584,   0.9758,  -0.0011
8349625000.0000,  14.1056,   0.5521,   0.9731,  -0.0095
8352250000.0000,  14.1036,   0.5760,   0.9743,  -0.0010
8354875000.0000,  14.0977,   0.5642,   0.9757,  -0.0063
8357500000.0000,  14.0901,   0.5850,   0.9760,   0.0056
8360125000.0000,  14.0977,   0.5653,   0.9740,  -0.0055
8362750000.0000,  14.0936,   0.5596,   0.9788,  -0.0059
8365375000.0000,  14.0919,   0.5651,   0.9773,  -0.0009
8368000000.0000,  14.0994,   0.5646,   0.9800,   0.0003
8370625000.0000,  14.0937,   0.5578,   0.9775,  -0.0035
8373250000.0000,  14.0905,   0.5718,   0.9762,  -0.0040
8375875000.0000,  14.0843,   0.5455,   0.9783,  -0.0104
8378500000.0000,  14.1134,   0.5651,   0.9748,  -0.0049
8381125000.0000,  14.0973,   0.5718,   0.9812,  -0.0014
8383750000.0000,  14.1077,   0.5652,   0.9771,  -0.0074
8386375000.0000,  14.1073,   0.5548,   0.9806,  -0.0075
8389000000.0000,  14.0999,   0.5564,   0.9783,  -0.0024
8391625000.0000,  14.1016,   0.5683,   0.9782,   0.0004
8394250000.0000,  14.0943,   0.5603,   0.9748,  -0.0011
8396875000.0000,  14.0964,   0.5670,   0.9790,  -0.0011
8399500000.0000,  14.1313,   0.5662,   0.9766,  -0.0059
8402125000.0000,  14.1031,   0.5518,   0.9733,  -0.0051
8404750000.0000,  14.1125,   0.5632,   0.9749,  -0.0013
8407375000.0000,  14.1093,   0.5643,   0.9733,  -0.0063
8410000000.0000,  14.1154,   0.5498,   0.9717,  -0.0076
8412625000.0000,  14.1042,   0.5510,   0.9731,  -0.0065
8415250000.0000,  14.1055,   0.5680,   0.9736,  -0.0004
8417875000.0000,  14.1023,   0.5613,   0.9762,  -0.0099
8420500000.0000,  14.1169,   0.5428,   0.9704,  -0.0063
8423125000.0000,  14.1093,   0.5644,   0.9749,  -0.0066
8425750000.0000,  14.1061,   0.5533,   0.9725,  -0.0088
8428375000.0000,  14.1241,   0.5622,   0.9695,  -0.0107
8431000000.0000,  14.1071,   0.5638,   0.9705,  -0.0060
8433625000.0000,  14.1098,   0.5680,   0.9755,  -0.0037
8436250000.0000,  14.1069,   0.5578,   0.9678,  -0.0061
8438875000.0000,  14.1188,   0.5669,   0.9762,  -0.0045
8441500000.0000,  14.1072,   0.5597,   0.9739,  -0.0068
8444125000.0000,  14.1032,   0.5644,   0.9721,  -0.0061
8446750000.0000,  14.0839,   0.5664,   0.9712,  -0.0051
8449375000.0000,  14.1063,   0.5733,   0.9717,  -0.0047
8452000000.0000,  14.1024,   0.5592,   0.9728,  -0.0071
8454625000.0000,  14.1031,   0.5531,   0.9711,  -0.0128
8457250000.0000,  14.0851,   0.5771,   0.9738,  -0.0039
8459875000.0000,  14.0838,   0.5551,   0.9717,  -0.0108
8462500000.0000,  14.0998,   0.5652,   0.9730,  -0.0107
8465125000.0000,  14.0949,   0.5741,   0.9723,  -0.0075
8467750000.0000,  14.0821,   0.5628,   0.9700,  -0.0087
8470375000.0000,  14.0859,   0.5700,   0.9757,  -0.0050
8473000000.0000,  14.0874,   0.5693,   0.9740,  -0.0059
8475625000.0000,  14.0736,   0.5795,   0.9734,  -0.0042
8478250000.0000,  14.0787,   0.5588,   0.9750,  -0.0063
8480875000.0000,  14.0818,   0.5584,   0.9759,  -0.0063
8483500000.0000,  14.0697,   0.5805,   0.9742,  -0.0007
8486125000.0000,  14.0721,   0.5781,   0.9732,   0.0018
8488750000.0000,  14.0754,   0.5708,   0.9764,  -0.0071
8491375000.0000,  14.0986,   0.5829,   0.9750,   0.0003
8494000000.0000,  14.0703,   0.5628,   0.9759,  -0.0064
8496625000.0000,  14.0633,   0.5944,   0.9763,   0.0053
8499250000.0000,  14.0731,   0.5647,   0.9783,  -0.0044
8501875000.0000,  14.0679,   0.5842,   0.9802,  -0.0010
8504500000.0000,  14.0781,   0.5887,   0.9759,   0.0008
8507125000.0000,  14.0534,   0.5861,   0.9769,   0.0018
8509750000.0000,  14.0590,   0.5910,   0.9757,   0.0046
8512375000.0000,  14.0757,   0.5598,   0.9787,  -0.0049
8515000000.0000,  14.0637,   0.5743,   0.9776,  -0.0002
8517625000.0000,  14.0858,   0.5739,   0.9790,  -0.0009
8520250000.0000,  14.0606,   0.5870,   0.9761,   0.0011
8522875000.0000,  14.0565,   0.5627,   0.9805,  -0.0023
8525500000.0000,  14.0803,   0.5827,   0.9782,   0.0037
8528125000.0000,  14.0774,   0.5762,   0.9762,  -0.0010
8530750000.0000,  14.0666,   0.5751,   0.9812,  -0.0029
8533375000.0000,  14.0789,   0.5711,   0.9789,  -0.0038
8536000000.0000,  14.0722,   0.5519,   0.9792,  -0.0055
