85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 15:27:58"

frequency,e',e'',u',u''
8200000000.0000,  25.2125,   1.8618,   1.0288,  -0.0088
8202625000.0000,  25.2012,   1.9497,   1.0304,  -0.0026
8205250000.0000,  25.2479,   1.9893,   1.0297,   0.0022
8207875000.0000,  25.2226,   1.9075,   1.0309,  -0.0037
8210500000.0000,  25.1986,   1.9731,   1.0312,   0.0021
8213125000.0000,  25.2301,   1.9827,   1.0324,   0.0004
8215750000.0000,  25.2539,   1.9511,   1.0323,   0.0008
8218375000.0000,  25.2404,   1.9163,   1.0337,  -0.0063
8221000000.0000,  25.2447,   1.9492,   1.0319,  -0.0024
8223625000.0000,  25.2029,   1.9893,   1.0328,   0.0008
8226250000.0000,  25.2426,   1.9423,   1.0337,  -0.0031
8228875000.0000,  25.2842,   1.9699,   1.0353,  -0.0015
8231500000.0000,  25.2559,   2.0250,   1.0315,   0.0021
8234125000.0000,  25.2305,   1.9958,   1.0321,  -0.0015
8236750000.0000,  25.2407,   2.0113,   1.0361,   0.0009
8239375000.0000,  25.2699,   2.0141,   1.0349,  -0.0019
8242000000.0000,  25.2836,   2.0418,   1.0316,   0.0045
8244625000.0000,  25.2781,   1.9757,   1.0334,  -0.0031
8247250000.0000,  25.2929,   1.9403,   1.0341,  -0.0069
8249875000.0000,  25.2963,   1.9763,   1.0333,  -0.0025
8252500000.0000,  25.2820,   2.0029,   1.0312,  -0.0007
8255125000.0000,  25.3145,   1.9534,   1.0314,  -0.0056
8257750000.0000,  25.3002,   2.0186,   1.0351,  -0.0017
8260375000.0000,  25.2757,   2.0072,   1.0341,  -0.0034
8263000000.0000,  25.2897,   1.9684,   1.0302,  -0.0072
8265625000.0000,  25.2887,   1.9856,   1.0309,  -0.0038
8268250000.0000,  25.3027,   2.0131,   1.0338,  -0.0022
8270875000.0000,  25.3088,   1.9617,   1.0324,  -0.0065
8273500000.0000,  25.3080,   2.0272,   1.0303,  -0.0013
8276125000.0000,  25.2991,   2.0542,   1.0336,  -0.0021
8278750000.0000,  25.2994,   2.0566,   1.0304,  -0.0011
8281375000.0000,  25.2630,   2.0729,   1.0291,   0.0011
8284000000.0000,  25.2905,   2.0960,   1.0306,   0.0021
8286625000.0000,  25.2867,   2.0413,   1.0290,  -0.0016
8289250000.0000,  25.2854,   2.0408,   1.0284,  -0.0033
8291875000.0000,  25.3106,   2.0734,   1.0288,  -0.0003
8294500000.0000,  25.2823,   2.0093,   1.0302,  -0.0056
8297125000.0000,  25.3239,   2.0666,   1.0300,  -0.0021
8299750000.0000,  25.3206,   2.0574,   1.0278,  -0.0059
8302375000.0000,  25.3188,   2.0970,   1.0308,   0.0001
8305000000.0000,  25.3105,   2.0574,   1.0311,  -0.0035
8307625000.0000,  25.2935,   2.1028,   1.0284,  -0.0022
8310250000.0000,  25.3433,   2.0992,   1.0314,  -0.0051
8312875000.0000,  25.3289,   2.0432,   1.0282,  -0.0079
8315500000.0000,  25.3280,   2.0887,   1.0318,  -0.0056
8318125000.0000,  25.2813,   2.1367,   1.0293,  -0.0033
8320750000.0000,  25.3222,   2.0619,   1.0303,  -0.0089
8323375000.0000,  25.2977,   2.1303,   1.0333,  -0.0029
8326000000.0000,  25.2973,   2.1394,   1.0337,  -0.0006
8328625000.0000,  25.3104,   2.1574,   1.0335,  -0.0006
8331250000.0000,  25.2941,   2.1481,   1.0299,  -0.0033
8333875000.0000,  25.3061,   2.1276,   1.0331,  -0.0044
8336500000.0000,  25.3213,   2.1666,   1.0359,  -0.0032
8339125000.0000,  25.3227,   2.2152,   1.0344,   0.0013
8341750000.0000,  25.2989,   2.2291,   1.0338,  -0.0001
8344375000.0000,  25.3112,   2.2234,   1.0348,   0.0007
8347000000.0000,  25.3284,   2.2118,   1.0359,   0.0016
8349625000.0000,  25.3403,   2.2283,   1.0324,   0.0002
8352250000.0000,  25.3406,   2.2232,   1.0364,  -0.0008
8354875000.0000,  25.3326,   2.2140,   1.0370,  -0.0036
8357500000.0000,  25.3124,   2.3013,   1.0367,   0.0049
8360125000.0000,  25.3627,   2.2346,   1.0364,  -0.0024
8362750000.0000,  25.3377,   2.2174,   1.0381,  -0.0016
8365375000.0000,  25.3100,   2.3110,   1.0367,   0.0056
8368000000.0000,  25.3723,   2.2475,   1.0394,   0.0019
8370625000.0000,  25.3443,   2.2775,   1.0380,   0.0001
8373250000.0000,  25.3589,   2.2806,   1.0388,  -0.0022
8375875000.0000,  25.3152,   2.2815,   1.0376,  -0.0010
8378500000.0000,  25.3762,   2.2665,   1.0362,  -0.0027
8381125000.0000,  25.3735,   2.2737,   1.0402,  -0.0012
8383750000.0000,  25.3587,   2.2073,   1.0352,  -0.0077
8386375000.0000,  25.3847,   2.2378,   1.0381,  -0.0062
8389000000.0000,  25.3525,   2.2918,   1.0369,  -0.0027
8391625000.0000,  25.3610,   2.3038,   1.0366,  -0.0002
8394250000.0000,  25.3707,   2.3020,   1.0375,   0.0000
8396875000.0000,  25.3701,   2.3099,   1.0388,  -0.0008
8399500000.0000,  25.4214,   2.3178,   1.0364,  -0.0037
8402125000.0000,  25.3906,   2.2403,   1.0345,  -0.0051
8404750000.0000,  25.3846,   2.3388,   1.0369,   0.0015
8407375000.0000,  25.3556,   2.3623,   1.0345,  -0.0011
8410000000.0000,  25.3937,   2.3024,   1.0348,  -0.0049
8412625000.0000,  25.3995,   2.2991,   1.0358,  -0.0074
8415250000.0000,  25.3781,   2.3187,   1.0338,  -0.0038
8417875000.0000,  25.3767,   2.3137,   1.0359,  -0.0094
8420500000.0000,  25.4011,   2.2835,   1.0326,  -0.0088
8423125000.0000,  25.3804,   2.3493,   1.0358,  -0.0049
8425750000.0000,  25.3831,   2.3748,   1.0355,  -0.0039
8428375000.0000,  25.4119,   2.3363,   1.0313,  -0.0106
8431000000.0000,  25.3628,   2.4409,   1.0305,  -0.0027
8433625000.0000,  25.3967,   2.3945,   1.0342,  -0.0071
8436250000.0000,  25.3954,   2.3595,   1.0327,  -0.0076
8438875000.0000,  25.3652,   2.4401,   1.0323,  -0.0017
8441500000.0000,  25.3872,   2.3796,   1.0351,  -0.0065
8444125000.0000,  25.3481,   2.3816,   1.0321,  -0.0081
8446750000.0000,  25.3017,   2.4497,   1.0329,  -0.0013
8449375000.0000,  25.3669,   2.4351,   1.0358,  -0.0055
8452000000.0000,  25.3426,   2.4165,   1.0333,  -0.0071
8454625000.0000,  25.3681,   2.4879,   1.0357,  -0.0024
8457250000.0000,  25.3054,   2.5020,   1.0350,  -0.0025
8459875000.0000,  25.3306,   2.4426,   1.0346,  -0.0062
8462500000.0000,  25.3581,   2.4616,   1.0341,  -0.0083
8465125000.0000,  25.3245,   2.5059,   1.0339,  -0.0027
8467750000.0000,  25.2957,   2.4786,   1.0329,  -0.0079
8470375000.0000,  25.3144,   2.5161,   1.0370,  -0.0043
8473000000.0000,  25.3236,   2.5208,   1.0377,  -0.0058
8475625000.0000,  25.2805,   2.4906,   1.0352,  -0.0059
8478250000.0000,  25.2696,   2.5290,   1.0345,  -0.0037
8480875000.0000,  25.2755,   2.5542,   1.0354,  -0.0021
8483500000.0000,  25.2944,   2.5496,   1.0383,  -0.0042
8486125000.0000,  25.3202,   2.5271,   1.0356,  -0.0045
8488750000.0000,  25.2597,   2.5523,   1.0356,  -0.0054
8491375000.0000,  25.3633,   2.5876,   1.0380,  -0.0029
8494000000.0000,  25.2933,   2.6028,   1.0367,  -0.0027
8496625000.0000,  25.2674,   2.5856,   1.0370,  -0.0031
8499250000.0000,  25.2748,   2.6011,   1.0381,  -0.0029
8501875000.0000,  25.2587,   2.6109,   1.0387,  -0.0044
8504500000.0000,  25.3070,   2.6604,   1.0381,  -0.0025
8507125000.0000,  25.2304,   2.6929,   1.0389,   0.0009
8509750000.0000,  25.2483,   2.6377,   1.0378,  -0.0028
8512375000.0000,  25.2860,   2.6584,   1.0396,  -0.0038
8515000000.0000,  25.2487,   2.6870,   1.0393,  -0.0020
8517625000.0000,  25.2683,   2.7099,   1.0397,  -0.0012
8520250000.0000,  25.2491,   2.7511,   1.0372,  -0.0011
8522875000.0000,  25.2239,   2.6604,   1.0401,  -0.0048
8525500000.0000,  25.2513,   2.7426,   1.0367,   0.0018
8528125000.0000,  25.2463,   2.7100,   1.0373,  -0.0055
8530750000.0000,  25.2530,   2.7975,   1.0411,  -0.0002
8533375000.0000,  25.2751,   2.7452,   1.0406,  -0.0066
8536000000.0000,  25.2576,   2.7518,   1.0394,  -0.0014
8538625000.0000,  25.2474,   2.7175,   1.0380,  -0.0067
8541250000.0000,  25.2633,   2.7004,   1.0393,  -0.0069
8543875000.0000,  25.2442,   2.7430,   1.0386,  -0.0067
8546500000.0000,  25.1977,   2.8377,   1.0403,  -0.0005
8549125000.0000,  25.2106,   2.7799,   1.0396,  -0.0037
8551750000.0000,  25.2133,   2.8271,   1.0401,  -0.0009
8554375000.0000,  25.2237,   2.7901,   1.0386,  -0.0087
8557000000.0000,  25.1758,   2.8613,   1.0416,  -0.0029
8559625000.0000,  25.2155,   2.8470,   1.0388,  -0.0033
8562250000.0000,  25.2458,   2.7789,   1.0394,  -0.0137
