!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:29:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8300000000,-0.51718313,-0.33691952,-0.10331743,-0.77007383,-0.10501611,-0.77229577,-0.39554369,0.47402346
8302562500,-0.51670444,-0.33518416,-0.10414109,-0.77310866,-0.10691182,-0.77126992,-0.39517564,0.47689778
8305125000,-0.51786411,-0.33792007,-0.10457765,-0.77144259,-0.10497808,-0.77343613,-0.39478472,0.47466031
8307687500,-0.51761311,-0.33421442,-0.10609356,-0.77167726,-0.11008751,-0.77084249,-0.392784,0.47596654
8310250000,-0.51760167,-0.33549282,-0.10612348,-0.77028286,-0.10918846,-0.77258849,-0.39250499,0.47546485
8312812500,-0.51637393,-0.33640265,-0.10782124,-0.77056772,-0.10718831,-0.77258748,-0.39138475,0.47624967
8315375000,-0.51683503,-0.33444226,-0.10444566,-0.7687425,-0.11085574,-0.77050543,-0.39040166,0.47355977
8317937500,-0.51494604,-0.33568874,-0.10818345,-0.77050769,-0.10888175,-0.77101862,-0.38914695,0.4769915
8320500000,-0.51495129,-0.33636379,-0.11079606,-0.77066362,-0.10931082,-0.77208656,-0.38669348,0.47856227
8323062500,-0.51614058,-0.33514225,-0.10824576,-0.77173007,-0.11128068,-0.77190167,-0.3895112,0.47761691
8325625000,-0.51383734,-0.33438706,-0.11047628,-0.77240753,-0.11078485,-0.77058983,-0.38735339,0.48037836
8328187500,-0.51654679,-0.33510053,-0.10785333,-0.77180165,-0.11370298,-0.77317256,-0.38784015,0.47853103
8330750000,-0.51376706,-0.3360028,-0.11024498,-0.76905674,-0.11129137,-0.77148193,-0.38440761,0.47855887
8333312500,-0.51988745,-0.33005449,-0.11970468,-0.77111346,-0.1246003,-0.77152789,-0.37802476,0.48506206
8335875000,-0.51376653,-0.33585703,-0.11183492,-0.7724387,-0.11302146,-0.77112979,-0.38313431,0.48170629
8338437500,-0.51450354,-0.33435473,-0.11049896,-0.76976436,-0.11361122,-0.77411991,-0.38251588,0.48025149
8341000000,-0.51374376,-0.33392921,-0.11378071,-0.77061725,-0.1141443,-0.77128345,-0.37975729,0.48202842
8343562500,-0.51491058,-0.33382836,-0.11312175,-0.77090752,-0.11576761,-0.77292126,-0.38008553,0.48236457
8346125000,-0.51520711,-0.33371183,-0.11236522,-0.77197778,-0.11620171,-0.77249908,-0.37998515,0.48084608
8348687500,-0.51520741,-0.33301914,-0.11396764,-0.77306396,-0.11714581,-0.77119637,-0.3792319,0.48296651
8351250000,-0.51549131,-0.33157283,-0.11554156,-0.77198094,-0.11942868,-0.77138811,-0.37781319,0.48445895
