!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:33:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8300000000,0.9950009,53.15353,0.00013229313,-158.57523,0.00010188422,164.92465,0.26055178,-63.745106
8302562500,0.99667466,53.298565,0.00011008418,123.43577,9.6614691e-005,158.51547,0.26120433,-63.788742
8305125000,0.99821585,52.833008,0.00010916213,166.53445,4.3301647e-005,-150.95473,0.26122069,-63.828426
8307687500,0.99455225,52.746777,5.9460064e-005,158.99605,4.996347e-005,168.98358,0.26186022,-63.783772
8310250000,0.99472743,52.676296,9.9370067e-005,119.06863,0.00012422771,-179.89282,0.26163182,-63.850056
8312812500,0.9893195,52.732334,9.8055556e-005,-157.92438,7.8462494e-005,173.18195,0.26137376,-63.870869
8315375000,0.99443173,52.672962,0.00012056467,-144.6595,5.368386e-005,136.98732,0.26168692,-63.745556
8317937500,0.9952231,52.806313,0.00012241919,176.86909,0.0001004739,174.53984,0.26207057,-63.636948
8320500000,0.99445009,52.314072,0.00010678109,140.75122,0.00011655778,154.36426,0.26069894,-63.644836
8323062500,0.99290156,52.253162,8.7283908e-005,164.42221,0.00010348667,148.77309,0.26199412,-63.256645
8325625000,0.99720347,52.108608,0.00012242883,159.49474,2.495887e-005,-98.740662,0.26216882,-63.167278
8328187500,0.99534637,52.095936,0.00012172707,170.5865,0.0001083833,141.42004,0.26314574,-63.186523
8330750000,0.99565893,52.067673,0.00010394643,178.48068,0.00013101981,140.20364,0.2634778,-63.084652
8333312500,0.99888796,51.145176,7.7982171e-005,-164.51228,0.00013496036,173.02034,0.26509061,-63.752937
8335875000,0.9948535,51.753613,5.8250451e-005,-141.06615,8.5604042e-005,-153.49321,0.26468486,-63.081512
8338437500,0.99449944,51.547226,6.4091211e-005,164.33392,7.9287893e-005,-157.4678,0.26597336,-62.99276
8341000000,0.9948827,51.508652,3.2240878e-005,94.288071,7.4849922e-005,145.30104,0.26615915,-63.046997
8343562500,0.99518937,51.375393,9.9324025e-005,179.64153,0.00017913747,168.34409,0.26669738,-62.865295
8346125000,0.99935579,51.10651,7.2397772e-005,174.09813,1.7253684e-005,-16.530766,0.26681799,-62.918797
8348687500,0.99764073,51.066177,9.9307559e-005,-165.38863,7.8477031e-005,-112.92113,0.26756269,-62.987164
8351250000,0.99609298,50.837395,2.6458942e-005,124.06742,0.00016318471,121.35497,0.26872706,-63.152218
8353812500,0.99502718,50.887878,0.00012268279,146.29903,0.000155487,-177.35335,0.26932949,-63.222507
8356375000,0.99352318,50.777992,7.7130688e-005,133.97133,7.2609662e-005,169.68538,0.27043554,-63.330875
8358937500,0.99374884,50.702843,9.2599184e-005,-168.52251,4.29336e-005,-135.4861,0.26961461,-63.71077
8361500000,0.99707872,50.62883,8.5191597e-005,-174.37943,3.5755791e-005,132.94914,0.269914,-64.042221
8364062500,0.99513298,50.526382,9.7886252e-005,-147.39967,8.6520951e-005,162.24287,0.26923397,-64.156181
8366625000,0.9950974,50.297985,0.0001406801,151.33118,4.1710853e-005,155.52562,0.26698929,-64.138229
8369187500,0.99545175,50.173168,0.00010087747,129.8049,0.00014642072,-170.01295,0.26776379,-64.072823
8371750000,0.99667513,50.246628,0.0001180621,155.79646,6.0587245e-005,140.73882,0.26659286,-64.108086
8374312500,0.99854952,50.071342,8.488039e-005,110.60159,0.00020162352,165.11888,0.26796257,-64.146004
8376875000,0.9976244,49.845276,0.00011426787,171.74368,9.3463248e-005,-146.2541,0.26708227,-64.096634
8379437500,0.99703056,49.774048,0.00010404074,162.58939,0.00022904619,170.20866,0.26584318,-64.180054
8382000000,0.99715561,49.769424,0.00011918273,167.86072,0.00012843325,169.38913,0.26552427,-64.104889
8384562500,0.99449235,49.497528,0.00012398041,167.04924,8.6572923e-005,-145.83745,0.26613888,-64.186386
8387125000,0.9956848,49.306465,0.00010024761,126.56939,0.00011696528,-170.8761,0.26612049,-64.005043
8389687500,0.99520344,49.356365,5.8156289e-005,134.02957,5.6223089e-005,-173.43858,0.26544589,-63.988216
8392250000,0.99718624,49.164391,0.00013983418,139.46362,6.9061207e-005,105.65382,0.26515934,-64.049911
8394812500,0.99569559,48.953033,9.0539594e-005,-170.56924,0.00013637719,149.55746,0.26530814,-64.025986
8397375000,0.99579847,48.973602,0.00010487919,143.61426,9.7151125e-005,-145.14534,0.2659826,-63.89407
8399937500,0.99656016,49.10004,0.00011479291,157.0071,0.0001072896,177.69705,0.26615739,-63.977966
8402500000,0.99380028,48.703068,8.6626096e-005,155.25215,0.00012449943,166.1571,0.26643065,-63.791378
8405062500,0.9942081,48.803471,0.00012848953,168.85968,8.047247e-005,171.59885,0.26652378,-63.717407
8407625000,0.99641663,48.633995,0.00016921102,151.2054,9.3867697e-005,155.95198,0.26758701,-63.773819
8410187500,0.9911719,48.439701,8.7966684e-005,156.81001,8.7302345e-005,146.37624,0.26784426,-63.805382
8412750000,0.99488735,48.379375,0.0001250284,157.2386,9.2599723e-005,159.92657,0.26933745,-63.908085
