Fre(Hz)  	er	ei	ur	ui	Zin	Reflectivity
8202625000.0000	12.1951	1.7868	1.0349	0.0208	0.3792	91.8272
8205250000.0000	12.1077	1.8374	1.0418	0.0017	0.3811	90.3957
8207875000.0000	12.1767	1.7613	1.0162	0.0158	0.3695	91.8975
8210500000.0000	12.1636	1.7831	1.0386	0.0253	0.3817	92.0402
8213125000.0000	12.1586	1.8176	1.0339	0.0148	0.3789	91.3078
8215750000.0000	12.1550	1.7743	1.0227	0.0136	0.3731	91.5996
8218375000.0000	12.2022	1.7915	1.0336	0.0261	0.3803	92.0837
8221000000.0000	12.1608	1.7667	1.0224	0.0210	0.3738	92.0594
8223625000.0000	12.1410	1.8053	1.0243	0.0086	0.3742	91.1193
8226250000.0000	12.1379	1.8582	1.0466	0.0053	0.3860	90.3377
8228875000.0000	12.1309	1.8368	1.0296	0.0049	0.3771	90.6580
8231500000.0000	12.1473	1.8272	1.0378	0.0156	0.3824	91.1984
8234125000.0000	12.1600	1.8541	1.0364	0.0027	0.3815	90.3177
8236750000.0000	12.1609	1.8178	1.0354	0.0140	0.3817	91.1655
8239375000.0000	12.1833	1.7830	1.0318	0.0207	0.3807	91.7700
8242000000.0000	12.1498	1.8002	1.0295	0.0254	0.3794	91.9907
8244625000.0000	12.1506	1.8126	1.0395	0.0217	0.3848	91.5625
8247250000.0000	12.1724	1.8205	1.0331	0.0158	0.3817	91.2458
8249875000.0000	12.1543	1.8033	1.0296	0.0211	0.3800	91.6955
8252500000.0000	12.1739	1.7991	1.0377	0.0208	0.3848	91.5692
8255125000.0000	12.1483	1.8260	1.0249	0.0174	0.3777	91.4104
8257750000.0000	12.1599	1.7926	1.0393	0.0188	0.3859	91.4507
8260375000.0000	12.1742	1.8072	1.0347	0.0189	0.3839	91.4354
8263000000.0000	12.1464	1.8175	1.0286	0.0268	0.3808	91.9361
8265625000.0000	12.1371	1.8101	1.0280	0.0171	0.3801	91.4003
8268250000.0000	12.1748	1.7996	1.0357	0.0262	0.3854	91.8704
8270875000.0000	12.1480	1.7920	1.0244	0.0300	0.3794	92.2957
8273500000.0000	12.1784	1.8467	1.0401	0.0234	0.3882	91.3747
8276125000.0000	12.1871	1.8221	1.0287	0.0362	0.3830	92.4286
8278750000.0000	12.1849	1.8178	1.0297	0.0291	0.3834	91.9991
8281375000.0000	12.1381	1.8192	1.0122	0.0113	0.3728	91.1866
8284000000.0000	12.1662	1.7777	1.0216	0.0212	0.3789	91.8336
8286625000.0000	12.1306	1.7799	1.0218	0.0277	0.3790	92.2115
8289250000.0000	12.0948	1.8475	1.0158	0.0062	0.3746	90.6833
8291875000.0000	12.1751	1.7924	1.0390	0.0403	0.3900	92.6542
8294500000.0000	12.1344	1.7912	1.0201	0.0146	0.3783	91.3693
8297125000.0000	12.1459	1.8111	1.0283	0.0250	0.3835	91.7602
8299750000.0000	12.1493	1.8498	1.0340	0.0042	0.3859	90.2249
8302375000.0000	12.1310	1.7861	1.0279	0.0203	0.3833	91.5986
8305000000.0000	12.1568	1.8064	1.0222	0.0228	0.3810	91.7073
8307625000.0000	12.1532	1.7850	1.0279	0.0221	0.3842	91.6907
8310250000.0000	12.1363	1.7844	1.0246	0.0200	0.3823	91.6097
8312875000.0000	12.1289	1.7833	1.0188	0.0286	0.3797	92.2091
8315500000.0000	12.1336	1.7843	1.0187	0.0194	0.3795	91.6444
8318125000.0000	12.1395	1.7978	1.0299	0.0116	0.3855	90.9353
8320750000.0000	12.1236	1.7809	1.0222	0.0187	0.3817	91.5567
8323375000.0000	12.1425	1.8099	1.0360	0.0151	0.3895	90.9707
8326000000.0000	12.1067	1.7705	1.0270	0.0182	0.3845	91.5006
8328625000.0000	12.1051	1.7709	1.0180	0.0209	0.3800	91.7797
8331250000.0000	12.1104	1.7931	1.0191	0.0067	0.3802	90.7898
8333875000.0000	12.1372	1.7800	1.0243	0.0190	0.3842	91.4992
8336500000.0000	12.1054	1.7885	1.0155	0.0049	0.3786	90.7443
8339125000.0000	12.0717	1.7859	1.0188	0.0007	0.3799	90.4679
8341750000.0000	12.1000	1.7800	1.0196	0.0013	0.3811	90.4937
8344375000.0000	12.0955	1.7628	1.0182	0.0143	0.3810	91.3761
8347000000.0000	12.1365	1.7723	1.0184	0.0197	0.3821	91.6282
8349625000.0000	12.1237	1.7809	1.0183	0.0048	0.3815	90.6801
8352250000.0000	12.1442	1.8067	1.0453	0.0040	0.3968	90.0715
8354875000.0000	12.0949	1.7751	1.0112	0.0048	0.3777	90.8070
8357500000.0000	12.0557	1.8182	1.0192	-0.0031	0.3813	90.0105
8360125000.0000	12.1045	1.7626	1.0133	-0.0097	0.3789	89.9548
8362750000.0000	12.0902	1.7614	1.0214	0.0105	0.3841	91.0480
8365375000.0000	12.0842	1.7900	1.0219	-0.0153	0.3834	89.3500
8368000000.0000	12.0983	1.8105	1.0262	0.0077	0.3871	90.5353
8370625000.0000	12.0462	1.7882	1.0132	0.0053	0.3794	90.7111
8373250000.0000	12.1180	1.7632	1.0216	0.0188	0.3859	91.4968
8375875000.0000	12.1485	1.7962	1.0277	0.0217	0.3901	91.3931
8378500000.0000	12.0903	1.7824	1.0082	0.0004	0.3778	90.4729
8381125000.0000	12.0839	1.7771	1.0048	0.0037	0.3763	90.7369
8383750000.0000	12.0980	1.7846	1.0241	0.0083	0.3874	90.6770
8386375000.0000	12.1260	1.8101	1.0275	0.0064	0.3898	90.3538
8389000000.0000	12.1192	1.8182	1.0251	0.0124	0.3889	90.7071
8391625000.0000	12.1188	1.7797	1.0187	0.0093	0.3855	90.8110
8394250000.0000	12.1236	1.7972	1.0205	0.0162	0.3871	91.0992
8396875000.0000	12.1211	1.8222	1.0464	0.0044	0.4012	89.8402
8399500000.0000	12.1458	1.7859	1.0323	0.0301	0.3952	91.8269
8402125000.0000	12.1278	1.8440	1.0441	0.0044	0.4005	89.7352
8404750000.0000	12.1487	1.7967	1.0230	0.0192	0.3899	91.2076
8407375000.0000	12.1325	1.8150	1.0174	0.0166	0.3867	91.0286
8410000000.0000	12.1120	1.8712	1.0461	-0.0071	0.4015	88.8326
8412625000.0000	12.1491	1.7881	1.0248	0.0225	0.3919	91.4041
8415250000.0000	12.1458	1.8143	1.0365	0.0201	0.3985	90.9308
8417875000.0000	12.1323	1.8078	1.0354	0.0182	0.3978	90.8607
8420500000.0000	12.1362	1.8064	1.0375	0.0112	0.3990	90.3831
8423125000.0000	12.1579	1.7871	1.0275	0.0268	0.3947	91.6072
8425750000.0000	12.1145	1.8385	1.0314	0.0154	0.3958	90.5615
8428375000.0000	12.1388	1.7893	1.0274	0.0175	0.3943	91.0004
8431000000.0000	12.1055	1.7986	1.0207	0.0073	0.3898	90.4214
8433625000.0000	12.1117	1.8219	1.0370	0.0138	0.3996	90.4371
8436250000.0000	12.1479	1.8179	1.0256	0.0228	0.3944	91.1769
8438875000.0000	12.1320	1.8145	1.0372	0.0085	0.4003	90.1147
8441500000.0000	12.1440	1.7842	1.0266	0.0062	0.3946	90.2849
8444125000.0000	12.1287	1.7905	1.0261	0.0069	0.3943	90.3022
8446750000.0000	12.1433	1.8006	1.0201	0.0212	0.3921	91.2175
8449375000.0000	12.1511	1.7940	1.0112	0.0185	0.3873	91.2057
8452000000.0000	12.1505	1.7640	1.0087	0.0396	0.3872	92.7412
8454625000.0000	12.1750	1.8006	1.0225	0.0252	0.3949	91.3980
8457250000.0000	12.1595	1.7889	1.0168	0.0227	0.3915	91.3859
8459875000.0000	12.1223	1.7669	1.0066	0.0183	0.3852	91.3817
8462500000.0000	12.1276	1.7664	0.9996	0.0055	0.3811	90.6767
8465125000.0000	12.1388	1.7527	1.0047	0.0072	0.3844	90.7667
8467750000.0000	12.1542	1.7771	1.0144	0.0198	0.3909	91.2664
8470375000.0000	12.1623	1.7722	1.0056	0.0179	0.3862	91.2964
8473000000.0000	12.1179	1.7372	0.9827	0.0034	0.3725	90.9183
8475625000.0000	12.1487	1.8058	1.0201	0.0003	0.3938	89.7733
8478250000.0000	12.1585	1.8210	1.0255	0.0249	0.3985	91.1471
8480875000.0000	12.1410	1.7854	1.0211	0.0099	0.3952	90.4535
8483500000.0000	12.1392	1.8059	1.0135	0.0087	0.3910	90.3763
8486125000.0000	12.1305	1.7345	0.9911	0.0147	0.3789	91.4672
8488750000.0000	12.1078	1.7941	0.9994	0.0018	0.3828	90.2265
8491375000.0000	12.1606	1.7595	0.9992	0.0196	0.3845	91.4976
8494000000.0000	12.1617	1.7732	1.0101	0.0004	0.3900	90.0336
8496625000.0000	12.1518	1.7801	1.0047	0.0168	0.3878	91.1149
8499250000.0000	12.1210	1.7895	1.0122	0.0229	0.3921	91.3379
8501875000.0000	12.0922	1.7958	1.0094	0.0156	0.3899	90.8855
8504500000.0000	12.1475	1.8036	1.0181	0.0058	0.3955	90.0493
8507125000.0000	12.1516	1.7828	0.9989	0.0140	0.3853	90.9759
8509750000.0000	12.1328	1.7920	1.0057	0.0051	0.3887	90.2533
8512375000.0000	12.1187	1.7903	1.0099	0.0034	0.3910	90.0854
8515000000.0000	12.1083	1.8119	1.0006	0.0060	0.3859	90.2827
