!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Monday, April 10, 2017 10:36:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8300000000,-0.57371104,-0.04910782,-0.16077228,-0.80112988,-0.16467431,-0.79738474,-0.51102835,0.26980582
8302562500,-0.57311183,-0.052703105,-0.1640604,-0.8010354,-0.16277514,-0.80115449,-0.51036245,0.2712115
8305125000,-0.5766899,-0.050136864,-0.1619062,-0.80114573,-0.16700378,-0.80052912,-0.51050252,0.27060398
8307687500,-0.57583302,-0.050263517,-0.1622892,-0.80119824,-0.16823061,-0.80162978,-0.51050603,0.27129844
8310250000,-0.57312542,-0.049918719,-0.16188329,-0.80126005,-0.16545953,-0.79975933,-0.51073062,0.27097657
8312812500,-0.5724473,-0.049574688,-0.16072804,-0.80188715,-0.1640275,-0.79792953,-0.51102185,0.27059737
8315375000,-0.57457149,-0.049249455,-0.16369417,-0.80228484,-0.1685728,-0.80095649,-0.50838047,0.27187923
8317937500,-0.57328308,-0.048947517,-0.16428022,-0.80157638,-0.16829525,-0.79944718,-0.50820297,0.27233145
8320500000,-0.57333064,-0.048864122,-0.16464889,-0.80087036,-0.1680916,-0.80047297,-0.50725353,0.27255681
8323062500,-0.57363015,-0.04790872,-0.16668035,-0.8008309,-0.17117637,-0.80039716,-0.50769508,0.27261221
8325625000,-0.57316387,-0.048615675,-0.16581094,-0.80272126,-0.16902716,-0.80308592,-0.50878167,0.2745111
8328187500,-0.57234311,-0.048000798,-0.16687676,-0.80306673,-0.1696889,-0.8015756,-0.50798166,0.27496293
8330750000,-0.57267177,-0.047419999,-0.16533852,-0.79947096,-0.17235586,-0.8001141,-0.50580668,0.27337232
8333312500,-0.57424402,-0.040498707,-0.18079749,-0.80088311,-0.18504097,-0.79978025,-0.49956679,0.28321949
8335875000,-0.57204634,-0.047243975,-0.16787194,-0.8015213,-0.17272109,-0.79911572,-0.50419873,0.2743139
8338437500,-0.57112217,-0.047200099,-0.16757379,-0.80231827,-0.17153431,-0.80208242,-0.5057478,0.2762934
8341000000,-0.57076269,-0.047040734,-0.16963354,-0.80111247,-0.17389046,-0.80048472,-0.50349963,0.27502957
8343562500,-0.57180631,-0.046774749,-0.16898949,-0.80094558,-0.1742617,-0.80299765,-0.50338423,0.2755802
8346125000,-0.57252491,-0.046265114,-0.17079185,-0.80173296,-0.17463218,-0.8023597,-0.50097483,0.27578411
8348687500,-0.57227623,-0.043693937,-0.17194435,-0.80318815,-0.17545627,-0.80045271,-0.5011844,0.27680132
8351250000,-0.57208419,-0.040422283,-0.17244107,-0.80170894,-0.17862342,-0.80057985,-0.50031549,0.27756521
8353812500,-0.57049108,-0.042480022,-0.17178759,-0.80278105,-0.17704336,-0.80078048,-0.50123751,0.27801087
8356375000,-0.56895459,-0.043492019,-0.17258617,-0.8020075,-0.17505157,-0.80084091,-0.50209171,0.27879852
8358937500,-0.57009202,-0.042818729,-0.17350963,-0.80120635,-0.17751014,-0.80012524,-0.49888912,0.27846342
8361500000,-0.57066536,-0.041750614,-0.17441523,-0.80287123,-0.17924696,-0.80197185,-0.49921486,0.27985194
8364062500,-0.56873596,-0.042334113,-0.17449626,-0.80194235,-0.17909515,-0.80119109,-0.4985075,0.27933672
8366625000,-0.56929493,-0.041514952,-0.1750984,-0.80249065,-0.18005893,-0.80158049,-0.49881425,0.27988309
8369187500,-0.56855971,-0.041423198,-0.17713723,-0.80202794,-0.17912875,-0.80297804,-0.49839699,0.27951297
8371750000,-0.56963956,-0.04124593,-0.1775445,-0.8022694,-0.18002425,-0.80368727,-0.49842104,0.28015405
8374312500,-0.57018435,-0.041020896,-0.17890981,-0.80508411,-0.18122107,-0.80221456,-0.49831614,0.28149402
8376875000,-0.57124007,-0.040069871,-0.18072285,-0.80456197,-0.1836855,-0.8022117,-0.49715042,0.28237155
8379437500,-0.57020426,-0.039763041,-0.18063675,-0.80522412,-0.18495584,-0.80167758,-0.49709582,0.2832863
8382000000,-0.56946075,-0.039560337,-0.17963541,-0.80255163,-0.18543585,-0.80206859,-0.49708918,0.28245687
8384562500,-0.56945437,-0.039278056,-0.18137835,-0.80452555,-0.18562175,-0.802607,-0.49731591,0.28332993
8387125000,-0.56934822,-0.038619611,-0.18141799,-0.80236059,-0.1863157,-0.8012991,-0.49598515,0.28203046
8389687500,-0.56866747,-0.039896339,-0.18185049,-0.80163181,-0.18503141,-0.80221301,-0.49476266,0.28255886
8392250000,-0.56858367,-0.038167946,-0.18418154,-0.80429965,-0.18797325,-0.79952818,-0.49447161,0.28521311
8394812500,-0.56821465,-0.039322749,-0.18696576,-0.80458415,-0.18615498,-0.80160552,-0.49426016,0.2863903
8397375000,-0.56810296,-0.03828758,-0.18531907,-0.80382413,-0.18834275,-0.80133057,-0.49453536,0.28568661
8399937500,-0.57004505,-0.037275571,-0.187602,-0.80520779,-0.19151424,-0.80335861,-0.49439207,0.28654256
8402500000,-0.56751895,-0.039116405,-0.18560657,-0.80476201,-0.18865629,-0.80157566,-0.49442536,0.28519163
8405062500,-0.56809175,-0.039995048,-0.18747999,-0.80403191,-0.18852372,-0.80137646,-0.49156755,0.28628296
8407625000,-0.56701851,-0.0394237,-0.18673374,-0.8060168,-0.18724149,-0.80004406,-0.49407771,0.28577235
8410187500,-0.56701493,-0.037597887,-0.18663789,-0.80179459,-0.1920715,-0.8009696,-0.49215621,0.28491625
8412750000,-0.56809229,-0.039232794,-0.18752593,-0.80539721,-0.19149607,-0.80159378,-0.49262437,0.28673777
8415312500,-0.56842673,-0.036990725,-0.19094911,-0.80412483,-0.19278187,-0.80303061,-0.49074429,0.2875044
8417875000,-0.56854558,-0.0365679,-0.18857908,-0.80257827,-0.19486527,-0.80353498,-0.4910199,0.28594154
8420437500,-0.56770015,-0.036587883,-0.18995114,-0.80193418,-0.1956743,-0.80202669,-0.48981327,0.28715572
8423000000,-0.56807578,-0.036595467,-0.19185588,-0.80273831,-0.19483458,-0.8025043,-0.48905227,0.28810018
8425562500,-0.56567687,-0.035966672,-0.19325356,-0.80225486,-0.19357021,-0.80259544,-0.49020323,0.2881619
8428125000,-0.56632137,-0.036365654,-0.19241524,-0.80578965,-0.19557777,-0.80217475,-0.49017921,0.28886923
8430687500,-0.56504792,-0.036728133,-0.19002555,-0.80156475,-0.19551961,-0.80086386,-0.48784399,0.2873632
8433250000,-0.56518912,-0.035794053,-0.19368824,-0.8017444,-0.19543031,-0.80290174,-0.48820648,0.28924337
8435812500,-0.56639379,-0.034870684,-0.1962238,-0.80101252,-0.1975396,-0.80260098,-0.48629141,0.28964922
8438375000,-0.56468308,-0.034035284,-0.1951527,-0.79983592,-0.19962683,-0.80167204,-0.48557115,0.29040182
8440937500,-0.56472164,-0.03529853,-0.19415352,-0.80233985,-0.19959378,-0.80087876,-0.48512021,0.28995812
8443500000,-0.56345803,-0.035052489,-0.19480993,-0.80245548,-0.1996529,-0.80114728,-0.48558733,0.29101875
8446062500,-0.56441116,-0.033518855,-0.19643344,-0.80589557,-0.19994503,-0.80159885,-0.4866164,0.29112366
8448625000,-0.56452465,-0.033780459,-0.1976144,-0.80436194,-0.19958486,-0.80055493,-0.48437729,0.29098332
