!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:45:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8300000000,-0.45797467,-0.23024285,-0.066712752,-0.85328597,-0.07004302,-0.85317141,-0.41719043,0.30287167
8302562500,-0.45745897,-0.23085439,-0.068848185,-0.8526485,-0.07061708,-0.85422093,-0.41608256,0.3039149
8305125000,-0.45862514,-0.23054586,-0.069459796,-0.85424876,-0.070660748,-0.85330606,-0.41646057,0.30389103
8307687500,-0.45842919,-0.22999792,-0.067747496,-0.8533724,-0.073356621,-0.853495,-0.41624159,0.30377084
8310250000,-0.45738345,-0.22848061,-0.070365585,-0.85453236,-0.073685147,-0.85199803,-0.41568428,0.30506244
8312812500,-0.458069,-0.22960964,-0.070403442,-0.85377657,-0.072211035,-0.85341305,-0.41556156,0.30487934
8315375000,-0.45898324,-0.23011056,-0.067501143,-0.85336441,-0.073917091,-0.85500848,-0.4150905,0.30401343
8317937500,-0.45658249,-0.23101737,-0.072301365,-0.85346532,-0.070665374,-0.85441375,-0.41361123,0.30588847
8320500000,-0.45644715,-0.23091432,-0.073663086,-0.84933633,-0.071303822,-0.85426515,-0.41097462,0.30503622
8323062500,-0.45623139,-0.22984983,-0.070149817,-0.85334098,-0.071468219,-0.85256004,-0.41512284,0.30505046
8325625000,-0.45762947,-0.22753474,-0.071963362,-0.85624874,-0.077722773,-0.85266054,-0.41425115,0.30860317
8328187500,-0.45777449,-0.22851638,-0.072658822,-0.85714215,-0.076861672,-0.85492676,-0.41394597,0.30918145
8330750000,-0.45663285,-0.22859707,-0.074898593,-0.85076237,-0.076293521,-0.85206485,-0.40997276,0.30722722
8333312500,-0.45994049,-0.22336662,-0.085151248,-0.85507077,-0.087848715,-0.85239917,-0.4067879,0.31440586
8335875000,-0.45717293,-0.22902501,-0.07468614,-0.85278469,-0.076828219,-0.85281605,-0.40955538,0.30824485
8338437500,-0.45506901,-0.22915193,-0.076082744,-0.85318667,-0.072977848,-0.85264301,-0.40962523,0.31002507
8341000000,-0.45573348,-0.22799298,-0.075948797,-0.85417789,-0.077709354,-0.8519612,-0.41006267,0.30933186
8343562500,-0.45694429,-0.22882429,-0.076994419,-0.8540259,-0.079534784,-0.85652232,-0.4082585,0.31114009
8346125000,-0.45723176,-0.22833458,-0.075536534,-0.8553738,-0.079210214,-0.85481495,-0.40881896,0.30944476
8348687500,-0.45697838,-0.22800051,-0.078230269,-0.85522097,-0.079926059,-0.85269105,-0.40646666,0.31064284
8351250000,-0.45738077,-0.22683947,-0.077804372,-0.85545373,-0.083546624,-0.85354489,-0.40897018,0.3115502
8353812500,-0.45627511,-0.22733568,-0.077207446,-0.85411525,-0.08215414,-0.85288924,-0.4074122,0.31003213
8356375000,-0.45457485,-0.22749174,-0.078593001,-0.85405314,-0.079663858,-0.85285586,-0.40709826,0.31163898
8358937500,-0.45525444,-0.22700414,-0.079658411,-0.8534894,-0.082460798,-0.85186785,-0.40424424,0.31171498
8361500000,-0.45619631,-0.22867092,-0.079873793,-0.85420901,-0.0837681,-0.85539252,-0.4048788,0.31346902
8364062500,-0.45395443,-0.22819491,-0.079796262,-0.85334337,-0.082725458,-0.85413891,-0.40438673,0.31338125
8366625000,-0.45497233,-0.22585501,-0.080303438,-0.85375559,-0.085003763,-0.85249472,-0.40327907,0.31294745
8369187500,-0.45480812,-0.2263362,-0.081677184,-0.85377032,-0.083690979,-0.85484934,-0.40418488,0.31387433
8371750000,-0.45567489,-0.22703147,-0.084349088,-0.85518426,-0.084614418,-0.85560358,-0.4034712,0.31438285
8374312500,-0.45679036,-0.22778472,-0.084488086,-0.85717243,-0.085407689,-0.85581458,-0.40252617,0.31496984
8376875000,-0.45629948,-0.2250448,-0.085547157,-0.85995269,-0.088682085,-0.85252059,-0.40289581,0.31659672
8379437500,-0.45614874,-0.22750983,-0.086112268,-0.85628742,-0.087394558,-0.85541385,-0.40095204,0.31672689
8382000000,-0.45632917,-0.22633816,-0.085206613,-0.85572523,-0.089751072,-0.85556579,-0.40149036,0.31616154
8384562500,-0.45613709,-0.2260415,-0.088411115,-0.85738856,-0.089864396,-0.85516363,-0.40096429,0.31762451
8387125000,-0.45723403,-0.22564012,-0.088450037,-0.85597724,-0.090813465,-0.85526448,-0.39997017,0.31656298
8389687500,-0.45726633,-0.22440669,-0.087522246,-0.85458773,-0.09316913,-0.85444903,-0.39943486,0.31582364
8392250000,-0.45604575,-0.2248228,-0.09067142,-0.85649228,-0.0931563,-0.85227472,-0.39813852,0.31873
8394812500,-0.45718306,-0.22465308,-0.090783224,-0.85611016,-0.093865022,-0.85494184,-0.39863315,0.31819355
8397375000,-0.45574388,-0.22581634,-0.09006343,-0.85685563,-0.092806853,-0.85477853,-0.39919689,0.31886229
8399937500,-0.45742819,-0.22465375,-0.087318465,-0.85701376,-0.096095867,-0.85604393,-0.39965609,0.3167721
8402500000,-0.45490482,-0.224131,-0.091561154,-0.85617411,-0.093435273,-0.85264868,-0.39759001,0.3189607
8405062500,-0.45633799,-0.2243727,-0.092055053,-0.85625434,-0.095909558,-0.85266572,-0.39585382,0.31904411
8407625000,-0.45634049,-0.22454759,-0.094369143,-0.85846287,-0.094823815,-0.85402161,-0.3972784,0.3197616
8410187500,-0.4554328,-0.22295427,-0.097132988,-0.85332799,-0.097102664,-0.85291409,-0.39419383,0.32088101
8412750000,-0.45640683,-0.2255787,-0.097139068,-0.85609603,-0.096069023,-0.85472375,-0.39360186,0.32173172
8415312500,-0.45725399,-0.22301881,-0.093032546,-0.85655427,-0.099095859,-0.85534966,-0.39580879,0.31892669
8417875000,-0.45685151,-0.22397146,-0.095890902,-0.85449845,-0.098562241,-0.8563779,-0.3938556,0.32059658
8420437500,-0.45696148,-0.2233735,-0.096763723,-0.85473549,-0.10104517,-0.85542643,-0.39332753,0.32113144
8423000000,-0.45632219,-0.22371235,-0.097760201,-0.85769749,-0.099443607,-0.85489303,-0.39362511,0.3219822
8425562500,-0.45584309,-0.22267377,-0.098367855,-0.85594612,-0.099236228,-0.85605931,-0.39392269,0.32149103
8428125000,-0.45648769,-0.22373235,-0.098028816,-0.8586365,-0.10077921,-0.85577524,-0.39312637,0.32259473
8430687500,-0.45473167,-0.22348441,-0.096297346,-0.85412818,-0.10109263,-0.85416275,-0.39205638,0.32139006
8433250000,-0.45521691,-0.22238404,-0.10038356,-0.8552109,-0.1006978,-0.85586458,-0.39194366,0.32339588
8435812500,-0.45598072,-0.222054,-0.10249247,-0.85425317,-0.10317189,-0.85448951,-0.38977742,0.32327417
8438375000,-0.4552204,-0.2214096,-0.10160386,-0.8533408,-0.10449939,-0.85454935,-0.38942516,0.32422021
8440937500,-0.45470032,-0.22226392,-0.10113496,-0.85615528,-0.10505618,-0.85323644,-0.38902265,0.32457489
8443500000,-0.45524445,-0.22201563,-0.099867962,-0.85558081,-0.10662801,-0.85553175,-0.3895337,0.32393345
8446062500,-0.45598978,-0.2215375,-0.10367084,-0.85470021,-0.10559683,-0.85554779,-0.3874813,0.32424471
8448625000,-0.45566118,-0.22170004,-0.10482465,-0.85658264,-0.10539529,-0.8540504,-0.38745368,0.3251327
8451187500,-0.45629826,-0.22184908,-0.10713644,-0.85520959,-0.10697046,-0.85558635,-0.38631713,0.3263917
8453750000,-0.45688361,-0.22131343,-0.10377591,-0.85649717,-0.10800006,-0.85643673,-0.38747719,0.32412356
8456312500,-0.45560732,-0.22119571,-0.10614526,-0.85737956,-0.10763238,-0.85469514,-0.38677567,0.32512039
8458875000,-0.45579022,-0.22249594,-0.10593069,-0.85598081,-0.10661451,-0.85833973,-0.38629901,0.3262077
8461437500,-0.4562903,-0.22110662,-0.1074348,-0.85639077,-0.11068217,-0.85790569,-0.3849293,0.32750803
8464000000,-0.4544417,-0.22212909,-0.10834172,-0.85701555,-0.10913898,-0.85479707,-0.38389736,0.32845575
8466562500,-0.45570225,-0.22108786,-0.10918905,-0.85516554,-0.11162705,-0.85654342,-0.38273776,0.32801709
8469125000,-0.45409247,-0.21901929,-0.11042922,-0.85510957,-0.11291739,-0.85190767,-0.38220581,0.32792184
8471687500,-0.45445621,-0.21799983,-0.11084502,-0.8544004,-0.11578897,-0.85328418,-0.38128042,0.32873109
8474250000,-0.45456976,-0.21980754,-0.11020545,-0.85334295,-0.11336457,-0.85436177,-0.38042593,0.32835141
8476812500,-0.45587644,-0.21822484,-0.11225857,-0.85638106,-0.11520252,-0.8559373,-0.38200286,0.32884759
8479375000,-0.45484689,-0.21945143,-0.11413631,-0.85467142,-0.11391473,-0.85596132,-0.38062999,0.33024147
8481937500,-0.45479557,-0.21965076,-0.11208203,-0.85180539,-0.11440716,-0.85611188,-0.37847239,0.3295266
8484500000,-0.45342121,-0.22041231,-0.11536543,-0.85453612,-0.11383355,-0.85386509,-0.37858173,0.33067703
8487062500,-0.45351088,-0.21956497,-0.11305719,-0.85811806,-0.11603703,-0.85461837,-0.37996992,0.3310506
8489625000,-0.45399573,-0.21839598,-0.11346705,-0.85659301,-0.1172406,-0.85441577,-0.37887782,0.33012158
8492187500,-0.454092,-0.21938591,-0.11674505,-0.85741156,-0.11809746,-0.85357416,-0.37787974,0.33157855
8494750000,-0.45487252,-0.21786727,-0.11560313,-0.85706776,-0.12086941,-0.85361946,-0.377114,0.33202738
8497312500,-0.45532373,-0.2185283,-0.11812054,-0.85599273,-0.1195987,-0.85625011,-0.37740514,0.33258927
8499875000,-0.45361793,-0.21892394,-0.11801305,-0.85498393,-0.11966766,-0.85733998,-0.37716869,0.33255854
8502437500,-0.45417142,-0.21820381,-0.11865731,-0.85518539,-0.12039112,-0.85642254,-0.37692845,0.33372626
8505000000,-0.45451212,-0.2167134,-0.12006912,-0.85710955,-0.12296244,-0.85418123,-0.37571108,0.33344609
8507562500,-0.45418355,-0.21799916,-0.12081382,-0.85800338,-0.12226211,-0.85497975,-0.37514102,0.33357525
8510125000,-0.45332336,-0.21747723,-0.12031522,-0.85588002,-0.12463117,-0.85393238,-0.375049,0.33410513
8512687500,-0.45338848,-0.21719967,-0.1210536,-0.85554105,-0.12524085,-0.8534776,-0.37312043,0.33500195
8515250000,-0.45354977,-0.21769167,-0.12277167,-0.85332072,-0.12197125,-0.85612786,-0.37267569,0.33458465
8517812500,-0.45434114,-0.21717276,-0.12279871,-0.85605389,-0.12338973,-0.8550064,-0.37307447,0.33506438
8520375000,-0.45387813,-0.21610898,-0.12529185,-0.85567135,-0.12561341,-0.85408932,-0.37373912,0.33640423
8522937500,-0.45262703,-0.21638374,-0.12505268,-0.8564564,-0.12568399,-0.85351086,-0.37376282,0.3372128
8525500000,-0.45376661,-0.2163301,-0.12521754,-0.85544115,-0.12850003,-0.85493129,-0.37169519,0.33632278
8528062500,-0.45635673,-0.21749255,-0.12728906,-0.85623503,-0.12574486,-0.85828567,-0.37091526,0.33622628
8530625000,-0.45453987,-0.21603741,-0.12439271,-0.85481101,-0.129706,-0.85845178,-0.37106702,0.33558923
8533187500,-0.45498866,-0.2156965,-0.12627479,-0.85660321,-0.130916,-0.85483867,-0.37009928,0.33573031
8535750000,-0.4539071,-0.21590973,-0.12732002,-0.85706252,-0.13035843,-0.85472673,-0.37009445,0.33640358
8538312500,-0.45411691,-0.21523038,-0.12680323,-0.85506141,-0.1290897,-0.85668588,-0.37004256,0.337385
8540875000,-0.4529292,-0.21379666,-0.12667771,-0.85515618,-0.13299799,-0.85315925,-0.36911491,0.33618048
8543437500,-0.45313373,-0.21458539,-0.12951878,-0.85383224,-0.13305919,-0.85468203,-0.36800686,0.33825502
8546000000,-0.45494187,-0.21570642,-0.13270374,-0.85502338,-0.13129601,-0.85634303,-0.36738518,0.33845216
8548562500,-0.45140854,-0.21319936,-0.13218509,-0.85553354,-0.13323019,-0.85344625,-0.36915442,0.33980876
8551125000,-0.45362782,-0.21272658,-0.13138059,-0.85372615,-0.13577402,-0.85735881,-0.36776251,0.33895943
8553687500,-0.45204255,-0.21497717,-0.12866497,-0.85429728,-0.13366744,-0.85273719,-0.36622804,0.33836636
8556250000,-0.45324385,-0.21453963,-0.13207419,-0.85530615,-0.13415019,-0.85417223,-0.3652724,0.33883107
8558812500,-0.45290855,-0.21270464,-0.13141373,-0.85457635,-0.13618955,-0.85371983,-0.36476925,0.33900023
8561375000,-0.45341474,-0.21217868,-0.13471732,-0.85393661,-0.13678849,-0.85513163,-0.36505663,0.33954376
8563937500,-0.45377049,-0.21374258,-0.13589862,-0.85546368,-0.13612583,-0.85597688,-0.36511648,0.34073994
8566500000,-0.45504433,-0.2133877,-0.13493453,-0.8559134,-0.13682656,-0.85427183,-0.36374488,0.34080282
