!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:51:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8300000000,0.52149272,155.09038,0.85240746,-115.16826,0.85126573,-115.38177,0.5216009,154.37296
8302562500,0.51946414,155.17844,0.85149658,-115.20673,0.85156727,-115.18916,0.52130914,154.24631
8305125000,0.52300924,154.98439,0.85457814,-115.29638,0.85461485,-115.63674,0.52148026,154.19208
8307687500,0.52021372,154.9265,0.8535524,-115.34423,0.85252613,-115.60864,0.52109873,154.17749
8310250000,0.51974773,154.85547,0.8526721,-115.31254,0.8526212,-115.61763,0.52045488,154.1673
8312812500,0.51965189,154.93533,0.8509059,-115.39797,0.85403788,-115.4463,0.51978546,154.19441
8315375000,0.51854551,154.84949,0.85238856,-115.46198,0.85246003,-115.44164,0.51847643,154.11679
8317937500,0.51813704,154.79195,0.85414857,-115.50964,0.85378784,-115.6957,0.51863259,153.95276
8320500000,0.5181917,154.72014,0.84905422,-115.56428,0.85185331,-115.73444,0.51637763,154.16222
8323062500,0.51749331,154.63957,0.85390747,-115.52754,0.85451531,-115.83187,0.51840466,154.00691
8325625000,0.51693708,154.61815,0.85402048,-115.65967,0.85471553,-115.59753,0.51769674,153.90691
8328187500,0.51705658,154.6373,0.8531357,-115.83329,0.85357642,-115.93648,0.51469463,153.80226
8330750000,0.51624566,154.54254,0.85399026,-115.71029,0.85376233,-115.94511,0.51593632,153.67323
8333312500,0.51775962,153.75174,0.85768801,-116.52203,0.85632342,-116.71522,0.51595068,152.82382
8335875000,0.51491678,154.48289,0.85709012,-115.64934,0.85535663,-116.05779,0.51692498,153.72121
8338437500,0.51379919,154.46367,0.85475415,-115.85052,0.8566789,-116.01582,0.51352197,153.51749
8341000000,0.51381058,154.49998,0.8560189,-115.93359,0.85463226,-116.08421,0.51276702,153.52165
8343562500,0.51393139,154.2468,0.85540348,-115.8849,0.85827696,-116.12133,0.51275188,153.48933
8346125000,0.51371866,154.13365,0.8572008,-115.93098,0.85855842,-116.17794,0.51095289,153.65401
8348687500,0.51374853,154.16022,0.85800278,-116.07412,0.85647827,-116.24228,0.51048613,153.3067
8351250000,0.51193637,154.22,0.85770297,-116.10448,0.85681713,-116.42583,0.51124805,153.25868
8353812500,0.51389217,154.13132,0.85931545,-116.06138,0.85781425,-116.41833,0.5111897,153.38116
8356375000,0.50833482,154.12694,0.8582164,-116.14021,0.85679877,-116.19795,0.50986588,153.30055
8358937500,0.50912488,153.91833,0.85696602,-116.25646,0.85536492,-116.43394,0.50968868,153.17032
8361500000,0.51028258,154.13109,0.86060297,-116.22421,0.85967672,-116.48955,0.50839382,153.08589
8364062500,0.50962704,153.75235,0.85809386,-116.23473,0.85768074,-116.68373,0.50895095,153.01337
8366625000,0.50892049,153.85655,0.85855323,-116.29867,0.85876638,-116.6376,0.50792938,153.00417
8369187500,0.50932688,153.99997,0.85961425,-116.44533,0.86233962,-116.54366,0.5067991,153.03404
8371750000,0.51129425,153.95869,0.86134672,-116.61568,0.86435676,-116.66445,0.50710797,153.00323
8374312500,0.5088436,153.86795,0.86403567,-116.5405,0.86132818,-116.62444,0.50729209,152.88181
8376875000,0.50789428,153.78546,0.86177278,-116.77484,0.86113685,-116.71531,0.50633252,152.75427
8379437500,0.50731558,153.75322,0.86474562,-116.79179,0.86141491,-116.85236,0.50659007,152.62692
8382000000,0.50642627,153.63248,0.86229801,-116.79867,0.86093205,-116.94422,0.50600255,152.67693
8384562500,0.50740659,153.58437,0.86310846,-116.92022,0.86331999,-117.06011,0.50544858,152.68913
8387125000,0.50618351,153.53227,0.86618203,-116.82664,0.86251378,-117.03754,0.50613326,152.65701
8389687500,0.50566757,153.42462,0.86260062,-117.02394,0.86111683,-117.14043,0.50380641,152.57307
8392250000,0.50543225,153.3882,0.86281312,-116.99449,0.86095786,-117.27271,0.50344026,152.53279
8394812500,0.50409991,153.23549,0.86406875,-117.14057,0.85962892,-117.2966,0.50376487,152.38846
8397375000,0.50416142,153.3046,0.86360025,-117.118,0.86287606,-117.39563,0.50333446,152.40355
8399937500,0.50409675,153.24463,0.86305285,-116.97082,0.86383021,-117.47166,0.5029313,152.6671
8402500000,0.50354975,153.09332,0.8653295,-117.27676,0.86348981,-117.58085,0.50240213,152.32852
8405062500,0.50400561,153.19083,0.86571383,-117.30138,0.86364174,-117.5192,0.50064415,152.28358
8407625000,0.50282758,153.13086,0.86560184,-117.30265,0.86304075,-117.35625,0.50071096,152.39134
8410187500,0.50174797,153.0018,0.86531508,-117.43787,0.86482227,-117.55016,0.50139445,152.21106
8412750000,0.50258017,153.08957,0.86534536,-117.48678,0.86582696,-117.60971,0.49990141,152.12146
8415312500,0.50213313,152.84088,0.8648591,-117.52061,0.86781675,-117.74806,0.49801832,152.2933
8417875000,0.50197285,152.80869,0.8657198,-117.53844,0.86743224,-117.7585,0.49937764,152.16905
8420437500,0.50052649,152.79729,0.86530244,-117.60281,0.86691093,-117.92868,0.49822623,152.01906
8423000000,0.5017162,152.76846,0.86806667,-117.66354,0.86742795,-117.8718,0.49868712,152.05457
8425562500,0.49836227,152.66786,0.86685491,-117.83016,0.8668465,-117.8299,0.4989498,152.08301
8428125000,0.49965823,152.62563,0.87002701,-117.80119,0.86740017,-117.97312,0.4983007,151.94374
8430687500,0.49817008,152.72916,0.86547244,-117.65591,0.86653548,-118.01343,0.4959614,151.95665
8433250000,0.49783316,152.47845,0.86538625,-117.91774,0.86813331,-118.03921,0.49673945,151.77046
8435812500,0.49747625,152.53168,0.86565065,-118.13971,0.86852705,-118.06426,0.49518877,151.68556
8438375000,0.4956269,152.24739,0.86744875,-118.07721,0.86711591,-118.33118,0.49527651,151.62213
8440937500,0.49696261,152.45059,0.86681652,-118.04653,0.86863703,-118.34665,0.49370608,151.58885
8443500000,0.49487886,152.31708,0.8682645,-117.85229,0.86826265,-118.39407,0.49463063,151.6129
