Freq (GHZ)	RL(dB)
12.4	-8.14
12.4	-8.04
12.41	-8.25
12.41	-8.31
12.41	-8.34
12.42	-8.12
12.42	-8.26
12.42	-8.26
12.43	-8.33
12.43	-8.07
12.44	-8.14
12.44	-8.23
12.44	-8.36
12.45	-8.3
12.45	-8.3
12.45	-8.14
12.46	-8.34
12.46	-8.11
12.46	-8.33
12.47	-8.19
12.47	-8.21
12.47	-8.18
12.48	-8.18
12.48	-8.28
12.48	-8.12
12.49	-8.14
12.49	-8.15
12.49	-8.13
12.5	-8.33
12.5	-8.14
12.51	-8.49
12.51	-8.32
12.51	-8.27
12.52	-8.38
12.52	-8.32
12.52	-8.5
12.53	-8.2
12.53	-8.5
12.53	-8.29
12.54	-8.24
12.54	-8.23
12.54	-8.5
12.55	-8.4
12.55	-8.34
12.55	-8.3
12.56	-8.47
12.56	-8.4
12.56	-8.33
12.57	-8.38
12.57	-8.34
12.57	-8.47
12.58	-8.48
12.58	-8.44
12.59	-8.47
12.59	-8.56
12.59	-8.51
12.6	-8.51
12.6	-8.35
12.6	-8.46
12.61	-8.53
12.61	-8.37
12.61	-8.32
12.62	-8.37
12.62	-8.7
12.62	-8.34
12.63	-8.56
12.63	-8.57
12.63	-8.31
12.64	-8.48
12.64	-8.48
12.64	-8.61
12.65	-8.48
12.65	-8.58
12.66	-8.54
12.66	-8.61
12.66	-8.42
12.67	-8.32
12.67	-8.58
12.67	-8.6
12.68	-8.65
12.68	-8.62
12.68	-8.6
12.69	-8.58
12.69	-8.53
12.69	-8.78
12.7	-8.64
12.7	-8.61
12.7	-8.73
12.71	-8.75
12.71	-8.81
12.71	-8.63
12.72	-8.7
12.72	-8.64
12.73	-8.75
12.73	-8.56
12.73	-8.67
12.74	-8.73
12.74	-8.67
12.74	-8.69
12.75	-8.79
12.75	-8.86
12.75	-8.7
12.76	-8.9
12.76	-8.55
12.76	-8.58
12.77	-8.79
12.77	-8.69
12.77	-8.78
12.78	-8.84
12.78	-8.8
12.79	-8.78
12.79	-8.78
12.79	-8.9
12.8	-8.77
12.8	-8.78
12.8	-9.02
12.81	-8.83
12.81	-8.95
12.81	-8.82
12.82	-8.91
12.82	-8.77
12.82	-8.93
12.83	-8.8
12.83	-8.8
12.83	-8.82
12.84	-8.85
12.84	-8.75
12.84	-8.92
12.85	-8.85
12.85	-8.96
12.86	-9.13
12.86	-8.94
12.86	-8.92
12.87	-8.79
12.87	-8.82
12.87	-8.96
12.88	-8.9
12.88	-8.69
12.88	-8.85
12.89	-8.96
12.89	-8.82
12.89	-8.96
12.9	-8.85
12.9	-8.96
12.9	-8.91
12.91	-8.86
12.91	-8.88
12.91	-9.09
12.92	-9.0
12.92	-8.95
12.93	-9.1
12.93	-9.15
12.93	-9.06
12.94	-9.13
12.94	-9.08
12.94	-9.06
12.95	-8.9
12.95	-9.15
12.95	-9.28
12.96	-9.18
12.96	-9.15
12.96	-9.07
12.97	-9.23
12.97	-9.12
12.97	-9.33
12.98	-9.04
12.98	-9.05
12.98	-9.11
12.99	-9.12
12.99	-9.1
12.99	-9.14
13.0	-9.12
13.0	-9.05
13.01	-8.93
13.01	-9.05
13.01	-8.97
13.02	-9.09
13.02	-9.09
13.02	-9.21
13.03	-9.15
13.03	-9.13
13.03	-9.01
13.04	-9.14
13.04	-9.28
13.04	-9.23
13.05	-9.12
13.05	-9.32
13.05	-9.37
13.06	-9.4
13.06	-9.26
13.06	-9.2
13.07	-9.49
13.07	-9.31
13.08	-9.37
13.08	-9.33
13.08	-9.33
13.09	-9.43
13.09	-9.22
13.09	-9.26
13.1	-9.48
13.1	-9.43
13.1	-9.34
13.11	-9.62
13.11	-9.44
13.11	-9.34
13.12	-9.38
13.12	-9.55
13.12	-9.21
13.13	-9.41
13.13	-9.41
13.13	-9.57
13.14	-9.37
13.14	-9.39
13.15	-9.55
13.15	-9.48
13.15	-9.41
13.16	-9.46
13.16	-9.21
13.16	-9.37
13.17	-9.44
13.17	-9.34
13.17	-9.62
13.18	-9.46
13.18	-9.54
13.18	-9.29
13.19	-9.69
13.19	-9.6
13.19	-9.65
13.2	-9.54
13.2	-9.56
13.21	-9.75
13.21	-9.52
13.21	-9.46
13.22	-9.54
13.22	-9.6
13.22	-9.46
13.23	-9.58
13.23	-9.48
13.23	-9.6
13.24	-9.73
13.24	-9.39
13.24	-9.41
13.25	-9.51
13.25	-9.52
13.25	-9.55
13.26	-9.65
13.26	-9.44
13.26	-9.75
13.27	-9.53
13.27	-9.79
13.28	-9.55
13.28	-9.47
13.28	-9.64
13.29	-9.41
13.29	-9.63
13.29	-9.77
13.3	-9.73
13.3	-9.61
13.3	-9.68
13.31	-9.83
13.31	-9.65
13.31	-9.47
13.32	-9.56
13.32	-9.63
13.32	-9.78
13.33	-9.89
13.33	-9.76
13.33	-9.61
13.34	-9.65
13.34	-9.6
13.35	-9.46
13.35	-9.85
13.35	-9.78
13.36	-9.78
13.36	-9.83
13.36	-9.7
13.37	-9.7
13.37	-9.69
13.37	-9.78
13.38	-9.68
13.38	-9.69
13.38	-9.92
13.39	-9.85
13.39	-9.83
13.39	-9.76
13.4	-9.65
13.4	-9.84
13.4	-9.88
13.41	-9.74
13.41	-9.74
13.41	-9.82
13.42	-9.84
13.42	-9.89
13.43	-10.06
13.43	-9.89
13.43	-9.96
13.44	-9.86
13.44	-9.73
13.44	-9.8
13.45	-10.0
13.45	-9.81
13.45	-9.98
13.46	-9.96
13.46	-9.84
13.46	-9.91
13.47	-9.98
13.47	-10.15
13.47	-10.12
13.48	-10.21
13.48	-10.17
13.48	-10.02
13.49	-10.16
13.49	-10.25
13.5	-10.16
13.5	-10.14
13.5	-9.95
13.51	-10.07
13.51	-10.09
13.51	-10.21
13.52	-9.85
13.52	-9.84
13.52	-10.3
13.53	-10.6
13.53	-9.71
13.53	-10.07
13.54	-10.27
13.54	-10.05
13.54	-9.64
13.55	-9.99
13.55	-10.01
13.55	-9.76
13.56	-10.23
13.56	-10.34
13.57	-10.57
13.57	-10.27
13.57	-10.0
13.58	-10.24
13.58	-9.9
13.58	-10.31
13.59	-10.51
13.59	-10.21
13.59	-10.17
13.6	-10.0
13.6	-9.83
13.6	-9.8
13.61	-10.08
13.61	-10.01
13.61	-9.71
13.62	-10.63
13.62	-10.02
13.63	-9.64
13.63	-10.31
13.63	-10.53
13.64	-10.16
13.64	-10.5
13.64	-10.66
13.65	-10.58
13.65	-10.22
13.65	-10.13
13.66	-11.02
13.66	-10.52
13.66	-10.27
13.67	-9.85
13.67	-10.42
13.67	-10.33
13.68	-10.19
13.68	-10.94
13.68	-10.49
13.69	-10.63
13.69	-9.88
13.7	-10.3
13.7	-10.33
13.7	-10.19
13.71	-11.14
13.71	-10.41
13.71	-10.25
13.72	-10.85
13.72	-10.4
13.72	-10.91
13.73	-10.17
13.73	-10.61
13.73	-10.72
13.74	-10.97
13.74	-10.15
13.74	-10.44
13.75	-10.68
13.75	-10.36
13.75	-10.31
13.76	-10.42
13.76	-10.64
13.77	-10.18
13.77	-10.26
13.77	-10.62
13.78	-10.47
13.78	-10.74
13.78	-10.37
13.79	-10.81
13.79	-11.25
13.79	-10.75
13.8	-10.36
13.8	-10.41
13.8	-10.74
13.81	-10.4
13.81	-10.65
13.81	-10.8
13.82	-9.81
13.82	-10.94
13.82	-10.24
13.83	-10.56
13.83	-10.38
13.84	-10.86
13.84	-10.31
13.84	-11.23
13.85	-10.31
13.85	-10.9
13.85	-10.98
13.86	-10.37
13.86	-10.13
13.86	-11.06
13.87	-10.64
13.87	-10.92
13.87	-11.0
13.88	-10.81
13.88	-10.55
13.88	-10.93
13.89	-10.68
13.89	-11.19
13.89	-10.45
13.9	-10.55
13.9	-10.16
13.9	-10.73
13.91	-10.89
13.91	-11.08
13.92	-11.44
13.92	-11.34
13.92	-10.61
13.93	-10.26
13.93	-10.89
13.93	-10.74
13.94	-10.56
13.94	-10.71
13.94	-10.53
13.95	-11.15
13.95	-11.19
13.95	-11.46
13.96	-10.82
13.96	-10.3
13.96	-10.97
13.97	-10.73
13.97	-10.81
13.97	-10.9
13.98	-11.01
13.98	-10.56
13.99	-11.02
13.99	-10.78
13.99	-11.03
14.0	-10.92
14.0	-10.9
14.0	-11.1
14.01	-11.33
14.01	-10.82
14.01	-11.38
14.02	-10.86
14.02	-10.84
14.02	-11.12
14.03	-11.29
14.03	-11.19
14.03	-11.44
14.04	-11.39
14.04	-11.36
14.04	-11.51
14.05	-10.34
14.05	-10.96
14.06	-11.53
14.06	-10.62
14.06	-11.58
14.07	-11.44
14.07	-11.17
14.07	-11.71
14.08	-10.66
14.08	-11.37
14.08	-11.07
14.09	-10.41
14.09	-11.13
14.09	-10.86
14.1	-10.73
14.1	-10.58
14.1	-10.58
14.11	-11.26
14.11	-11.24
14.12	-10.9
14.12	-10.97
14.12	-11.29
14.13	-11.23
14.13	-10.78
14.13	-11.56
14.14	-11.11
14.14	-10.68
14.14	-10.78
14.15	-11.29
14.15	-10.93
14.15	-11.46
14.16	-11.03
14.16	-10.84
14.16	-11.59
14.17	-11.68
14.17	-10.97
14.17	-11.8
14.18	-11.32
14.18	-10.66
14.19	-11.19
14.19	-11.2
14.19	-11.29
14.2	-11.54
14.2	-11.14
14.2	-11.02
14.21	-11.64
14.21	-10.76
14.21	-11.28
14.22	-12.17
14.22	-10.59
14.22	-10.94
14.23	-11.12
14.23	-10.42
14.23	-10.85
14.24	-11.63
14.24	-11.44
14.24	-11.39
14.25	-10.68
14.25	-11.1
14.26	-10.55
14.26	-11.67
14.26	-10.98
14.27	-11.44
14.27	-11.63
14.27	-11.46
14.28	-11.21
14.28	-11.66
14.28	-11.28
14.29	-11.49
14.29	-11.22
14.29	-11.54
14.3	-11.16
14.3	-12.26
14.3	-11.52
14.31	-11.97
14.31	-11.01
14.31	-11.24
14.32	-11.4
14.32	-11.61
14.32	-11.34
14.33	-11.76
14.33	-11.79
14.34	-11.51
14.34	-11.55
14.34	-11.46
14.35	-11.49
14.35	-12.01
14.35	-11.36
14.36	-11.58
14.36	-11.64
14.36	-11.4
14.37	-11.26
14.37	-11.61
14.37	-12.33
14.38	-11.22
14.38	-11.3
14.38	-11.43
14.39	-11.59
14.39	-11.11
14.39	-11.74
14.4	-11.54
14.4	-12.23
14.41	-11.83
14.41	-11.79
14.41	-12.01
14.42	-11.22
14.42	-11.4
14.42	-11.63
14.43	-11.86
14.43	-11.17
14.43	-11.61
14.44	-11.78
14.44	-11.9
14.44	-11.51
14.45	-11.33
14.45	-11.29
14.45	-11.54
14.46	-12.21
14.46	-11.49
14.46	-11.88
14.47	-11.76
14.47	-11.47
14.48	-11.81
14.48	-11.65
14.48	-11.95
14.49	-12.32
14.49	-11.94
14.49	-11.18
14.5	-11.76
14.5	-11.7
14.5	-11.67
14.51	-11.47
14.51	-11.05
14.51	-11.75
14.52	-12.16
14.52	-12.05
14.52	-11.78
14.53	-11.48
14.53	-12.5
14.54	-12.06
14.54	-12.43
14.54	-12.52
14.55	-12.15
14.55	-12.13
14.55	-12.54
14.56	-11.97
14.56	-11.36
14.56	-11.17
14.57	-11.76
14.57	-11.81
14.57	-11.71
14.58	-11.74
14.58	-11.52
14.58	-11.79
14.59	-11.7
14.59	-11.85
14.59	-12.16
14.6	-12.13
14.6	-11.88
14.61	-12.91
14.61	-12.04
14.61	-11.89
14.62	-12.13
14.62	-12.36
14.62	-12.48
14.63	-11.4
14.63	-11.91
14.63	-12.33
14.64	-12.57
14.64	-11.5
14.64	-12.4
14.65	-12.2
14.65	-11.72
14.65	-12.18
14.66	-12.14
14.66	-12.35
14.66	-12.2
14.67	-12.18
14.67	-12.31
14.68	-12.79
14.68	-11.64
14.68	-12.15
14.69	-12.23
14.69	-12.01
14.69	-11.26
14.7	-11.99
14.7	-11.86
14.7	-12.03
14.71	-12.13
14.71	-12.18
14.71	-12.07
14.72	-12.06
14.72	-12.88
14.72	-12.11
14.73	-12.03
14.73	-11.69
14.73	-11.78
14.74	-12.74
14.74	-12.22
14.74	-12.04
14.75	-12.36
14.75	-11.92
14.76	-12.35
14.76	-12.54
14.76	-12.54
14.77	-11.99
14.77	-12.41
14.77	-12.4
14.78	-11.68
14.78	-12.14
14.78	-12.44
14.79	-12.51
14.79	-12.37
14.79	-12.67
14.8	-12.75
14.8	-12.64
14.8	-12.54
14.81	-11.67
14.81	-12.48
14.81	-12.48
14.82	-12.28
14.82	-13.05
14.83	-12.32
14.83	-12.58
14.83	-13.11
14.84	-11.89
14.84	-12.57
14.84	-12.88
14.85	-12.15
14.85	-12.75
14.85	-13.06
14.86	-12.1
14.86	-12.66
14.86	-11.86
14.87	-12.1
14.87	-12.0
14.87	-13.01
14.88	-12.32
14.88	-12.3
14.88	-13.13
14.89	-13.08
14.89	-13.32
14.9	-13.13
14.9	-11.55
14.9	-12.73
14.91	-12.59
14.91	-12.42
14.91	-12.76
14.92	-12.19
14.92	-11.9
14.92	-12.25
14.93	-11.75
14.93	-12.7
14.93	-13.1
14.94	-12.58
14.94	-13.06
14.94	-12.93
14.95	-12.29
14.95	-11.88
14.96	-12.25
14.96	-11.99
14.96	-12.03
14.97	-12.36
14.97	-12.35
14.97	-12.42
14.98	-11.97
14.98	-12.95
14.98	-12.38
14.99	-12.51
14.99	-13.06
14.99	-12.61
15.0	-12.65
15.0	-12.63
15.0	-12.71
15.01	-12.14
15.01	-12.72
15.01	-12.2
15.02	-12.28
15.02	-12.39
15.03	-12.13
15.03	-12.47
15.03	-13.43
15.04	-13.06
15.04	-13.45
15.04	-12.88
15.05	-12.35
15.05	-13.02
15.05	-13.46
15.06	-12.32
15.06	-12.43
15.06	-12.82
15.07	-12.71
15.07	-12.69
15.07	-12.38
15.08	-12.99
15.08	-12.42
15.08	-12.21
15.09	-12.47
15.09	-13.11
15.1	-11.98
15.1	-12.49
15.1	-12.76
15.11	-13.23
15.11	-12.91
15.11	-13.13
15.12	-12.88
15.12	-12.32
15.12	-12.56
15.13	-12.54
15.13	-12.94
15.13	-12.94
15.14	-12.66
15.14	-12.52
15.14	-12.47
15.15	-12.84
15.15	-12.66
15.15	-12.79
15.16	-12.59
15.16	-12.97
15.16	-13.29
15.17	-12.6
15.17	-13.21
15.18	-14.06
15.18	-13.22
15.18	-12.94
15.19	-13.39
15.19	-12.96
15.19	-12.62
15.2	-13.27
15.2	-12.24
15.2	-12.96
15.21	-14.29
15.21	-13.43
15.21	-13.1
15.22	-13.33
15.22	-12.5
15.22	-12.93
15.23	-13.13
15.23	-12.98
15.23	-12.97
15.24	-12.95
15.24	-12.82
15.25	-12.73
15.25	-12.91
15.25	-12.29
15.26	-13.18
15.26	-12.95
15.26	-12.92
15.27	-12.8
15.27	-12.82
15.27	-13.05
15.28	-12.81
15.28	-12.48
15.28	-13.17
15.29	-12.97
15.29	-12.66
15.29	-12.18
15.3	-13.01
15.3	-12.82
15.3	-13.36
15.31	-12.38
15.31	-12.92
15.32	-13.08
15.32	-13.01
15.32	-13.39
15.33	-12.78
15.33	-12.98
15.33	-12.89
15.34	-12.72
15.34	-12.92
15.34	-13.39
15.35	-12.87
15.35	-12.74
15.35	-13.07
15.36	-12.99
15.36	-13.21
15.36	-13.53
15.37	-12.56
15.37	-13.18
15.38	-13.16
15.38	-13.44
15.38	-13.5
15.39	-13.05
15.39	-12.99
15.39	-13.57
15.4	-13.32
15.4	-12.79
15.4	-12.3
15.41	-13.25
15.41	-13.06
15.41	-12.69
15.42	-13.01
15.42	-13.15
15.42	-12.07
15.43	-13.03
15.43	-13.89
15.43	-13.89
15.44	-12.97
15.44	-12.63
15.45	-11.99
15.45	-12.89
15.45	-13.23
15.46	-12.93
15.46	-12.92
15.46	-12.76
15.47	-13.08
15.47	-12.57
15.47	-12.85
15.48	-12.93
15.48	-12.72
15.48	-12.24
15.49	-12.8
15.49	-12.67
15.49	-13.25
15.5	-12.64
15.5	-12.28
15.5	-12.44
15.51	-13.07
15.51	-13.35
15.52	-12.44
15.52	-12.51
15.52	-13.12
15.53	-13.35
15.53	-13.26
15.53	-13.14
15.54	-13.46
15.54	-12.93
